Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,-0.004855732,0.8508915,-0.1053336,0.271538,-0.07268483,0.07502819,0.9567418,-0.0854308,0.8423171,-0.1201465,0.1578751,0.7329887,0.0662454,0.6583424,-0.1487883,0.4287509,-0.2541333,0.3442949,0.6090456,0.5069941,0.5034696,-0.1092727,0.3190063,-0.6787426,-0.1098099,0.9842819,-0.01145568,0.1378401,-0.06342826,0.1890063,-0.7326213,-0.12317,0.9804061,0.08801261,0.1260448,-0.0406087,0.1194528,-0.7554877,-0.12317,0.9804061,0.08801261,0.1260448,0.07571934,0.8594658,-0.09052074,-0.12808,-0.678385,0.2399221,0.6825151,0.1432544,0.4851346,0.1292951,0.1291305,-0.6855876,-0.1694397,0.6961217,0.1179796,0.08473165,-0.05219081,0.01074127,0.7123178,-0.6965481,-0.0854931,0.1231962,0.01803206,0.07982662,0.01893177,0.7136105,-0.6959673,-0.07766348,0.1275759,0.003077606,0.1549166,0.01893177,0.7136105,-0.6959673,-0.07766348,-0.01669967,0.9447744,-0.09525345,-0.02855057,-0.3343487,0.9414559,-0.03250574,-0.02290014,1.004566,-0.04678348,0.01616851,-0.3949801,0.918486,0.01062038,-0.02040734,1.057674,0.009217828,0.06053459,-0.4521474,0.8882803,0.05344584,-0.0008887374,1.134007,0.1131125,0.06053459,-0.4521474,0.8882803,0.05344584,-0.05146066,1.195171,0.2364322,-0.210465,-0.1648474,0.7554999,-0.5981221,-0.1846661,1.226675,0.2360649,0.2695085,0.6643013,0.2038293,0.6667255,-0.2075648,1.021863,0.06879959,-0.02668406,0.670364,-0.132943,0.7295387,-0.2538013,0.7403393,0.1322729,-0.07470326,0.7436818,-0.1320134,0.6510989,0.02996141,1.254656,0.2773259,0.06073302,-0.3339002,0.9406254,0.00681768,0.03563573,1.337237,0.3440049,0.05978377,-0.2093432,0.9751956,-0.03993933,0.0898601,1.189414,0.2141128,0.3365299,-0.1719956,0.6391951,0.6697723,0.2229069,1.195388,0.1825045,0.4216075,-0.4867103,-0.4329029,0.6308374,0.1868669,1.123807,-0.07053117,0.3191066,-0.4364966,-0.1328216,0.8306628,0.203794,0.9013721,-0.2593652,0.2110145,-0.3747833,0.06639371,0.9003348
0,0,0,0,6.657903E-08,0,0,1,-0.004855732,0.8508915,-0.1053336,0.271538,-0.07268483,0.07502819,0.9567418,-0.0854308,0.8423171,-0.1201465,0.1578751,0.7329887,0.0662454,0.6583424,-0.1487883,0.4287509,-0.2541333,0.3442949,0.6090456,0.5069941,0.5034696,-0.1092727,0.3190063,-0.6787426,-0.1098099,0.9842819,-0.01145568,0.1378401,-0.06342826,0.1890063,-0.7326213,-0.12317,0.9804061,0.08801261,0.1260448,-0.0406087,0.1194528,-0.7554877,-0.12317,0.9804061,0.08801261,0.1260448,0.07571934,0.8594658,-0.09052074,-0.12808,-0.678385,0.2399221,0.6825151,0.1432544,0.4851346,0.1292951,0.1291305,-0.6855876,-0.1694397,0.6961217,0.1179796,0.08473165,-0.05219081,0.01074127,0.7123178,-0.6965481,-0.0854931,0.1231962,0.01803206,0.07982662,0.01893177,0.7136105,-0.6959673,-0.07766348,0.1275759,0.003077606,0.1549166,0.01893177,0.7136105,-0.6959673,-0.07766348,-0.01669967,0.9447744,-0.09525345,-0.02855057,-0.3343487,0.9414559,-0.03250574,-0.02290014,1.004566,-0.04678348,0.01616851,-0.3949801,0.918486,0.01062038,-0.02040734,1.057674,0.009217828,0.06053459,-0.4521474,0.8882803,0.05344584,-0.0008887374,1.134007,0.1131125,0.06053459,-0.4521474,0.8882803,0.05344584,-0.05146066,1.195171,0.2364322,-0.210465,-0.1648474,0.7554999,-0.5981221,-0.1846661,1.226675,0.2360649,0.2695085,0.6643013,0.2038293,0.6667255,-0.2075648,1.021863,0.06879959,-0.02668406,0.670364,-0.132943,0.7295387,-0.2538013,0.7403393,0.1322729,-0.07470326,0.7436818,-0.1320134,0.6510989,0.02996141,1.254656,0.2773259,0.06073302,-0.3339002,0.9406254,0.00681768,0.03563573,1.337237,0.3440049,0.05978377,-0.2093432,0.9751956,-0.03993933,0.0898601,1.189414,0.2141128,0.3365299,-0.1719956,0.6391951,0.6697723,0.2229069,1.195388,0.1825045,0.4216075,-0.4867103,-0.4329029,0.6308374,0.1868669,1.123807,-0.07053117,0.3191066,-0.4364966,-0.1328216,0.8306628,0.203794,0.9013721,-0.2593652,0.2110145,-0.3747833,0.06639371,0.9003348
0,0,0,0,6.657903E-08,0,0,1,-0.004855732,0.8508915,-0.1053336,0.271538,-0.07268483,0.07502819,0.9567418,-0.0854308,0.8423171,-0.1201465,0.1578751,0.7329887,0.0662454,0.6583424,-0.1487883,0.4287509,-0.2541333,0.3442949,0.6090456,0.5069941,0.5034696,-0.1092727,0.3190063,-0.6787426,-0.1098099,0.9842819,-0.01145568,0.1378401,-0.06342826,0.1890063,-0.7326213,-0.12317,0.9804061,0.08801261,0.1260448,-0.0406087,0.1194528,-0.7554877,-0.12317,0.9804061,0.08801261,0.1260448,0.07571934,0.8594658,-0.09052074,-0.12808,-0.678385,0.2399221,0.6825151,0.1432544,0.4851346,0.1292951,0.1291305,-0.6855876,-0.1694397,0.6961217,0.1179796,0.08473165,-0.05219081,0.01074127,0.7123178,-0.6965481,-0.0854931,0.1231962,0.01803206,0.07982662,0.01893177,0.7136105,-0.6959673,-0.07766348,0.1275759,0.003077606,0.1549166,0.01893177,0.7136105,-0.6959673,-0.07766348,-0.01669967,0.9447744,-0.09525345,-0.02855057,-0.3343487,0.9414559,-0.03250574,-0.02290014,1.004566,-0.04678348,0.01616851,-0.3949801,0.918486,0.01062038,-0.02040734,1.057674,0.009217828,0.06053459,-0.4521474,0.8882803,0.05344584,-0.0008887374,1.134007,0.1131125,0.06053459,-0.4521474,0.8882803,0.05344584,-0.05146066,1.195171,0.2364322,-0.210465,-0.1648474,0.7554999,-0.5981221,-0.1846661,1.226675,0.2360649,0.2695085,0.6643013,0.2038293,0.6667255,-0.2075648,1.021863,0.06879959,-0.02668406,0.670364,-0.132943,0.7295387,-0.2538013,0.7403393,0.1322729,-0.07470326,0.7436818,-0.1320134,0.6510989,0.02996141,1.254656,0.2773259,0.06073302,-0.3339002,0.9406254,0.00681768,0.03563573,1.337237,0.3440049,0.05978377,-0.2093432,0.9751956,-0.03993933,0.0898601,1.189414,0.2141128,0.3365299,-0.1719956,0.6391951,0.6697723,0.2229069,1.195388,0.1825045,0.4216075,-0.4867103,-0.4329029,0.6308374,0.1868669,1.123807,-0.07053117,0.3191066,-0.4364966,-0.1328216,0.8306628,0.203794,0.9013721,-0.2593652,0.2110145,-0.3747833,0.06639371,0.9003348
10.00977,0,0,0,6.657903E-08,0,0,1,-0.005446345,0.8492401,-0.1044736,0.268965,-0.07767962,0.07801153,0.9568375,-0.08582247,0.8403848,-0.1201754,0.1407674,0.7309248,0.04683407,0.6661382,-0.1488144,0.4204008,-0.232644,0.3567457,0.5953717,0.5216574,0.4961236,-0.1085547,0.3316293,-0.6620589,-0.1082014,0.9837717,0.002493924,0.1431065,-0.06217648,0.203286,-0.7193452,-0.1224667,0.9782026,0.1045609,0.1311065,-0.03903733,0.1346103,-0.7444354,-0.1224667,0.9782026,0.1045609,0.1311065,0.07492978,0.8580954,-0.08877183,-0.1199539,-0.6747125,0.2224532,0.6934614,0.1393592,0.4748964,0.1161943,0.1442789,-0.6816024,-0.190075,0.6917176,0.1108106,0.08466996,-0.08581258,0.002464725,0.7153443,-0.6945976,-0.07622827,0.1173747,0.01703238,0.04566641,0.009161728,0.7165807,-0.6939347,-0.06987874,0.1222746,0.001572474,0.1206217,0.009161728,0.7165807,-0.6939347,-0.06987874,-0.01764821,0.9431373,-0.0949698,-0.03138565,-0.3328865,0.9418764,-0.03271973,-0.02402123,1.003078,-0.0467061,0.01557871,-0.3944924,0.9186717,0.01324536,-0.02119285,1.056235,0.009231976,0.06214754,-0.4523702,0.8877142,0.05884047,-0.0002394845,1.132357,0.1130015,0.06214754,-0.4523702,0.8877142,0.05884047,-0.04934549,1.193879,0.2367356,-0.218622,-0.1671452,0.7533109,-0.5973188,-0.1825325,1.225436,0.2354558,0.269525,0.6617919,0.2174131,0.6649207,-0.2004785,1.023667,0.06394231,0.003522847,0.6711531,-0.1137014,0.7325388,-0.2505474,0.7389599,0.1070403,-0.01227655,0.7474676,-0.07768887,0.6596258,0.0328784,1.252674,0.2770172,0.05991727,-0.3338497,0.9406618,0.01047675,0.03922594,1.335248,0.3436434,0.05653705,-0.2089213,0.9755537,-0.03808805,0.09174512,1.186972,0.2133137,0.3429279,-0.172108,0.6346452,0.6708239,0.2244523,1.192549,0.1802389,0.39873,-0.5025495,-0.424814,0.638742,0.1867802,1.107323,-0.06829087,0.2824597,-0.4278421,-0.1147175,0.8508864,0.2003624,0.8693814,-0.2374702,0.1957898,-0.3577321,0.09572125,0.9080371
20.01953,0,0,0,6.657903E-08,0,0,1,-0.006254302,0.8474132,-0.1034194,0.2647841,-0.08224745,0.08003121,0.9574549,-0.08645749,0.8383772,-0.1198839,0.1217831,0.7263958,0.02813614,0.6758155,-0.1474773,0.4127821,-0.2101564,0.3705861,0.5817588,0.5321263,0.490983,-0.1078684,0.3425991,-0.643058,-0.1064153,0.9839028,0.01424115,0.1428575,-0.06169432,0.215635,-0.703496,-0.1209512,0.9768569,0.1183979,0.1307797,-0.03858683,0.1477056,-0.7305686,-0.1209512,0.9768569,0.1183979,0.1307797,0.07394889,0.8564493,-0.08695485,-0.1133494,-0.6725762,0.2080513,0.7010763,0.1351233,0.4664487,0.1058172,0.1598229,-0.6823451,-0.2060955,0.682925,0.1078464,0.08597256,-0.1141654,-0.002086134,0.7203954,-0.6897538,-0.07256903,0.1151948,0.01649529,0.01630912,0.003916296,0.72163,-0.6890213,-0.06696875,0.120443,-1.115819E-05,0.09101713,0.003916296,0.72163,-0.6890213,-0.06696875,-0.01861251,0.9413742,-0.09478838,-0.03402135,-0.3300582,0.9427782,-0.03276594,-0.02511746,1.001603,-0.04690367,0.01495951,-0.3929085,0.9193298,0.01523383,-0.0220468,1.054945,0.008846289,0.06350445,-0.4517916,0.8876416,0.06280115,-2.721883E-05,1.131078,0.1123869,0.06350445,-0.4517916,0.8876416,0.06280115,-0.0480271,1.193038,0.2363357,-0.224113,-0.1681778,0.7509798,-0.5979294,-0.1812731,1.224301,0.2342262,0.2699272,0.656702,0.2297509,0.6656552,-0.1941865,1.025576,0.05875195,0.06381077,0.6701374,-0.07309504,0.735868,-0.2506241,0.7388079,0.05993651,0.04976802,0.7458624,-0.02381686,0.6638117,0.03477586,1.251412,0.2760408,0.05882365,-0.3334212,0.9408303,0.01444268,0.04183401,1.334026,0.342546,0.05301335,-0.2086487,0.9759541,-0.03419312,0.09287673,1.185291,0.2120675,0.3477808,-0.1702698,0.6317842,0.6714954,0.2252281,1.190794,0.1775848,0.3780259,-0.5192559,-0.4095798,0.6478538,0.1885697,1.090283,-0.06532127,0.255824,-0.4301344,-0.1023543,0.8596874,0.2014558,0.8423917,-0.219614,0.1749445,-0.3526226,0.1229614,0.9110065
29.90723,0,0,0,6.657903E-08,0,0,1,-0.007335077,0.8428981,-0.1025344,0.258581,-0.0831961,0.08044031,0.9590327,-0.08750159,0.833733,-0.1191059,0.09912941,0.721862,0.01036106,0.684822,-0.1441408,0.4031395,-0.1853249,0.3837081,0.5706329,0.5394685,0.4859218,-0.1067267,0.3486101,-0.6206698,-0.1044174,0.9849598,0.01906366,0.1363363,-0.061753,0.222058,-0.6828513,-0.1183622,0.9773092,0.1240011,0.1244225,-0.03919458,0.1543535,-0.710932,-0.1183622,0.9773092,0.1240011,0.1244225,0.07283144,0.8520632,-0.08596295,-0.1070871,-0.6717568,0.197562,0.7058645,0.1321534,0.4571114,0.09706103,0.1766904,-0.6858086,-0.2226788,0.6699712,0.1081181,0.08789244,-0.1416819,-0.005144444,0.7262161,-0.683637,-0.07227693,0.1161284,0.01620019,-0.01245073,-0.003083614,0.7206903,-0.6897374,-0.06970298,0.1225071,-0.0001667225,0.06220015,-0.003083614,0.7206903,-0.6897374,-0.06970298,-0.01962221,0.9369727,-0.09512488,-0.03408468,-0.3256392,0.9443309,-0.03219669,-0.02603197,0.9976551,-0.0478028,0.01582598,-0.3902196,0.9204323,0.01681977,-0.02268726,1.051314,0.007625906,0.06525929,-0.4506547,0.887908,0.06535523,0.0001154514,1.127629,0.1108625,0.06525929,-0.4506547,0.887908,0.06535523,-0.04702615,1.190015,0.2349277,-0.2271384,-0.1683588,0.7481631,-0.6002631,-0.1804396,1.220495,0.2320852,0.2814675,0.65654,0.2286968,0.6613847,-0.1982429,1.024891,0.05355815,0.1235113,0.6651636,-0.03023359,0.7357914,-0.2592693,0.7420713,0.01219053,0.1092202,0.7395567,0.02919425,0.6635325,0.0361564,1.248251,0.2740357,0.05778613,-0.3317445,0.9414259,0.01800468,0.04383512,1.331078,0.340207,0.04919755,-0.2064311,0.9767726,-0.02969335,0.09371924,1.181819,0.2098992,0.3511055,-0.1671922,0.6307199,0.671539,0.2257418,1.18759,0.1742201,0.3600762,-0.5345905,-0.3873811,0.6591622,0.1923756,1.070654,-0.06170887,0.2278475,-0.4387559,-0.08876817,0.8646963,0.2059431,0.8133352,-0.1996412,0.1494201,-0.3580976,0.145245,0.9101343
39.91699,0,0,0,6.657903E-08,0,0,1,-0.00904376,0.8342016,-0.1023144,0.2512698,-0.07931741,0.08055169,0.9612927,-0.08931117,0.8247281,-0.1182103,0.07226731,0.7168351,-0.006841567,0.6934538,-0.1389966,0.3900361,-0.1579334,0.3937764,0.564012,0.5447075,0.4797131,-0.1050837,0.3474068,-0.5948901,-0.1018694,0.9868007,0.01576265,0.1248947,-0.06225017,0.2200831,-0.6570076,-0.1145004,0.9796063,0.1199826,0.1134271,-0.04074163,0.1519568,-0.6848909,-0.1145004,0.9796063,0.1199826,0.1134271,0.07122365,0.8436751,-0.08641855,-0.1034378,-0.6719697,0.1932542,0.7073969,0.1302688,0.446569,0.09197486,0.1928158,-0.6901129,-0.240763,0.6546754,0.1092759,0.08997133,-0.1655051,-0.008052242,0.7322714,-0.6770489,-0.0729315,0.1179843,0.01595086,-0.03763876,-0.006416452,0.719562,-0.690872,-0.0698954,0.1248147,-0.0001812627,0.03702324,-0.006416452,0.719562,-0.690872,-0.0698954,-0.02134695,0.9283745,-0.09631447,-0.03070015,-0.3202415,0.9463001,-0.03192226,-0.02753058,0.989598,-0.0496641,0.01870021,-0.386739,0.9218336,0.0175025,-0.02392188,1.043671,0.00534409,0.06758135,-0.4489931,0.8884968,0.06641965,-0.0006188815,1.120339,0.1082065,0.06758135,-0.4489931,0.8884968,0.06641965,-0.04714341,1.183113,0.2323087,-0.2286765,-0.1683108,0.7445649,-0.6041541,-0.1808265,1.212315,0.2287942,0.282543,0.6472225,0.242321,0.6652471,-0.1923269,1.02044,0.04576055,0.1824917,0.6559482,0.01345618,0.7322899,-0.2565394,0.7477415,-0.03751576,0.1639829,0.7292082,0.08084321,0.6594165,0.03621277,1.241519,0.2707883,0.05701094,-0.3286499,0.942507,0.02049216,0.04430182,1.32476,0.3363888,0.04532206,-0.2018585,0.9780245,-0.0258374,0.09347345,1.174903,0.2065726,0.3536216,-0.1635034,0.6314065,0.6704808,0.2251973,1.181397,0.1699273,0.3440663,-0.546307,-0.3604172,0.6732509,0.1961673,1.047773,-0.05756266,0.1979153,-0.4516303,-0.07336266,0.8668783,0.2112409,0.7815449,-0.1772191,0.1183759,-0.3710302,0.1620433,0.9066786
49.92676,0,0,0,6.657903E-08,0,0,1,-0.01032545,0.8287328,-0.1016462,0.2463762,-0.07110833,0.0808074,0.9631784,-0.0907895,0.8187966,-0.1162096,0.0449569,0.7117303,-0.02183807,0.7006727,-0.132348,0.3816696,-0.1302301,0.3963638,0.5666058,0.5454686,0.4736222,-0.1032294,0.3415676,-0.5677715,-0.09592225,0.989154,-0.001652264,0.1112248,-0.06393404,0.2114245,-0.6262807,-0.1067551,0.984175,0.09913667,0.100873,-0.04426676,0.1417817,-0.651665,-0.1067551,0.984175,0.09913667,0.100873,0.0701386,0.838669,-0.08708289,-0.09214316,-0.6724315,0.1832284,0.7111771,0.130192,0.4363055,0.07875138,0.2063386,-0.6888244,-0.257605,0.6454343,0.1095692,0.09184792,-0.1947851,-0.01132988,0.7383317,-0.6710634,-0.06642401,0.1184786,0.01570494,-0.06818514,-0.01035052,0.7190649,-0.6919745,-0.063327,0.1252517,-0.0002033123,0.006530084,-0.01035052,0.7190649,-0.6919745,-0.063327,-0.02287773,0.9229266,-0.09656161,-0.02450494,-0.3161066,0.9478559,-0.03233228,-0.028807,0.9845525,-0.05041056,0.02279391,-0.3834343,0.9231316,0.01693306,-0.0250431,1.039022,0.004194972,0.06955421,-0.4465873,0.8896096,0.06570356,-0.001699594,1.116276,0.1066084,0.06955421,-0.4465873,0.8896096,0.06570356,-0.04806967,1.179496,0.2305417,-0.2304002,-0.1684827,0.7397944,-0.6092897,-0.1820942,1.206977,0.2262333,0.2849073,0.6338693,0.2630748,0.6692007,-0.1845061,1.021381,0.03650099,0.235678,0.6442885,0.05515119,0.72547,-0.2498776,0.7633561,-0.08421372,0.2072265,0.7155418,0.1307297,0.654192,0.03519611,1.238383,0.2684806,0.05682001,-0.3253731,0.9436279,0.02169599,0.04347859,1.322069,0.3334881,0.04296593,-0.1977457,0.9790475,-0.02273921,0.09249679,1.171653,0.2044188,0.3551429,-0.1591302,0.634973,0.6673536,0.2239746,1.179679,0.1671977,0.327229,-0.5513281,-0.3362605,0.6898463,0.196605,1.031121,-0.0510481,0.1617602,-0.4635309,-0.05704401,0.869321,0.2114464,0.7560474,-0.1487037,0.07851927,-0.3876386,0.1753488,0.9015678
59.93652,0,0,0,6.657903E-08,0,0,1,-0.01157676,0.8222047,-0.1011047,0.2414615,-0.06289734,0.08105654,0.9649716,-0.09221543,0.8118208,-0.1143282,0.0175705,0.7058724,-0.03682731,0.7071629,-0.1259952,0.3739618,-0.1024047,0.3989308,0.5691709,0.5462016,0.4675068,-0.1016939,0.3363587,-0.5404617,-0.08992108,0.9909827,-0.01907561,0.09748866,-0.06589283,0.2035841,-0.5951779,-0.09904701,0.9880776,0.07818759,0.08820149,-0.04802108,0.1325689,-0.6179537,-0.09904701,0.9880776,0.07818759,0.08820149,0.06906192,0.8325886,-0.08788122,-0.08082366,-0.6727303,0.1731557,0.7147858,0.1300369,0.4253507,0.06523024,0.2197545,-0.6871533,-0.2743137,0.6358306,0.110051,0.0937489,-0.2238014,-0.01460661,0.7442999,-0.664993,-0.05990757,0.1191958,0.01550861,-0.09850369,-0.01429455,0.7187262,-0.6928185,-0.0568435,0.1259154,-0.0002216665,-0.02374602,-0.01429455,0.7187262,-0.6928185,-0.0568435,-0.02439209,0.9164079,-0.0969313,-0.01831012,-0.3119594,0.9493547,-0.03273867,-0.03007428,0.9784319,-0.05128536,0.02688699,-0.3801229,0.9244003,0.01636495,-0.02615953,1.033295,0.002914231,0.07152596,-0.4441758,0.8907127,0.06498585,-0.002779192,1.111134,0.1048756,0.07152596,-0.4441758,0.8907127,0.06498585,-0.04899716,1.1748,0.2286372,-0.232112,-0.1686458,0.7349854,-0.6143937,-0.1833358,1.200555,0.2235299,0.2870933,0.620108,0.2836758,0.6727349,-0.1765355,1.021603,0.0276228,0.2879915,0.6294912,0.09678183,0.7151473,-0.2420476,0.7832886,-0.1283799,0.249715,0.698518,0.180244,0.6459316,0.03417475,1.234165,0.2660332,0.05662824,-0.3220924,0.9447358,0.02289969,0.04265131,1.318291,0.330445,0.0406084,-0.1936263,0.9800379,-0.01964023,0.09151652,1.167322,0.2021261,0.3566485,-0.15475,0.638512,0.6641967,0.222727,1.176875,0.1643267,0.3099893,-0.5557097,-0.3116823,0.7056541,0.1974179,1.014031,-0.04373887,0.1252635,-0.4746521,-0.04059898,0.870268,0.211519,0.7318957,-0.118726,0.03841716,-0.4034775,0.1883184,0.8945764
69.94629,0,0,0,6.657903E-08,0,0,1,-0.01279054,0.8145984,-0.1006856,0.2365276,-0.05468684,0.08129907,0.9666719,-0.09358179,0.8037821,-0.1125627,-0.009805542,0.6992798,-0.05176222,0.7129042,-0.1199803,0.3668988,-0.07461676,0.4014775,0.5717067,0.5469069,0.4613679,-0.1005178,0.331766,-0.5131204,-0.08387528,0.992284,-0.03647963,0.08370788,-0.06815614,0.196556,-0.563871,-0.09139035,0.9913059,0.05719224,0.07543121,-0.05202615,0.1243183,-0.5839419,-0.09139035,0.9913059,0.05719224,0.07543121,0.0680007,0.8254147,-0.08880843,-0.06948715,-0.6728657,0.1630435,0.7182201,0.1298094,0.4136924,0.0514351,0.2330414,-0.6851026,-0.2908612,0.6258801,0.1107255,0.09561942,-0.2524791,-0.01788105,0.7501737,-0.6588398,-0.05338443,0.1201397,0.01530858,-0.1285186,-0.01824752,0.7183026,-0.6936614,-0.05042154,0.1268101,-0.0002364445,-0.05371765,-0.01824752,0.7183026,-0.6936614,-0.05042154,-0.02588272,0.9087993,-0.09741864,-0.0121172,-0.3078008,0.9507963,-0.03314134,-0.03132518,0.9712173,-0.05228334,0.03097871,-0.3768052,0.9256396,0.01579838,-0.02726398,1.026471,0.001507084,0.07349646,-0.4417584,0.8918059,0.06426663,-0.003850442,1.104893,0.1030132,0.07349646,-0.4417584,0.8918059,0.06426663,-0.04991864,1.169005,0.2266005,-0.2338115,-0.1688001,0.7301381,-0.6194655,-0.1845442,1.193033,0.2206897,0.2890968,0.6059645,0.304085,0.6758421,-0.1684427,1.021061,0.01915483,0.3386846,0.6117671,0.1377533,0.7014685,-0.2330732,0.8069335,-0.1689802,0.2908644,0.6783707,0.2287053,0.6347484,0.03315592,1.228845,0.2634514,0.0564357,-0.3188078,0.9458306,0.02410328,0.04182727,1.313406,0.3272642,0.0382496,-0.1895006,0.980996,-0.01654066,0.09053979,1.16189,0.1996996,0.3581383,-0.150363,0.6420226,0.6610106,0.2214617,1.172965,0.1613193,0.2924076,-0.5594373,-0.2867685,0.7206192,0.1985991,0.9965842,-0.03570106,0.08861401,-0.4849365,-0.02411218,0.8697144,0.2114592,0.7092432,-0.0875861,-0.001681448,-0.4184484,0.2008712,0.8857478
