Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,-0.0003220474,0.8281527,-0.1139776,0.2698447,-0.03587368,0.1134973,0.9555184,-0.08036067,0.8118811,-0.1246703,0.1458997,0.7546159,0.1860558,0.6120877,-0.07703549,0.4216783,-0.3264983,0.3239338,0.6792771,0.4375479,0.4921396,-0.08178584,0.2421805,-0.7285634,-0.2102005,0.9615169,0.09437237,0.14965,-0.008220855,0.138119,-0.8038234,-0.2275641,0.941639,0.2161871,0.1216302,0.02983227,0.08330523,-0.8416215,-0.2275641,0.941639,0.2161871,0.1216302,0.07971658,0.8444244,-0.1032849,-0.1944988,-0.6682366,0.275977,0.6629228,0.1262673,0.5052619,0.1720433,0.03209893,-0.6932833,-0.1812121,0.6967714,0.03529024,0.09461885,0.04168255,-0.008604573,0.7290556,-0.6707583,-0.135969,0.0495331,0.01911608,0.1681781,-0.005405144,0.7255933,-0.6752668,-0.1322878,0.06127853,-6.625292E-05,0.2414953,-0.005405144,0.7255933,-0.6752668,-0.1322878,-0.02041274,0.9206748,-0.10439,-0.005398057,-0.3309579,0.9418333,-0.05820489,-0.02915486,0.9804547,-0.05629897,0.02536542,-0.3899129,0.9205003,-0.002002726,-0.02791211,1.034194,-0.0008607918,0.0557736,-0.4454647,0.8919314,0.05393595,-0.008887183,1.112077,0.1019692,0.0557736,-0.4454647,0.8919314,0.05393595,-0.06016116,1.175375,0.2239149,-0.1263656,-0.1641605,0.7606086,-0.6152707,-0.1939548,1.201244,0.2368125,0.1156719,0.7770895,-0.1563762,0.5985805,-0.2913601,0.9559035,0.2645655,-0.5043303,0.6041769,-0.4781171,0.3899046,-0.2222178,0.9459335,0.5483654,-0.5863983,0.5168771,-0.5645762,0.2650074,0.02118265,1.235177,0.2644998,0.04300035,-0.3317551,0.9413996,0.04308793,0.03283837,1.317677,0.3304987,0.02955382,-0.2128509,0.9761276,0.03156527,0.08130305,1.168713,0.202788,0.2839384,-0.1366263,0.6517414,0.6898881,0.2150139,1.170188,0.1735393,0.5742049,-0.4101361,-0.4113255,0.576965,0.2140482,1.169604,-0.09188201,0.4328921,-0.4815198,-0.1940246,0.7369517,0.2523112,1.008879,-0.3329749,0.2350834,-0.5692074,-0.1152885,0.7793893
0,0,0,0,6.657903E-08,0,0,1,-0.0003220474,0.8281527,-0.1139776,0.2698447,-0.03587368,0.1134973,0.9555184,-0.08036067,0.8118811,-0.1246703,0.1458997,0.7546159,0.1860558,0.6120877,-0.07703549,0.4216783,-0.3264983,0.3239338,0.6792771,0.4375479,0.4921396,-0.08178584,0.2421805,-0.7285634,-0.2102005,0.9615169,0.09437237,0.14965,-0.008220855,0.138119,-0.8038234,-0.2275641,0.941639,0.2161871,0.1216302,0.02983227,0.08330523,-0.8416215,-0.2275641,0.941639,0.2161871,0.1216302,0.07971658,0.8444244,-0.1032849,-0.1944988,-0.6682366,0.275977,0.6629228,0.1262673,0.5052619,0.1720433,0.03209893,-0.6932833,-0.1812121,0.6967714,0.03529024,0.09461885,0.04168255,-0.008604573,0.7290556,-0.6707583,-0.135969,0.0495331,0.01911608,0.1681781,-0.005405144,0.7255933,-0.6752668,-0.1322878,0.06127853,-6.625292E-05,0.2414953,-0.005405144,0.7255933,-0.6752668,-0.1322878,-0.02041274,0.9206748,-0.10439,-0.005398057,-0.3309579,0.9418333,-0.05820489,-0.02915486,0.9804547,-0.05629897,0.02536542,-0.3899129,0.9205003,-0.002002726,-0.02791211,1.034194,-0.0008607918,0.0557736,-0.4454647,0.8919314,0.05393595,-0.008887183,1.112077,0.1019692,0.0557736,-0.4454647,0.8919314,0.05393595,-0.06016116,1.175375,0.2239149,-0.1263656,-0.1641605,0.7606086,-0.6152707,-0.1939548,1.201244,0.2368125,0.1156719,0.7770895,-0.1563762,0.5985805,-0.2913601,0.9559035,0.2645655,-0.5043303,0.6041769,-0.4781171,0.3899046,-0.2222178,0.9459335,0.5483654,-0.5863983,0.5168771,-0.5645762,0.2650074,0.02118265,1.235177,0.2644998,0.04300035,-0.3317551,0.9413996,0.04308793,0.03283837,1.317677,0.3304987,0.02955382,-0.2128509,0.9761276,0.03156527,0.08130305,1.168713,0.202788,0.2839384,-0.1366263,0.6517414,0.6898881,0.2150139,1.170188,0.1735393,0.5742049,-0.4101361,-0.4113255,0.576965,0.2140482,1.169604,-0.09188201,0.4328921,-0.4815198,-0.1940246,0.7369517,0.2523112,1.008879,-0.3329749,0.2350834,-0.5692074,-0.1152885,0.7793893
0,0,0,0,6.657903E-08,0,0,1,-0.0003220474,0.8281527,-0.1139776,0.2698447,-0.03587368,0.1134973,0.9555184,-0.08036067,0.8118811,-0.1246703,0.1458997,0.7546159,0.1860558,0.6120877,-0.07703549,0.4216783,-0.3264983,0.3239338,0.6792771,0.4375479,0.4921396,-0.08178584,0.2421805,-0.7285634,-0.2102005,0.9615169,0.09437237,0.14965,-0.008220855,0.138119,-0.8038234,-0.2275641,0.941639,0.2161871,0.1216302,0.02983227,0.08330523,-0.8416215,-0.2275641,0.941639,0.2161871,0.1216302,0.07971658,0.8444244,-0.1032849,-0.1944988,-0.6682366,0.275977,0.6629228,0.1262673,0.5052619,0.1720433,0.03209893,-0.6932833,-0.1812121,0.6967714,0.03529024,0.09461885,0.04168255,-0.008604573,0.7290556,-0.6707583,-0.135969,0.0495331,0.01911608,0.1681781,-0.005405144,0.7255933,-0.6752668,-0.1322878,0.06127853,-6.625292E-05,0.2414953,-0.005405144,0.7255933,-0.6752668,-0.1322878,-0.02041274,0.9206748,-0.10439,-0.005398057,-0.3309579,0.9418333,-0.05820489,-0.02915486,0.9804547,-0.05629897,0.02536542,-0.3899129,0.9205003,-0.002002726,-0.02791211,1.034194,-0.0008607918,0.0557736,-0.4454647,0.8919314,0.05393595,-0.008887183,1.112077,0.1019692,0.0557736,-0.4454647,0.8919314,0.05393595,-0.06016116,1.175375,0.2239149,-0.1263656,-0.1641605,0.7606086,-0.6152707,-0.1939548,1.201244,0.2368125,0.1156719,0.7770895,-0.1563762,0.5985805,-0.2913601,0.9559035,0.2645655,-0.5043303,0.6041769,-0.4781171,0.3899046,-0.2222178,0.9459335,0.5483654,-0.5863983,0.5168771,-0.5645762,0.2650074,0.02118265,1.235177,0.2644998,0.04300035,-0.3317551,0.9413996,0.04308793,0.03283837,1.317677,0.3304987,0.02955382,-0.2128509,0.9761276,0.03156527,0.08130305,1.168713,0.202788,0.2839384,-0.1366263,0.6517414,0.6898881,0.2150139,1.170188,0.1735393,0.5742049,-0.4101361,-0.4113255,0.576965,0.2140482,1.169604,-0.09188201,0.4328921,-0.4815198,-0.1940246,0.7369517,0.2523112,1.008879,-0.3329749,0.2350834,-0.5692074,-0.1152885,0.7793893
10.00977,0,0,0,6.657903E-08,0,0,1,-0.001684441,0.837841,-0.1130894,0.2674737,-0.03369841,0.111675,0.9564784,-0.08181559,0.8217287,-0.1233204,0.1390676,0.74619,0.1617414,0.630635,-0.08337153,0.4223851,-0.3064215,0.3505062,0.6503652,0.4435869,0.5073475,-0.086547,0.263391,-0.7170419,-0.1929658,0.9639185,0.09875088,0.1545109,-0.01624876,0.1580527,-0.7936361,-0.2110218,0.9435796,0.2203366,0.1287603,0.02007115,0.1025132,-0.8320746,-0.2110218,0.9435796,0.2203366,0.1287603,0.07844671,0.8539534,-0.1028583,-0.1853128,-0.6596948,0.2607476,0.6800534,0.1268357,0.5045433,0.1590097,0.04090348,-0.6739275,-0.1991216,0.7102811,0.02717562,0.1004627,0.01518612,-0.02794539,0.745589,-0.650084,-0.1439008,0.04647787,0.0180311,0.1365827,-0.02761478,0.719884,-0.679858,-0.137104,0.06154068,-0.0001636426,0.2095441,-0.02761478,0.719884,-0.679858,-0.137104,-0.02148169,0.9304677,-0.1039096,-0.005590791,-0.3301829,0.9423357,-0.05432951,-0.0296735,0.9903941,-0.05590411,0.0227977,-0.3906697,0.9202402,0.003945976,-0.02773721,1.04404,-0.0003957401,0.05084749,-0.4476015,0.8906393,0.06188111,-0.00742901,1.121186,0.1027444,0.05084749,-0.4476015,0.8906393,0.06188111,-0.05771815,1.185013,0.2248243,-0.1400186,-0.1641564,0.7580138,-0.6155183,-0.1917396,1.210799,0.2352953,0.1277952,0.779658,-0.1201533,0.6011368,-0.2829733,0.9617079,0.244244,-0.4858114,0.627432,-0.4460784,0.4139212,-0.2127275,0.9237112,0.5253922,-0.5667795,0.5558814,-0.5318336,0.294806,0.02466913,1.24312,0.2657652,0.04024577,-0.3338503,0.9406296,0.0462654,0.03677684,1.325263,0.3321268,0.02900837,-0.2148261,0.9757631,0.02991887,0.083633,1.175748,0.2039231,0.2912008,-0.1422495,0.6452372,0.6918357,0.2171793,1.176057,0.1738975,0.5510519,-0.4289137,-0.4048674,0.5903032,0.2157771,1.158844,-0.09096384,0.4051048,-0.4861527,-0.1756014,0.7541288,0.2534891,0.9805266,-0.3194441,0.2151511,-0.5684478,-0.08676358,0.789335
20.01953,0,0,0,6.657903E-08,0,0,1,-0.002695279,0.8467765,-0.1116659,0.2653051,-0.03276021,0.1102357,0.9572816,-0.08288933,0.8308233,-0.1216506,0.1323424,0.732093,0.136149,0.6542088,-0.08975755,0.4231774,-0.2853007,0.3711178,0.6276008,0.4519459,0.5139399,-0.0909459,0.2838976,-0.7030305,-0.1813701,0.9672202,0.101514,0.1458948,-0.02450711,0.1775009,-0.7815819,-0.1983481,0.9466463,0.2228914,0.121813,0.009812294,0.1213502,-0.8209593,-0.1983481,0.9466463,0.2228914,0.121813,0.07749877,0.8627297,-0.1016812,-0.1739694,-0.6539669,0.2432968,0.6948874,0.1260822,0.5020102,0.1443367,0.05386699,-0.6581318,-0.2151565,0.7194918,0.02158905,0.1048647,-0.01458199,-0.04667976,0.7604336,-0.6337557,-0.1338485,0.04462546,0.01726781,0.1024684,-0.04988718,0.7185471,-0.6822305,-0.1255511,0.06156653,-0.000260734,0.1751805,-0.04988718,0.7185471,-0.6822305,-0.1255511,-0.02223452,0.9394959,-0.102879,-0.005834529,-0.328889,0.9429561,-0.05130315,-0.03000207,0.9996035,-0.05502952,0.02137213,-0.3902048,0.9204401,0.00857405,-0.02749531,1.053297,0.0004103916,0.04824655,-0.4478572,0.8902054,0.06804778,-0.006062919,1.130173,0.1035236,0.04824655,-0.4478572,0.8902054,0.06804778,-0.0553828,1.194681,0.2256416,-0.1540072,-0.1653921,0.7549086,-0.6156626,-0.1895915,1.220306,0.2338652,0.1400096,0.7821032,-0.08353085,0.6014438,-0.2743892,0.9689921,0.2238445,-0.4614587,0.6501155,-0.4101758,0.4429016,-0.205218,0.8995411,0.4991886,-0.5404544,0.5952877,-0.4944178,0.3302925,0.02781211,1.251683,0.2665019,0.03858413,-0.3348967,0.9402229,0.04833902,0.04022098,1.333636,0.3330432,0.02831432,-0.2166638,0.9754375,0.02786913,0.08581275,1.183521,0.2046143,0.3004435,-0.147342,0.6376717,0.6938292,0.219053,1.18267,0.1732686,0.5265969,-0.448533,-0.3970193,0.603233,0.2173013,1.148126,-0.08989191,0.3733805,-0.4935221,-0.1569955,0.7696595,0.254383,0.9517557,-0.3031661,0.1900203,-0.5702553,-0.05742116,0.7971225
30.0293,0,0,0,6.657903E-08,0,0,1,-0.003389674,0.8507705,-0.109616,0.262635,-0.03385317,0.1089506,0.9581267,-0.08361813,0.8350377,-0.1196737,0.122735,0.7119991,0.1107141,0.6824487,-0.09401283,0.4197216,-0.262531,0.3872483,0.6104192,0.4624034,0.5134302,-0.09373419,0.2996477,-0.6861825,-0.1725104,0.9711487,0.1012938,0.1298088,-0.0316393,0.1919085,-0.7664393,-0.1874118,0.9508111,0.2221455,0.107177,0.0004503401,0.1349711,-0.80656,-0.1874118,0.9508111,0.2221455,0.107177,0.07683878,0.8665032,-0.09955829,-0.1600952,-0.6526215,0.2224433,0.7063808,0.1230977,0.4931776,0.12736,0.06734086,-0.652674,-0.2305982,0.7185447,0.01649746,0.1035332,-0.04788882,-0.06392077,0.7626575,-0.6340758,-0.1105253,0.04273843,0.01624196,0.06871436,-0.06896141,0.7171751,-0.6857076,-0.1034863,0.06026269,-0.0002864788,0.1415225,-0.06896141,0.7171751,-0.6857076,-0.1034863,-0.02262991,0.9436005,-0.1013524,-0.006789177,-0.3266029,0.9438606,-0.04911067,-0.03013113,1.003973,-0.05379552,0.02057079,-0.3882817,0.9212372,0.01168115,-0.02723565,1.057888,0.001410014,0.04759662,-0.4462377,0.8907408,0.07202604,-0.004965666,1.134997,0.1041717,0.04759662,-0.4462377,0.8907408,0.07202604,-0.05348846,1.200336,0.2261666,-0.16732,-0.1671606,0.7512888,-0.6161386,-0.1878688,1.22564,0.2323245,0.1507412,0.7837919,-0.04807123,0.6005305,-0.2659125,0.9735054,0.2042715,-0.4307195,0.6713823,-0.3710366,0.4754564,-0.1999961,0.8701503,0.4695926,-0.5068862,0.6333289,-0.45287,0.3699598,0.03023327,1.256874,0.2665942,0.03765627,-0.3350114,0.9401441,0.04978814,0.04286578,1.33878,0.3331508,0.02713581,-0.2186242,0.975064,0.02678325,0.08756534,1.188046,0.2048209,0.3116576,-0.1509374,0.6300864,0.6950389,0.2203325,1.186441,0.1715562,0.5004154,-0.4690573,-0.3870678,0.6162372,0.2183138,1.133482,-0.08852267,0.3378557,-0.501662,-0.1386598,0.7841955,0.2538258,0.9191732,-0.2840552,0.1613622,-0.5714013,-0.02587898,0.8042348
40.03906,0,0,0,6.657903E-08,0,0,1,-0.00373332,0.8490658,-0.1071151,0.2598498,-0.03890685,0.1084889,0.9587464,-0.08391774,0.8335956,-0.1179048,0.1082096,0.6891678,0.08805595,0.7110448,-0.0944287,0.4113748,-0.2388299,0.3995311,0.598321,0.473612,0.5080144,-0.0936878,0.3090552,-0.6671156,-0.1629812,0.9754103,0.09601229,0.1131088,-0.03625786,0.1990821,-0.7478149,-0.1756842,0.9561284,0.2155508,0.09214959,-0.006566403,0.1408338,-0.7879003,-0.1756842,0.9561284,0.2155508,0.09214959,0.07645109,0.864536,-0.09632552,-0.1457411,-0.6542667,0.1981318,0.7151492,0.1171676,0.4783691,0.1091523,0.07843469,-0.6610326,-0.2483971,0.7036923,0.009507397,0.09764852,-0.08413401,-0.07640361,0.7518452,-0.6489764,-0.08786897,0.03803914,0.01543343,0.03557935,-0.08102269,0.7158214,-0.6885067,-0.08362881,0.0554147,-0.0002577449,0.108608,-0.08102269,0.7158214,-0.6885067,-0.08362881,-0.02269437,0.9420056,-0.09946349,-0.009823139,-0.3236481,0.9449031,-0.04810148,-0.03020478,1.002691,-0.05230668,0.01960652,-0.3851428,0.9225537,0.01325005,-0.02715071,1.056974,0.002527556,0.04869142,-0.4428769,0.8921853,0.07412689,-0.004280081,1.134782,0.1046282,0.04869142,-0.4428769,0.8921853,0.07412689,-0.05214718,1.201121,0.2263423,-0.1787649,-0.1681218,0.7474638,-0.6173137,-0.1866937,1.22594,0.2305338,0.1590081,0.7840123,-0.01453424,0.5998584,-0.257499,0.9740498,0.18595,-0.3932104,0.6905885,-0.3291757,0.5100165,-0.1969045,0.8354959,0.4360571,-0.4661771,0.6683666,-0.4086366,0.4110733,0.03186821,1.257764,0.2660059,0.03716327,-0.3340822,0.9404112,0.05133251,0.04476986,1.339769,0.3323887,0.0250846,-0.2203383,0.9747053,0.02777768,0.08878848,1.188357,0.2045,0.3240836,-0.1526249,0.6235217,0.6949072,0.2209474,1.186662,0.1688994,0.4719113,-0.4910587,-0.3740886,0.6294592,0.218963,1.113746,-0.08630447,0.2986993,-0.5091838,-0.1206889,0.7980885,0.2515635,0.8821433,-0.2615745,0.1297611,-0.5708051,0.007666952,0.8107312
50.04883,0,0,0,6.657903E-08,0,0,1,-0.003659942,0.8447409,-0.1046931,0.2575806,-0.04954013,0.1088509,0.9588272,-0.08367646,0.8296487,-0.1171377,0.08885305,0.6687297,0.06709722,0.7351215,-0.09254541,0.4012193,-0.2139533,0.4089682,0.5902251,0.4839788,0.5001441,-0.09257773,0.3143609,-0.6456407,-0.1508544,0.9797661,0.08427381,0.1009919,-0.0398346,0.2009935,-0.7248283,-0.1618993,0.9625345,0.2014228,0.08212822,-0.01257873,0.1407646,-0.7636984,-0.1618993,0.9625345,0.2014228,0.08212822,0.07635657,0.859833,-0.09224853,-0.1334016,-0.6571559,0.1720683,0.7216251,0.1084298,0.4621619,0.09168842,0.08615749,-0.6812246,-0.2673833,0.6760299,0.001543946,0.09116592,-0.1200566,-0.0852926,0.7385992,-0.6647995,-0.0723782,0.03167807,0.01457286,0.002947951,-0.08793981,0.7132186,-0.6919582,-0.06913749,0.04869379,-0.0002203089,0.07624828,-0.08793981,0.7132186,-0.6919582,-0.06913749,-0.02230851,0.9377908,-0.09763422,-0.01628396,-0.3204704,0.9459013,-0.04800389,-0.03012702,0.9987932,-0.05093949,0.0174216,-0.38103,0.9242951,0.01383023,-0.02712761,1.053561,0.003414131,0.05076761,-0.4377919,0.894489,0.07516816,-0.003797063,1.132496,0.1045408,0.05076761,-0.4377919,0.894489,0.07516816,-0.05109256,1.200121,0.2257696,-0.1875116,-0.1670422,0.7440318,-0.6191552,-0.1857813,1.224416,0.2280105,0.1647058,0.7820837,0.01676547,0.6007797,-0.2488143,0.973542,0.1685224,-0.3489578,0.7069671,-0.2848009,0.5452653,-0.1953815,0.7998642,0.3974404,-0.4197885,0.6985803,-0.3644553,0.4504839,0.03307813,1.25726,0.264379,0.03642384,-0.3320586,0.9410284,0.05363103,0.04637811,1.3395,0.3303911,0.02156949,-0.2216715,0.9743789,0.03134231,0.08973943,1.187231,0.2033408,0.33588,-0.1520751,0.6183416,0.6940547,0.2212108,1.185907,0.1652649,0.4406243,-0.5149653,-0.3574195,0.6425827,0.2197424,1.091362,-0.08274485,0.2562054,-0.5160106,-0.1028006,0.8108786,0.2482942,0.8436381,-0.2351923,0.09525258,-0.5694072,0.04192416,0.8154415
60.05859,0,0,0,6.657903E-08,0,0,1,-0.003776649,0.8414901,-0.103078,0.2552167,-0.06406213,0.1087542,0.95861,-0.08352485,0.8270085,-0.1177678,0.06526775,0.6540393,0.0461521,0.7522251,-0.09052832,0.393301,-0.1874276,0.4161685,0.5857347,0.491646,0.491938,-0.09283293,0.3182599,-0.6213193,-0.1363749,0.984027,0.06492453,0.09422205,-0.04467026,0.2003377,-0.6966811,-0.1463641,0.9698986,0.1783849,0.07780398,-0.01984135,0.1374798,-0.732926,-0.1463641,0.9698986,0.1783849,0.07780398,0.07597155,0.8559718,-0.08838817,-0.1228709,-0.6611435,0.1470169,0.7253815,0.09829613,0.4489059,0.07532751,0.09374444,-0.7015329,-0.2850257,0.6463933,-0.005430126,0.08767524,-0.1541322,-0.09527949,0.7300578,-0.6736705,-0.06407703,0.02693027,0.01464832,-0.02953476,-0.09674346,0.7141979,-0.6904619,-0.0618445,0.04441586,-0.0001994429,0.043644,-0.09674346,0.7141979,-0.6904619,-0.0618445,-0.02188476,0.9346929,-0.09665627,-0.02535943,-0.3175974,0.9467019,-0.04737689,-0.03005546,0.9959877,-0.0504068,0.01394852,-0.3775729,0.9257531,0.01502785,-0.02709352,1.051155,0.003543182,0.05287475,-0.4336222,0.8962498,0.07689334,-0.003142202,1.13097,0.1038312,0.05287475,-0.4336222,0.8962498,0.07689334,-0.0497065,1.199693,0.2247249,-0.193072,-0.1639025,0.7410058,-0.6219084,-0.1845291,1.223337,0.2251026,0.1683494,0.7771528,0.04626758,0.6046088,-0.2391313,0.9740943,0.1519829,-0.2989112,0.7194866,-0.2384879,0.5797543,-0.1942394,0.767297,0.3535818,-0.3702232,0.7225183,-0.3232637,0.4862133,0.0347142,1.257123,0.2623439,0.03469651,-0.3303973,0.9414552,0.05741389,0.04864197,1.339508,0.3280454,0.01605313,-0.2227422,0.9740368,0.03716463,0.09098787,1.186524,0.2016052,0.3455859,-0.1494167,0.6144237,0.6933464,0.2217482,1.185687,0.1611419,0.4071693,-0.5400478,-0.3366423,0.6551595,0.2213956,1.068431,-0.07697684,0.2108453,-0.5230401,-0.0844656,0.821486,0.2452988,0.8063161,-0.204048,0.05792844,-0.5688428,0.07538591,0.8169329
70.06836,0,0,0,6.657903E-08,0,0,1,-0.004152106,0.8387005,-0.1015934,0.2512846,-0.07673982,0.1073886,0.9588717,-0.08365485,0.8249133,-0.1181617,0.03717548,0.6464919,0.02496354,0.7616057,-0.08806667,0.3873532,-0.1572188,0.4204725,0.5856224,0.4959216,0.4840572,-0.09413867,0.3191972,-0.5922089,-0.1223,0.987725,0.03940571,0.08882375,-0.05038023,0.1961732,-0.6618865,-0.1313452,0.9773632,0.1480365,0.07480223,-0.02792031,0.1304229,-0.6943477,-0.1313452,0.9773632,0.1480365,0.07480223,0.07535064,0.8524878,-0.08502518,-0.1129605,-0.6651158,0.1252142,0.7274494,0.08936947,0.4381534,0.06035102,0.1058246,-0.7101721,-0.3009876,0.6275856,-0.01019274,0.0872735,-0.1863657,-0.1067531,0.7282024,-0.6742801,-0.06059267,0.02506183,0.01514263,-0.06203182,-0.1077576,0.7167546,-0.6864368,-0.05878786,0.04365884,-0.0001829877,0.01077328,-0.1077576,0.7167546,-0.6864368,-0.05878786,-0.02150598,0.9321027,-0.09604725,-0.0332867,-0.3129122,0.9480773,-0.04612382,-0.029868,0.9938718,-0.05046789,0.01091178,-0.3721052,0.9279854,0.01618405,-0.02692148,1.049667,0.002833745,0.05471137,-0.4273154,0.8990754,0.07792188,-0.002554642,1.130856,0.1019111,0.05471137,-0.4273154,0.8990754,0.07792188,-0.04859281,1.201177,0.2220853,-0.195775,-0.1600772,0.7378032,-0.6258546,-0.1835835,1.223812,0.2208749,0.1708549,0.7666934,0.07427911,0.6143878,-0.2288946,0.9768128,0.1349205,-0.2457729,0.7266755,-0.1915312,0.6122537,-0.1930438,0.7412936,0.3042364,-0.321554,0.738489,-0.2873958,0.5183057,0.03595854,1.259181,0.2585102,0.03206506,-0.3274832,0.9423293,0.06117232,0.05044517,1.341879,0.3236958,0.009013808,-0.2235147,0.9736809,0.04365004,0.09199931,1.187809,0.1984629,0.3533,-0.1461627,0.6112772,0.6929328,0.2220941,1.187393,0.1559021,0.3741346,-0.5640196,-0.3111032,0.6671733,0.2239301,1.047654,-0.06975078,0.1629908,-0.5306896,-0.06491297,0.8292099,0.2430271,0.7733749,-0.1688905,0.01818412,-0.56991,0.1070507,0.8145015
