Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,-0.01389418,0.843736,-0.07586303,0.213885,-0.05703741,0.007605676,0.9751626,-0.09572151,0.8445239,-0.0852943,0.1737709,0.7168208,0.1148602,0.6654164,-0.1380129,0.4433256,-0.2592341,0.2690471,0.6794375,0.42357,0.5353196,-0.09991968,0.2245565,-0.6394807,-0.1783045,0.9678223,-0.04005247,0.1729845,-0.03348803,0.09873638,-0.6802334,-0.194612,0.9670119,0.05632161,0.1544095,-0.0001778556,0.03148297,-0.6960035,-0.194612,0.9670119,0.05632161,0.1544095,0.06793316,0.8429481,-0.06643175,-0.212824,-0.6622151,0.2653472,0.6676586,0.09976286,0.5052881,0.2128108,-0.1262264,-0.6898149,0.08726849,0.7075354,0.0780927,0.08565153,0.3444693,0.07062697,0.4606282,-0.8752852,-0.1292642,0.08427496,0.1082331,0.4906081,0.08339437,0.4740026,-0.8697932,-0.10875,0.08943377,0.1377875,0.561186,0.08339437,0.4740026,-0.8697932,-0.10875,-0.0129434,0.9388932,-0.07616515,-0.007199084,-0.240252,0.9706574,0.007177873,-0.01213449,1.00719,-0.04014176,0.04283572,-0.2658844,0.9628018,0.02198774,-0.007106081,1.073417,-0.0007518665,0.09270141,-0.2905912,0.9516383,0.03671554,0.009030887,1.181435,0.07047624,0.09270141,-0.2905912,0.9516383,0.03671554,-0.04246486,1.276471,0.1695855,-0.0733318,-0.0930432,0.7835684,-0.6099068,-0.1751641,1.309147,0.1773002,0.4169234,0.557519,0.1169258,0.7082911,-0.2545922,1.143254,-0.01406525,-0.3594917,0.7001395,-0.2496333,0.5641404,-0.1897863,0.9629526,0.206647,-0.3507226,0.733165,-0.4524616,0.3670722,0.03453606,1.352166,0.1830575,0.0591514,-0.2180677,0.9737836,0.02633495,0.0427299,1.448201,0.2278686,0.02518844,-0.1440214,0.9891285,0.01577041,0.09787628,1.27418,0.1412664,0.2800023,-0.04377956,0.6929496,0.6629505,0.2269955,1.290217,0.09875404,0.4198518,-0.4513481,-0.2914604,0.7314785,0.2144152,1.163463,-0.1341087,0.2781642,-0.5893458,-0.1755285,0.7378933,0.2345309,0.9344315,-0.3145584,-0.03084167,-0.7732406,0.1209931,0.6216984
0,0,0,0,6.657903E-08,0,0,1,-0.01389418,0.843736,-0.07586303,0.213885,-0.05703741,0.007605676,0.9751626,-0.09572151,0.8445239,-0.0852943,0.1737709,0.7168208,0.1148602,0.6654164,-0.1380129,0.4433256,-0.2592341,0.2690471,0.6794375,0.42357,0.5353196,-0.09991968,0.2245565,-0.6394807,-0.1783045,0.9678223,-0.04005247,0.1729845,-0.03348803,0.09873638,-0.6802334,-0.194612,0.9670119,0.05632161,0.1544095,-0.0001778556,0.03148297,-0.6960035,-0.194612,0.9670119,0.05632161,0.1544095,0.06793316,0.8429481,-0.06643175,-0.212824,-0.6622151,0.2653472,0.6676586,0.09976286,0.5052881,0.2128108,-0.1262264,-0.6898149,0.08726849,0.7075354,0.0780927,0.08565153,0.3444693,0.07062697,0.4606282,-0.8752852,-0.1292642,0.08427496,0.1082331,0.4906081,0.08339437,0.4740026,-0.8697932,-0.10875,0.08943377,0.1377875,0.561186,0.08339437,0.4740026,-0.8697932,-0.10875,-0.0129434,0.9388932,-0.07616515,-0.007199084,-0.240252,0.9706574,0.007177873,-0.01213449,1.00719,-0.04014176,0.04283572,-0.2658844,0.9628018,0.02198774,-0.007106081,1.073417,-0.0007518665,0.09270141,-0.2905912,0.9516383,0.03671554,0.009030887,1.181435,0.07047624,0.09270141,-0.2905912,0.9516383,0.03671554,-0.04246486,1.276471,0.1695855,-0.0733318,-0.0930432,0.7835684,-0.6099068,-0.1751641,1.309147,0.1773002,0.4169234,0.557519,0.1169258,0.7082911,-0.2545922,1.143254,-0.01406525,-0.3594917,0.7001395,-0.2496333,0.5641404,-0.1897863,0.9629526,0.206647,-0.3507226,0.733165,-0.4524616,0.3670722,0.03453606,1.352166,0.1830575,0.0591514,-0.2180677,0.9737836,0.02633495,0.0427299,1.448201,0.2278686,0.02518844,-0.1440214,0.9891285,0.01577041,0.09787628,1.27418,0.1412664,0.2800023,-0.04377956,0.6929496,0.6629505,0.2269955,1.290217,0.09875404,0.4198518,-0.4513481,-0.2914604,0.7314785,0.2144152,1.163463,-0.1341087,0.2781642,-0.5893458,-0.1755285,0.7378933,0.2345309,0.9344315,-0.3145584,-0.03084167,-0.7732406,0.1209931,0.6216984
0,0,0,0,6.657903E-08,0,0,1,-0.01389418,0.843736,-0.07586303,0.213885,-0.05703741,0.007605676,0.9751626,-0.09572151,0.8445239,-0.0852943,0.1737709,0.7168208,0.1148602,0.6654164,-0.1380129,0.4433256,-0.2592341,0.2690471,0.6794375,0.42357,0.5353196,-0.09991968,0.2245565,-0.6394807,-0.1783045,0.9678223,-0.04005247,0.1729845,-0.03348803,0.09873638,-0.6802334,-0.194612,0.9670119,0.05632161,0.1544095,-0.0001778556,0.03148297,-0.6960035,-0.194612,0.9670119,0.05632161,0.1544095,0.06793316,0.8429481,-0.06643175,-0.212824,-0.6622151,0.2653472,0.6676586,0.09976286,0.5052881,0.2128108,-0.1262264,-0.6898149,0.08726849,0.7075354,0.0780927,0.08565153,0.3444693,0.07062697,0.4606282,-0.8752852,-0.1292642,0.08427496,0.1082331,0.4906081,0.08339437,0.4740026,-0.8697932,-0.10875,0.08943377,0.1377875,0.561186,0.08339437,0.4740026,-0.8697932,-0.10875,-0.0129434,0.9388932,-0.07616515,-0.007199084,-0.240252,0.9706574,0.007177873,-0.01213449,1.00719,-0.04014176,0.04283572,-0.2658844,0.9628018,0.02198774,-0.007106081,1.073417,-0.0007518665,0.09270141,-0.2905912,0.9516383,0.03671554,0.009030887,1.181435,0.07047624,0.09270141,-0.2905912,0.9516383,0.03671554,-0.04246486,1.276471,0.1695855,-0.0733318,-0.0930432,0.7835684,-0.6099068,-0.1751641,1.309147,0.1773002,0.4169234,0.557519,0.1169258,0.7082911,-0.2545922,1.143254,-0.01406525,-0.3594917,0.7001395,-0.2496333,0.5641404,-0.1897863,0.9629526,0.206647,-0.3507226,0.733165,-0.4524616,0.3670722,0.03453606,1.352166,0.1830575,0.0591514,-0.2180677,0.9737836,0.02633495,0.0427299,1.448201,0.2278686,0.02518844,-0.1440214,0.9891285,0.01577041,0.09787628,1.27418,0.1412664,0.2800023,-0.04377956,0.6929496,0.6629505,0.2269955,1.290217,0.09875404,0.4198518,-0.4513481,-0.2914604,0.7314785,0.2144152,1.163463,-0.1341087,0.2781642,-0.5893458,-0.1755285,0.7378933,0.2345309,0.9344315,-0.3145584,-0.03084167,-0.7732406,0.1209931,0.6216984
10.00977,0,0,0,6.657903E-08,0,0,1,-0.01433232,0.8492883,-0.07572912,0.2109548,-0.04679679,0.007221245,0.9763483,-0.09633578,0.8497532,-0.08350731,0.1638645,0.7248142,0.1024401,0.661286,-0.141172,0.4432447,-0.2439575,0.2864546,0.6644414,0.444057,0.5284649,-0.1027348,0.248646,-0.637089,-0.1689215,0.9671867,-0.03941157,0.1856409,-0.03738871,0.1220877,-0.6773077,-0.1865558,0.9663081,0.057027,0.1679103,-0.004805114,0.05443094,-0.6928691,-0.1865558,0.9663081,0.057027,0.1679103,0.06767113,0.8488235,-0.06795093,-0.2181228,-0.6567605,0.2564639,0.6747698,0.0938544,0.509097,0.209365,-0.1195619,-0.6841215,0.07179312,0.7159109,0.06771811,0.08584054,0.3279794,0.06655488,0.4690857,-0.869888,-0.1372008,0.07579859,0.1051361,0.4744958,0.07993242,0.4817924,-0.8648595,-0.1162122,0.08197987,0.1332039,0.5455964,0.07993242,0.4817924,-0.8648595,-0.1162122,-0.0137059,0.9444443,-0.07664994,-0.000983272,-0.2385859,0.9710729,0.009665306,-0.01229261,1.012858,-0.04086752,0.04498,-0.2655442,0.9626822,0.02657511,-0.006496888,1.079078,-0.001572272,0.09079075,-0.291649,0.9512175,0.04339676,0.01117364,1.186796,0.06974645,0.09079075,-0.291649,0.9512175,0.04339676,-0.03895757,1.282459,0.1689521,-0.07620551,-0.09032544,0.7847714,-0.6084143,-0.1715536,1.315769,0.1756648,0.4148875,0.5583051,0.1320065,0.706214,-0.2450276,1.150971,-0.018996,-0.3341044,0.6998865,-0.2439015,0.5822762,-0.1913565,0.9587221,0.1945043,-0.3258958,0.7365443,-0.443562,0.3931253,0.03910276,1.357052,0.182471,0.05812011,-0.2166643,0.9740721,0.02936421,0.04786032,1.453181,0.2269732,0.02501881,-0.1400743,0.9897096,0.0151141,0.1013307,1.278221,0.1405955,0.2765141,-0.04188895,0.6895729,0.668038,0.2306125,1.292449,0.09793368,0.4097393,-0.4564898,-0.2883589,0.7352417,0.217356,1.160287,-0.1318648,0.27176,-0.585754,-0.1726622,0.7437924,0.2353356,0.9286129,-0.3091395,-0.02466107,-0.763707,0.1248869,0.6328879
20.01953,0,0,0,6.657903E-08,0,0,1,-0.01492483,0.8546419,-0.07557888,0.2070729,-0.03662937,0.006179689,0.9776201,-0.09707032,0.8548961,-0.08168917,0.1538661,0.7284061,0.08746852,0.6618906,-0.1446772,0.4430982,-0.227153,0.3080162,0.6427017,0.4593001,0.5301926,-0.1051717,0.2719295,-0.6309339,-0.1567166,0.9676678,-0.03600658,0.1943265,-0.04192974,0.1445401,-0.6718854,-0.1753382,0.9664268,0.06080263,0.1777058,-0.01055477,0.07642558,-0.6879268,-0.1753382,0.9664268,0.06080263,0.1777058,0.06722067,0.8543876,-0.06946859,-0.2268564,-0.6526627,0.2471254,0.6793355,0.08463563,0.5139437,0.2076568,-0.1065608,-0.6818391,0.05449289,0.7216446,0.05591366,0.08617003,0.3080717,0.05748702,0.4843355,-0.8610825,-0.1437065,0.0664722,0.09983629,0.4550629,0.07122713,0.4958588,-0.8567057,-0.1229092,0.07394117,0.1253611,0.5269936,0.07122713,0.4958588,-0.8567057,-0.1229092,-0.01450351,0.949788,-0.07728743,0.005136224,-0.2362324,0.9715967,0.01296126,-0.01237125,1.018363,-0.0418506,0.04701247,-0.2647687,0.9626296,0.03212102,-0.005673535,1.084596,-0.002721434,0.08874647,-0.2925062,0.95076,0.0511837,0.01378687,1.191991,0.06861793,0.08874647,-0.2925062,0.95076,0.0511837,-0.03472247,1.288424,0.1678857,-0.07984066,-0.08819628,0.7859548,-0.6067308,-0.1671967,1.322397,0.1736008,0.4130834,0.5621057,0.1505874,0.7005165,-0.2344589,1.159593,-0.02494497,-0.3037268,0.7006499,-0.2359663,0.6009662,-0.1929573,0.953793,0.178393,-0.2893364,0.7445433,-0.4282556,0.4225366,0.04454501,1.361738,0.1813751,0.05688747,-0.2153246,0.9743363,0.03268202,0.05391848,1.457946,0.2255795,0.02458072,-0.1364483,0.9902444,0.01392314,0.10546,1.281922,0.1394345,0.2738106,-0.04123593,0.6864635,0.6723806,0.2349093,1.29457,0.09678327,0.3983195,-0.4629156,-0.2849004,0.7388391,0.2210499,1.156458,-0.1294524,0.2641626,-0.5829833,-0.1686434,0.7496054,0.2371746,0.9216021,-0.3026724,-0.01859281,-0.7536685,0.1285026,0.6443028
30.0293,0,0,0,6.657903E-08,0,0,1,-0.01574795,0.8602805,-0.07514099,0.2021018,-0.0292554,0.004861049,0.9789155,-0.09797588,0.8604706,-0.08002092,0.1434625,0.7264117,0.07005956,0.6684583,-0.1483932,0.4435451,-0.2089975,0.3274281,0.6216837,0.4719132,0.5325397,-0.1069537,0.2936002,-0.6209415,-0.144832,0.9696186,-0.02889421,0.1950107,-0.04640072,0.1657135,-0.6643349,-0.1637283,0.9676015,0.06886686,0.1794392,-0.0164263,0.09731761,-0.6817939,-0.1637283,0.9676015,0.06886686,0.1794392,0.06647998,0.8600903,-0.07026107,-0.233133,-0.6508865,0.2390963,0.6817837,0.07638124,0.5187532,0.2061348,-0.08975171,-0.680561,0.03425241,0.7263665,0.0451321,0.08648875,0.2840413,0.04620946,0.5050055,-0.8494267,-0.1459744,0.05774083,0.09280717,0.4313702,0.0598809,0.5149779,-0.8457574,-0.1261228,0.0662578,0.1149829,0.5042881,0.0598809,0.5149779,-0.8457574,-0.1261228,-0.0153687,0.9554041,-0.07783078,0.009201206,-0.2330421,0.9722838,0.01646605,-0.01256502,1.024194,-0.04286106,0.0477444,-0.2633868,0.9627661,0.03780771,-0.00500134,1.090479,-0.003977317,0.08614856,-0.2929553,0.9504052,0.0590388,0.01621312,1.19758,0.06730448,0.08614856,-0.2929553,0.9504052,0.0590388,-0.03072352,1.294862,0.1664986,-0.08396787,-0.08638343,0.7869028,-0.6052036,-0.1630842,1.329429,0.1711957,0.4116051,0.5675653,0.1706007,0.6923485,-0.2243957,1.16939,-0.03148194,-0.2692147,0.7019898,-0.2263656,0.6192679,-0.195867,0.9494373,0.1588576,-0.245572,0.7564539,-0.4073448,0.4489348,0.04974367,1.366861,0.1799707,0.05523904,-0.2137792,0.9746566,0.03594123,0.05970106,1.463162,0.2238428,0.02386848,-0.132819,0.9907737,0.01254372,0.1093411,1.286021,0.138098,0.2724612,-0.04186053,0.6835232,0.6758763,0.2389347,1.297365,0.09551809,0.3853409,-0.4710959,-0.2815681,0.7418225,0.2244204,1.152852,-0.1266415,0.2556146,-0.5809345,-0.1634539,0.7552878,0.239057,0.9143913,-0.2950007,-0.01288657,-0.743515,0.1321256,0.6554103
40.03906,0,0,0,6.657903E-08,0,0,1,-0.01664339,0.8664536,-0.07433146,0.1957493,-0.02589532,0.004566898,0.9803014,-0.09890231,0.8665511,-0.07866085,0.1314337,0.7210194,0.05062005,0.6784496,-0.1519925,0.444659,-0.1890791,0.3410383,0.6060691,0.4841615,0.531,-0.1082287,0.313048,-0.6070045,-0.1341322,0.9725817,-0.02036714,0.1888879,-0.05073211,0.1849221,-0.6537225,-0.1526328,0.9696167,0.07857241,0.1742796,-0.02226963,0.1163845,-0.6730559,-0.1526328,0.9696167,0.07857241,0.1742796,0.06561553,0.8663561,-0.07000209,-0.2325683,-0.6525524,0.2332193,0.6824193,0.07210897,0.5223489,0.2031657,-0.07169614,-0.6788445,0.01326595,0.7306529,0.03841444,0.08663704,0.2571877,0.03407456,0.5324621,-0.8340335,-0.1403957,0.05180787,0.08359743,0.4045513,0.04697843,0.5404743,-0.8310638,-0.1225291,0.06068042,0.1014446,0.4786058,0.04697843,0.5404743,-0.8310638,-0.1225291,-0.01632414,0.9615343,-0.07826117,0.01042348,-0.2287994,0.973233,0.01896374,-0.01310547,1.030613,-0.04390211,0.04682105,-0.261257,0.9631954,0.04250845,-0.004892982,1.097012,-0.005346316,0.0830755,-0.2929211,0.9502367,0.06592353,0.01778944,1.203894,0.0658123,0.0830755,-0.2929211,0.9502367,0.06592353,-0.02786709,1.302017,0.1647761,-0.08805568,-0.08431905,0.7873281,-0.6043599,-0.1601633,1.336959,0.1683814,0.407684,0.5743858,0.1901847,0.6838894,-0.2154258,1.178966,-0.03761344,-0.2314384,0.7035091,-0.2155969,0.6364193,-0.2004561,0.9451754,0.1371445,-0.1993214,0.7724671,-0.3799143,0.4682212,0.05364021,1.372828,0.1782838,0.05323419,-0.211616,0.9751287,0.03884253,0.06408703,1.46928,0.2217114,0.02292162,-0.1284372,0.991387,0.01141762,0.1121001,1.291046,0.1366391,0.272504,-0.04331546,0.6803486,0.6789633,0.2417902,1.301211,0.09405552,0.3708683,-0.4811141,-0.2781416,0.7440587,0.2266481,1.14987,-0.1234673,0.2459184,-0.579446,-0.1569353,0.7610111,0.240131,0.9073461,-0.2860183,-0.007808924,-0.7334131,0.1363473,0.6659232
50.04883,0,0,0,6.657903E-08,0,0,1,-0.01722072,0.873438,-0.07313577,0.1884657,-0.02739633,0.006163867,0.9816782,-0.09946364,0.8732918,-0.07775789,0.1173192,0.7153613,0.02926214,0.6882139,-0.1555095,0.4468157,-0.1670927,0.3499031,0.5953891,0.4960986,0.5262755,-0.1096681,0.3309054,-0.5894218,-0.1233444,0.9758938,-0.01453205,0.1794613,-0.05574304,0.2022896,-0.6389669,-0.1410014,0.9722888,0.08505671,0.1659483,-0.02906048,0.1334806,-0.6598152,-0.1410014,0.9722888,0.08505671,0.1659483,0.0650222,0.8735843,-0.06851366,-0.2244405,-0.6570727,0.2271207,0.6828603,0.07171565,0.5238466,0.1972731,-0.05543789,-0.6762772,-0.007924318,0.7345156,0.03420333,0.08621135,0.2283643,0.01900116,0.5698434,-0.811931,-0.1252431,0.04750834,0.07056613,0.3749348,0.03016082,0.5754722,-0.8097278,-0.1107398,0.05619382,0.08243179,0.4502016,0.03016082,0.5754722,-0.8097278,-0.1107398,-0.01708965,0.9684502,-0.07847983,0.008443753,-0.2237905,0.9744012,0.01971799,-0.01383054,1.037875,-0.04482844,0.04437383,-0.2584991,0.9639129,0.04562031,-0.005267736,1.104453,-0.006659517,0.08014875,-0.2923516,0.9502704,0.07136615,0.01852854,1.211227,0.06429713,0.08014875,-0.2923516,0.9502704,0.07136615,-0.02617751,1.310126,0.1629212,-0.09171378,-0.08128139,0.7871855,-0.604418,-0.1584708,1.345187,0.1652619,0.4029863,0.5798034,0.2078423,0.6769284,-0.2078174,1.188903,-0.04352014,-0.1912501,0.7050828,-0.2035113,0.6518165,-0.2065341,0.942222,0.1132257,-0.1539145,0.7921473,-0.3453848,0.4790848,0.05613985,1.379991,0.1764493,0.05124299,-0.2086142,0.9757788,0.04135608,0.06699117,1.476667,0.2192727,0.02185559,-0.122916,0.9921161,0.01095728,0.1137125,1.297415,0.1351348,0.2733939,-0.04484914,0.6763747,0.6824674,0.2434382,1.306237,0.09236051,0.355119,-0.4929471,-0.2740141,0.7455268,0.2279212,1.147616,-0.1198855,0.2353131,-0.5779892,-0.1492954,0.7669859,0.2404887,0.9007418,-0.2758258,-0.003589377,-0.7230349,0.1420093,0.6760482
60.05859,0,0,0,6.657903E-08,0,0,1,-0.0173877,0.8803737,-0.07149313,0.1808431,-0.03517875,0.009130482,0.9828402,-0.09954292,0.8799434,-0.07746125,0.1016544,0.7099986,0.006592917,0.6967963,-0.158922,0.4497392,-0.1438104,0.3569324,0.5872429,0.5063077,0.5209584,-0.1118445,0.347217,-0.5694526,-0.1109007,0.9790487,-0.01483465,0.1701328,-0.06215628,0.2173663,-0.6201926,-0.127534,0.9755314,0.08422983,0.158048,-0.03766404,0.1478927,-0.6415199,-0.127534,0.9755314,0.08422983,0.158048,0.06476751,0.8808039,-0.06552501,-0.2127175,-0.6596481,0.217416,0.6872744,0.07276818,0.5227729,0.1889422,-0.03937965,-0.6819723,-0.03127234,0.7296475,0.02965332,0.08459762,0.1954225,-0.001155119,0.6132141,-0.7833728,-0.1014625,0.04333382,0.05410923,0.3396028,0.007068116,0.6165957,-0.7819,-0.09160975,0.05192433,0.05866534,0.4156736,0.007068116,0.6165957,-0.7819,-0.09160975,-0.01739031,0.975292,-0.07830537,0.00236038,-0.2183671,0.9756758,0.01916415,-0.01442301,1.04509,-0.04540841,0.04002973,-0.2552242,0.9648849,0.04749281,-0.005767992,1.111901,-0.007669666,0.07752529,-0.2911135,0.9505387,0.07562659,0.01886431,1.2187,0.06296321,0.07752529,-0.2911135,0.9505387,0.07562659,-0.02514135,1.318367,0.1611284,-0.09471727,-0.07654487,0.7867007,-0.605204,-0.1574677,1.353373,0.1619208,0.3978255,0.5827665,0.2225019,0.6727642,-0.2010757,1.198243,-0.0489892,-0.149354,0.7064371,-0.1896471,0.6653379,-0.2131582,0.9400349,0.0874099,-0.1105999,0.8135387,-0.3042455,0.4830708,0.05779704,1.387504,0.1746037,0.04937802,-0.2051002,0.9765174,0.04370119,0.06902207,1.484447,0.216722,0.0207426,-0.1170595,0.9928438,0.01134384,0.1146878,1.304244,0.1337202,0.27437,-0.04580648,0.671582,0.6867321,0.244386,1.311444,0.09056024,0.3383624,-0.5066087,-0.2685533,0.7461489,0.2290105,1.145081,-0.1156844,0.2240817,-0.5759798,-0.1407515,0.7734495,0.240819,0.8937423,-0.2643838,-0.0003644367,-0.7116487,0.1499483,0.6863468
69.82422,0,0,0,6.657903E-08,0,0,1,-0.0173538,0.8840703,-0.0695933,0.1720316,-0.04801205,0.01097354,0.9838595,-0.09932702,0.8836523,-0.07768641,0.08414847,0.7040882,-0.01585776,0.7049308,-0.1612067,0.450773,-0.1199961,0.3642566,0.5803578,0.5132326,0.5168117,-0.1144059,0.3591227,-0.5481413,-0.09673514,0.9816595,-0.02227935,0.1627598,-0.06945116,0.2272322,-0.5980274,-0.1123585,0.9790501,0.0749203,0.1523942,-0.04749244,0.1566815,-0.6185626,-0.1123585,0.9790501,0.0749203,0.1523942,0.06461943,0.8844882,-0.06150018,-0.2076702,-0.6545361,0.2032087,0.6979699,0.06980857,0.5193421,0.1827235,-0.0185052,-0.702233,-0.05663889,0.7094497,0.02360901,0.08206282,0.1592494,-0.02402752,0.6488109,-0.7568743,-0.0748914,0.03908856,0.03924258,0.3000737,-0.01950663,0.6507884,-0.7557821,-0.06991114,0.04821425,0.0374747,0.3761979,-0.01950663,0.6507884,-0.7557821,-0.06991114,-0.01700055,0.9788539,-0.07806911,-0.007093738,-0.211899,0.9770794,0.01909505,-0.01435126,1.049082,-0.04607294,0.03402871,-0.2510374,0.9661267,0.04921061,-0.005689378,1.116195,-0.008874968,0.07495586,-0.2890624,0.9510895,0.07908014,0.01957522,1.223165,0.06127419,0.07495586,-0.2890624,0.9510895,0.07908014,-0.02392299,1.32367,0.1588086,-0.0966792,-0.0695511,0.7860709,-0.6065548,-0.1562917,1.358508,0.1577219,0.3932234,0.5826286,0.2337679,0.671768,-0.1945473,1.204175,-0.05480477,-0.1061186,0.707136,-0.1730908,0.6773016,-0.2192116,0.9359989,0.05875561,-0.06924041,0.8335342,-0.2582345,0.4834686,0.0595073,1.392239,0.1721501,0.04748718,-0.2016567,0.9772259,0.04592739,0.0710842,1.489437,0.2135791,0.01953522,-0.1121988,0.9934176,0.01230729,0.1158653,1.308336,0.1318465,0.2748476,-0.04614274,0.6666915,0.6912689,0.2455035,1.313817,0.0882555,0.3209416,-0.5220849,-0.2612178,0.7457812,0.231036,1.139294,-0.1111996,0.2123467,-0.5731511,-0.1314189,0.780472,0.2422221,0.8834761,-0.2521057,0.001787582,-0.6987139,0.1607047,0.6971155
