Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.001434674,0.8578117,-0.09852447,0.2149319,-0.06378382,0.07088117,0.9719629,-0.0794402,0.8487203,-0.1112478,0.1885891,0.7059016,0.1062493,0.6744244,-0.1334487,0.4505669,-0.2889012,0.3771611,0.5886248,0.4405971,0.5631561,-0.11108,0.3064074,-0.7043721,-0.1248506,0.9808815,-0.03454904,0.1452248,-0.06106281,0.1751494,-0.7510011,-0.138369,0.9795979,0.06091132,0.132408,-0.03624633,0.1049784,-0.7694796,-0.138369,0.9795979,0.06091132,0.132408,0.08230955,0.8669031,-0.08580115,-0.2275946,-0.699201,0.2437223,0.6323909,0.07791046,0.5252863,0.1903916,-0.002512262,-0.7511241,-0.03543032,0.659205,0.05630954,0.08602283,0.1684947,0.09220445,0.5858002,-0.8017357,-0.07454196,0.04294444,0.06783874,0.3147665,0.1033644,0.5897335,-0.7987418,-0.05951656,0.03791045,0.07845265,0.3905512,0.1033644,0.5897335,-0.7987418,-0.05951656,-0.009064001,0.9523894,-0.09937289,-0.01793858,-0.2798935,0.959224,-0.0350292,-0.01502867,1.017321,-0.05800622,0.02840919,-0.3431668,0.9388438,0.001380914,-0.0133228,1.076352,-0.008255241,0.07431038,-0.4034456,0.9112056,0.03760426,0.003431519,1.163927,0.08688475,0.07431038,-0.4034456,0.9112056,0.03760426,-0.04886958,1.235076,0.2039698,-0.1224411,-0.1393214,0.7467936,-0.6386684,-0.1841109,1.254976,0.2110451,0.2163353,0.6772183,0.08564303,0.6980259,-0.2301484,1.01829,0.1000952,-0.4289789,0.6428571,-0.2947771,0.5619772,-0.1657818,0.8843804,0.3517847,-0.3291007,0.6735686,-0.5187226,0.4110056,0.02991247,1.302346,0.2372607,0.02715208,-0.2721862,0.9616739,0.01899284,0.03536646,1.392812,0.2927957,-0.02061293,-0.1348447,0.9906524,-4.299593E-05,0.09233225,1.233849,0.1802339,0.3174285,-0.1076522,0.6482487,0.6836841,0.2230171,1.239594,0.1399267,0.4227297,-0.5475308,-0.2842143,0.6638765,0.2457232,1.111914,-0.0916587,0.1410221,-0.5972319,-0.1576947,0.7736663,0.2236386,0.8458037,-0.2104872,0.03314111,-0.6987581,0.09773986,0.7078742
0,0,0,0,6.657903E-08,0,0,1,0.001434674,0.8578117,-0.09852447,0.2149319,-0.06378382,0.07088117,0.9719629,-0.0794402,0.8487203,-0.1112478,0.1885891,0.7059016,0.1062493,0.6744244,-0.1334487,0.4505669,-0.2889012,0.3771611,0.5886248,0.4405971,0.5631561,-0.11108,0.3064074,-0.7043721,-0.1248506,0.9808815,-0.03454904,0.1452248,-0.06106281,0.1751494,-0.7510011,-0.138369,0.9795979,0.06091132,0.132408,-0.03624633,0.1049784,-0.7694796,-0.138369,0.9795979,0.06091132,0.132408,0.08230955,0.8669031,-0.08580115,-0.2275946,-0.699201,0.2437223,0.6323909,0.07791046,0.5252863,0.1903916,-0.002512262,-0.7511241,-0.03543032,0.659205,0.05630954,0.08602283,0.1684947,0.09220445,0.5858002,-0.8017357,-0.07454196,0.04294444,0.06783874,0.3147665,0.1033644,0.5897335,-0.7987418,-0.05951656,0.03791045,0.07845265,0.3905512,0.1033644,0.5897335,-0.7987418,-0.05951656,-0.009064001,0.9523894,-0.09937289,-0.01793858,-0.2798935,0.959224,-0.0350292,-0.01502867,1.017321,-0.05800622,0.02840919,-0.3431668,0.9388438,0.001380914,-0.0133228,1.076352,-0.008255241,0.07431038,-0.4034456,0.9112056,0.03760426,0.003431519,1.163927,0.08688475,0.07431038,-0.4034456,0.9112056,0.03760426,-0.04886958,1.235076,0.2039698,-0.1224411,-0.1393214,0.7467936,-0.6386684,-0.1841109,1.254976,0.2110451,0.2163353,0.6772183,0.08564303,0.6980259,-0.2301484,1.01829,0.1000952,-0.4289789,0.6428571,-0.2947771,0.5619772,-0.1657818,0.8843804,0.3517847,-0.3291007,0.6735686,-0.5187226,0.4110056,0.02991247,1.302346,0.2372607,0.02715208,-0.2721862,0.9616739,0.01899284,0.03536646,1.392812,0.2927957,-0.02061293,-0.1348447,0.9906524,-4.299593E-05,0.09233225,1.233849,0.1802339,0.3174285,-0.1076522,0.6482487,0.6836841,0.2230171,1.239594,0.1399267,0.4227297,-0.5475308,-0.2842143,0.6638765,0.2457232,1.111914,-0.0916587,0.1410221,-0.5972319,-0.1576947,0.7736663,0.2236386,0.8458037,-0.2104872,0.03314111,-0.6987581,0.09773986,0.7078742
0,0,0,0,6.657903E-08,0,0,1,0.001434674,0.8578117,-0.09852447,0.2149319,-0.06378382,0.07088117,0.9719629,-0.0794402,0.8487203,-0.1112478,0.1885891,0.7059016,0.1062493,0.6744244,-0.1334487,0.4505669,-0.2889012,0.3771611,0.5886248,0.4405971,0.5631561,-0.11108,0.3064074,-0.7043721,-0.1248506,0.9808815,-0.03454904,0.1452248,-0.06106281,0.1751494,-0.7510011,-0.138369,0.9795979,0.06091132,0.132408,-0.03624633,0.1049784,-0.7694796,-0.138369,0.9795979,0.06091132,0.132408,0.08230955,0.8669031,-0.08580115,-0.2275946,-0.699201,0.2437223,0.6323909,0.07791046,0.5252863,0.1903916,-0.002512262,-0.7511241,-0.03543032,0.659205,0.05630954,0.08602283,0.1684947,0.09220445,0.5858002,-0.8017357,-0.07454196,0.04294444,0.06783874,0.3147665,0.1033644,0.5897335,-0.7987418,-0.05951656,0.03791045,0.07845265,0.3905512,0.1033644,0.5897335,-0.7987418,-0.05951656,-0.009064001,0.9523894,-0.09937289,-0.01793858,-0.2798935,0.959224,-0.0350292,-0.01502867,1.017321,-0.05800622,0.02840919,-0.3431668,0.9388438,0.001380914,-0.0133228,1.076352,-0.008255241,0.07431038,-0.4034456,0.9112056,0.03760426,0.003431519,1.163927,0.08688475,0.07431038,-0.4034456,0.9112056,0.03760426,-0.04886958,1.235076,0.2039698,-0.1224411,-0.1393214,0.7467936,-0.6386684,-0.1841109,1.254976,0.2110451,0.2163353,0.6772183,0.08564303,0.6980259,-0.2301484,1.01829,0.1000952,-0.4289789,0.6428571,-0.2947771,0.5619772,-0.1657818,0.8843804,0.3517847,-0.3291007,0.6735686,-0.5187226,0.4110056,0.02991247,1.302346,0.2372607,0.02715208,-0.2721862,0.9616739,0.01899284,0.03536646,1.392812,0.2927957,-0.02061293,-0.1348447,0.9906524,-4.299593E-05,0.09233225,1.233849,0.1802339,0.3174285,-0.1076522,0.6482487,0.6836841,0.2230171,1.239594,0.1399267,0.4227297,-0.5475308,-0.2842143,0.6638765,0.2457232,1.111914,-0.0916587,0.1410221,-0.5972319,-0.1576947,0.7736663,0.2236386,0.8458037,-0.2104872,0.03314111,-0.6987581,0.09773986,0.7078742
10.00977,0,0,0,6.657903E-08,0,0,1,-3.668334E-05,0.8615516,-0.09824292,0.2126271,-0.05930495,0.06825116,0.9729412,-0.08106267,0.8526891,-0.1101396,0.176368,0.710417,0.0898509,0.6753733,-0.1378334,0.4477915,-0.2708836,0.392386,0.5701624,0.4550049,0.5602847,-0.1109826,0.3253236,-0.6929963,-0.1176578,0.979773,-0.02859997,0.1593236,-0.06115426,0.1943197,-0.7405339,-0.1327683,0.9778305,0.06797572,0.1469691,-0.03656949,0.1242607,-0.7597336,-0.1327683,0.9778305,0.06797572,0.1469691,0.0809893,0.870414,-0.08634626,-0.2218876,-0.6983937,0.2353044,0.6384701,0.07683313,0.5230003,0.1825222,0.004705518,-0.7420633,-0.05595429,0.6679739,0.04762311,0.08538959,0.1432515,0.07920966,0.603173,-0.789058,-0.08541609,0.03842097,0.06040522,0.288839,0.09087802,0.6064554,-0.7867547,-0.07050137,0.03555693,0.06762887,0.3651341,0.09087802,0.6064554,-0.7867547,-0.07050137,-0.01020299,0.9561613,-0.0994837,-0.0161608,-0.2784032,0.9598303,-0.03092968,-0.01548269,1.021263,-0.05829189,0.02744961,-0.3425128,0.9390868,0.006928117,-0.01302588,1.080357,-0.008646211,0.07063541,-0.4036357,0.9111008,0.04454945,0.004994418,1.167743,0.08643606,0.07063541,-0.4036357,0.9111008,0.04454945,-0.04631321,1.239805,0.2034017,-0.1287591,-0.1420223,0.7457518,-0.6380482,-0.1815819,1.259714,0.209906,0.2179114,0.6827378,0.1062677,0.6892687,-0.2216762,1.025493,0.09165911,-0.3975767,0.6507086,-0.2824086,0.5820284,-0.1665324,0.8722378,0.334341,-0.2941872,0.704542,-0.4900482,0.4206277,0.03347636,1.305864,0.2367207,0.02413314,-0.2729252,0.9614523,0.02322345,0.03962328,1.396206,0.2923844,-0.02290586,-0.1361456,0.9904233,0.001380986,0.0948778,1.236346,0.179822,0.3170521,-0.107131,0.6453587,0.6866684,0.2254927,1.241003,0.139149,0.4081317,-0.5561167,-0.2769044,0.6689447,0.2476473,1.104706,-0.08752726,0.1283933,-0.5958006,-0.1512509,0.7782418,0.2235561,0.8354441,-0.1986119,0.03250766,-0.6876539,0.1046519,0.717721
20.01953,0,0,0,6.657903E-08,0,0,1,-0.001498391,0.8665345,-0.09739223,0.2092832,-0.05456904,0.06447762,0.9741999,-0.08269574,0.8580676,-0.1083734,0.1625812,0.7117597,0.07195117,0.6795501,-0.1414104,0.4465192,-0.2504447,0.4041282,0.5554361,0.4691999,0.5549979,-0.1103946,0.3438459,-0.6775214,-0.1105918,0.9796253,-0.02090595,0.1663328,-0.0614,0.2132202,-0.7269291,-0.1266428,0.9768195,0.07698543,0.1544627,-0.03728837,0.1433427,-0.7473509,-0.1266428,0.9768195,0.07698543,0.1544627,0.07969895,0.8750014,-0.08641107,-0.2134021,-0.698427,0.2229513,0.6457182,0.07523359,0.5193684,0.1714823,0.0136008,-0.7309757,-0.07677645,0.6779343,0.0387822,0.08432429,0.113981,0.05894292,0.6257286,-0.7731909,-0.08464808,0.03393505,0.05073759,0.2580403,0.06968174,0.6282651,-0.7715492,-0.07168955,0.03315638,0.05363293,0.3346714,0.06968174,0.6282651,-0.7715492,-0.07168955,-0.0111227,0.9611915,-0.09921425,-0.01419391,-0.2757966,0.9607491,-0.02637944,-0.01564136,1.026556,-0.05835031,0.02660654,-0.3406839,0.9397218,0.01222111,-0.01246781,1.085827,-0.008957294,0.06700702,-0.4026223,0.9115101,0.05054365,0.006582456,1.173278,0.0858646,0.06700702,-0.4026223,0.9115101,0.05054365,-0.0439357,1.246428,0.2024986,-0.1354763,-0.1444291,0.7443568,-0.6377457,-0.1792496,1.266253,0.2082769,0.215564,0.6905457,0.123933,0.679205,-0.2135849,1.03365,0.08512443,-0.3604275,0.6609089,-0.2697032,0.6004597,-0.1690054,0.8598348,0.3158261,-0.2579165,0.7356755,-0.457303,0.4279425,0.03669238,1.311501,0.2357377,0.02127231,-0.2728552,0.96144,0.02703134,0.04345123,1.40181,0.2913833,-0.0249299,-0.1370915,0.9902402,0.002925024,0.09723506,1.24096,0.1791796,0.3169209,-0.1055342,0.6425617,0.6895929,0.2276962,1.244607,0.1379146,0.3920097,-0.5651854,-0.2675658,0.674761,0.2494686,1.098764,-0.08277825,0.1144728,-0.5953656,-0.1429231,0.7823099,0.2239487,0.8260934,-0.1848657,0.02768654,-0.6802799,0.1148759,0.7233645
29.90723,0,0,0,6.657903E-08,0,0,1,-0.002518856,0.8725388,-0.09585889,0.205662,-0.05230001,0.06105203,0.9753156,-0.08382699,0.8645011,-0.106331,0.1471784,0.7107061,0.05264013,0.6859043,-0.1440091,0.4466465,-0.2279016,0.412689,0.5442876,0.4828821,0.5479634,-0.1094326,0.3616031,-0.6585644,-0.1041728,0.9805862,-0.01451599,0.1654938,-0.06199115,0.2311933,-0.7100158,-0.1203204,0.9770569,0.08437809,0.1541531,-0.03865754,0.1614191,-0.7316582,-0.1203204,0.9770569,0.08437809,0.1541531,0.07878928,0.8805766,-0.08538682,-0.2030498,-0.6954161,0.2037568,0.6585215,0.07261596,0.5139591,0.1565992,0.02103327,-0.7174844,-0.09908943,0.68917,0.02639711,0.08258509,0.08124097,0.03197916,0.650809,-0.7560524,-0.06172642,0.02515805,0.03990546,0.2229506,0.03930589,0.6525914,-0.7548054,-0.05337112,0.02572431,0.03816052,0.2996183,0.03930589,0.6525914,-0.7548054,-0.05337112,-0.01156195,0.9672382,-0.09833401,-0.0135882,-0.2725407,0.9617864,-0.02245135,-0.01546873,1.032908,-0.0578988,0.02552898,-0.3378305,0.9407139,0.01662244,-0.01172182,1.092459,-0.00888348,0.06426528,-0.4002086,0.9124888,0.05538421,0.008164885,1.180281,0.08542184,0.06426528,-0.4002086,0.9124888,0.05538421,-0.04168551,1.254675,0.2015552,-0.1422365,-0.1458925,0.7427716,-0.6377889,-0.1770557,1.274369,0.2063865,0.2108588,0.6991165,0.1424039,0.6682037,-0.2047974,1.043312,0.07874296,-0.3188303,0.6726595,-0.2548919,0.6171766,-0.1713902,0.8484388,0.2939885,-0.2203764,0.7648546,-0.4208153,0.43514,0.03959685,1.319091,0.2344784,0.01893198,-0.2719782,0.9616368,0.03040023,0.04690624,1.409461,0.289956,-0.02680907,-0.1378901,0.9900732,0.00476154,0.0994415,1.247568,0.178414,0.3168157,-0.1032278,0.6397451,0.6926028,0.229695,1.250208,0.1364225,0.3749353,-0.5745363,-0.255934,0.6810507,0.2515175,1.09418,-0.07718672,0.09855887,-0.5964643,-0.1324776,0.7854723,0.2250543,0.8178465,-0.1686289,0.01903347,-0.6764499,0.1289506,0.7248625
39.91699,0,0,0,6.657903E-08,0,0,1,-0.002525021,0.875432,-0.0940645,0.202132,-0.05547145,0.05839576,0.9760408,-0.08382913,0.8678892,-0.1049288,0.1305733,0.7082847,0.03216094,0.6930001,-0.1455058,0.4444564,-0.2044495,0.4200906,0.5351779,0.4943696,0.5410244,-0.108584,0.3747275,-0.637662,-0.09754466,0.982182,-0.01217839,0.1601737,-0.06338859,0.2440265,-0.6903811,-0.1132001,0.978403,0.08693253,0.1495202,-0.04118798,0.1740923,-0.7126887,-0.1132001,0.978403,0.08693253,0.1495202,0.07877908,0.8829747,-0.08320019,-0.1983226,-0.6840639,0.1771385,0.6792251,0.06529324,0.5057817,0.1416272,0.02639006,-0.7158842,-0.1266412,0.6861309,0.006036214,0.08008831,0.045855,0.002527155,0.6715616,-0.740503,-0.02557816,0.008234686,0.03000489,0.1851083,0.00484339,0.6728296,-0.7394218,-0.02307719,0.009834587,0.02437689,0.2615746,0.00484339,0.6728296,-0.7394218,-0.02307719,-0.0108951,0.9701736,-0.09720456,-0.01655831,-0.2689788,0.9628108,-0.01928089,-0.01444991,1.036162,-0.05725804,0.02278719,-0.334255,0.9419888,0.02028915,-0.01032193,1.096063,-0.008702206,0.06176917,-0.3966298,0.9139626,0.05951396,0.01025221,1.184505,0.08487342,0.06176917,-0.3966298,0.9139626,0.05951396,-0.03904962,1.260327,0.2003153,-0.1484859,-0.1453682,0.741419,-0.6380584,-0.1744665,1.279969,0.2038841,0.2053577,0.7063438,0.1599725,0.6582674,-0.1955665,1.050517,0.07214119,-0.2742456,0.6847016,-0.2366897,0.6324174,-0.1733014,0.834956,0.2682543,-0.1806862,0.7903371,-0.3812438,0.4442673,0.04277067,1.324295,0.2327767,0.01661943,-0.2704835,0.9619911,0.03370064,0.05061829,1.414792,0.2879724,-0.02887804,-0.1386776,0.9898906,0.007182157,0.1020316,1.251766,0.177388,0.3157482,-0.1003201,0.6371665,0.6958865,0.2320874,1.25332,0.134735,0.3574835,-0.5839317,-0.2418676,0.6875533,0.2546211,1.08679,-0.07071505,0.08035395,-0.5994354,-0.1200922,0.7872728,0.2275104,0.8067239,-0.1497736,0.007218975,-0.6747967,0.1469406,0.7231916
49.92676,0,0,0,6.657903E-08,0,0,1,-0.00225095,0.871856,-0.09238294,0.1965062,-0.06274556,0.05423028,0.976989,-0.08349067,0.8651587,-0.1042378,0.1124955,0.7051705,0.01123692,0.6999666,-0.1462811,0.4370671,-0.1803871,0.4286617,0.5272622,0.5012472,0.5357193,-0.1094758,0.3797786,-0.6154293,-0.08961163,0.9836372,-0.01601841,0.1554708,-0.06699946,0.2480141,-0.6677602,-0.1046662,0.980333,0.08213388,0.1457615,-0.04624115,0.1775174,-0.6896834,-0.1046662,0.980333,0.08213388,0.1457615,0.07898878,0.8785533,-0.08052813,-0.2040359,-0.6666304,0.1515428,0.7007195,0.05278093,0.4959882,0.1338568,0.03602808,-0.7359559,-0.158198,0.6573009,-0.01482121,0.07871515,0.01052145,-0.0201923,0.6856045,-0.7276927,0.001538014,-0.009421464,0.02349875,0.1477318,-0.02022929,0.7070882,-0.7068356,0.0009326725,-0.006975889,0.01074073,0.2233133,-0.02022929,0.7070882,-0.7068356,0.0009326725,-0.009454118,0.9666526,-0.09657758,-0.02237896,-0.2635967,0.9642522,-0.01528424,-0.01264123,1.033105,-0.05737622,0.01848444,-0.3291357,0.9437943,0.02409134,-0.008190125,1.093504,-0.009470742,0.05900313,-0.391763,0.9160025,0.06308529,0.01290779,1.182833,0.08314135,0.05900313,-0.391763,0.9160025,0.06308529,-0.036008,1.260339,0.1976249,-0.1584916,-0.1458798,0.7386302,-0.6387684,-0.1715018,1.279692,0.1994076,0.2009633,0.7104678,0.1754619,0.6512011,-0.1866395,1.05205,0.06376221,-0.2279111,0.6958113,-0.2145882,0.6464174,-0.1750248,0.8170587,0.2371596,-0.1382861,0.8111479,-0.3393679,0.4557911,0.04625416,1.324024,0.2295216,0.01395774,-0.2681283,0.962567,0.03711294,0.05464413,1.414739,0.2842774,-0.03136902,-0.1390888,0.9897286,0.01039247,0.1050435,1.25041,0.1750694,0.3123985,-0.09664778,0.6352794,0.6996334,0.2349854,1.250731,0.1320436,0.3401005,-0.5929825,-0.225385,0.6941941,0.258986,1.073675,-0.06423443,0.05981121,-0.6041403,-0.1060644,0.7875201,0.2312818,0.7900714,-0.1292243,-0.006781724,-0.6737295,0.1682161,0.7195458
60.05859,0,0,0,6.657903E-08,0,0,1,-0.003567318,0.8628951,-0.09132677,0.1872771,-0.06766213,0.04833309,0.9787814,-0.08480106,0.8571889,-0.1037285,0.09159936,0.702295,-0.009524999,0.7059042,-0.1472317,0.4253189,-0.1546642,0.4388613,0.5212377,0.5026832,0.5319979,-0.1138048,0.3771002,-0.591077,-0.08066961,0.9845549,-0.02625763,0.1531501,-0.07425611,0.2435648,-0.641165,-0.09519563,0.9824345,0.06971408,0.1445694,-0.05513015,0.1721514,-0.661552,-0.09519563,0.9824345,0.06971408,0.1445694,0.07766642,0.8686012,-0.07892503,-0.2082727,-0.6593823,0.143632,0.7079601,0.04634665,0.4855193,0.133845,0.05492353,-0.7566445,-0.1865226,0.624245,-0.01898289,0.07834065,-0.02054448,-0.03255572,0.6948236,-0.7183504,0.01153895,-0.01116919,0.01970129,0.1151206,-0.03274784,0.7069785,-0.7063912,0.01098186,-0.008051986,0.006966983,0.1906815,-0.03274784,0.7069785,-0.7063912,0.01098186,-0.009325869,0.9576995,-0.09722946,-0.02672392,-0.255829,0.9662985,-0.01022932,-0.01190827,1.024795,-0.05909338,0.01476204,-0.3228693,0.9459063,0.02826598,-0.007042949,1.085792,-0.01199164,0.05591967,-0.3869715,0.9180007,0.06633931,0.01448195,1.175983,0.07968079,0.05591967,-0.3869715,0.9180007,0.06633931,-0.03415293,1.255125,0.1931605,-0.1608317,-0.1399837,0.7383918,-0.6397777,-0.169643,1.274586,0.1932881,0.1984403,0.7105824,0.188446,0.6482148,-0.1796515,1.048918,0.05392095,-0.1808557,0.7050285,-0.1888252,0.6592202,-0.1778796,0.7966079,0.2014301,-0.09338255,0.8271474,-0.2959871,0.4685071,0.04850319,1.318539,0.2245759,0.01084324,-0.2654754,0.9631927,0.04080377,0.05747019,1.409494,0.2788402,-0.03444453,-0.1388059,0.9896147,0.01447302,0.1068794,1.243882,0.1711078,0.306654,-0.09286806,0.6340274,0.7038099,0.2368372,1.242794,0.1281425,0.3228113,-0.6013184,-0.2068466,0.7010161,0.2629064,1.055401,-0.05801319,0.03711028,-0.6098557,-0.09078795,0.78642,0.2344002,0.7687533,-0.1074376,-0.02270449,-0.6719853,0.1921062,0.7148534
70.06836,0,0,0,6.657903E-08,0,0,1,-0.005672484,0.8516188,-0.09078819,0.1756805,-0.06559218,0.04458352,0.9812474,-0.08700906,0.84631,-0.1026819,0.06712554,0.7011216,-0.03047623,0.7092206,-0.1473521,0.4117633,-0.1257367,0.4485004,0.5186939,0.4998274,0.5291283,-0.1199473,0.3685644,-0.5630938,-0.0720585,0.9851562,-0.04312591,0.1497166,-0.08359792,0.2326835,-0.609135,-0.08577214,0.9848623,0.04938785,0.1423046,-0.06628869,0.1600995,-0.6268336,-0.08577214,0.9848623,0.04938785,0.1423046,0.07566409,0.8569276,-0.07889444,-0.2097172,-0.6530404,0.1425838,0.7136013,0.04473069,0.4741126,0.1344119,0.07759694,-0.7607822,-0.2108472,0.6088784,-0.01573053,0.07808471,-0.04835803,-0.03688249,0.7005273,-0.7125846,0.01117086,-0.006625767,0.01731585,0.08628566,-0.03698295,0.706998,-0.7061651,0.01083392,-0.002965922,0.004582801,0.1618224,-0.03698295,0.706998,-0.7061651,0.01083392,-0.01067039,0.9463052,-0.09887516,-0.02777427,-0.2468843,0.9686317,-0.005438919,-0.01254299,1.014107,-0.0619661,0.01058862,-0.3166326,0.9478769,0.03407648,-0.00703678,1.075663,-0.01567034,0.04866225,-0.3833979,0.919399,0.07310247,0.01535613,1.166327,0.07532604,0.04866225,-0.3833979,0.919399,0.07310247,-0.03275887,1.24737,0.1876798,-0.1618925,-0.133297,0.7382609,-0.641088,-0.168235,1.266872,0.1862071,0.1982151,0.7065072,0.1990183,0.6495768,-0.173948,1.043331,0.04321675,-0.1339698,0.7115455,-0.159955,0.6709468,-0.1809599,0.7765067,0.1622886,-0.04671684,0.8388303,-0.2518054,0.4803913,0.05074933,1.309628,0.2191526,0.005181973,-0.2632064,0.9635912,0.0467723,0.0606204,1.400728,0.2730173,-0.03839668,-0.1380187,0.989492,0.01955427,0.1082208,1.233466,0.1668408,0.3005894,-0.09024596,0.6329773,0.7077016,0.2382806,1.231006,0.1242427,0.3049999,-0.6088234,-0.1869854,0.708058,0.2665714,1.033524,-0.05082987,0.01253726,-0.6153145,-0.07474811,0.7846299,0.2367971,0.7446111,-0.08346563,-0.04102338,-0.6689377,0.21789,0.7094813
