Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.01245182,0.8285979,-0.1153873,0.3161425,-0.02667183,-0.0565595,0.9466486,-0.06927679,0.8388079,-0.1166011,-0.1278578,0.7001463,-0.3072138,0.6317177,-0.1611417,0.4967765,0.1433586,0.0883759,0.6995447,0.2168347,0.6751367,-0.08728808,0.1046062,-0.04277715,0.001773287,0.7544788,-0.6507184,0.08558118,-0.09450559,0.02188455,0.07973687,0.002936589,0.745563,-0.660915,0.08554919,-0.1018087,-0.0002603138,0.1527956,0.002936589,0.745563,-0.660915,0.08554919,0.09418044,0.8183879,-0.1141734,0.2082925,-0.6506929,-0.1836341,0.7067473,0.09923396,0.4468158,-0.3485072,0.3315379,-0.6585427,-0.2848446,0.6125912,0.138475,0.1747535,-0.6925141,0.06468049,0.9901828,-0.05714899,-0.1099486,0.1087573,0.03672562,-0.736897,0.04746182,0.8237972,-0.556711,-0.09580611,0.1082205,-0.003274828,-0.6714678,0.04746182,0.8237972,-0.556711,-0.09580611,0.02369889,0.9209887,-0.09555474,-0.02937922,-0.3677329,0.9291583,0.02396352,0.02546911,0.9772351,-0.04267714,-0.03197828,-0.4180398,0.9078226,-0.008862572,0.022162,1.027453,0.0158895,-0.03444464,-0.4665945,0.8828201,-0.04161785,0.008389764,1.100617,0.1229364,-0.03444464,-0.4665945,0.8828201,-0.04161785,-0.07657575,1.15254,0.2305993,-0.3231835,-0.1337472,0.7178029,-0.6020162,-0.206709,1.185306,0.2036181,0.7024371,0.3507953,0.3509755,0.5102366,-0.2424517,1.247203,-0.05200077,0.4940597,0.439716,0.4414735,0.606347,-0.2129671,1.211542,-0.340586,0.3799596,0.5303353,0.2776548,0.7051834,-0.01337878,1.216259,0.2921318,-0.06649122,-0.3826701,0.9191585,-0.06550161,-0.03158656,1.290509,0.365979,-0.09787536,-0.2949338,0.946341,-0.08873287,0.06577669,1.158459,0.2448685,0.2427859,-0.2328584,0.7506283,0.5686734,0.1981118,1.191964,0.2549222,0.3044273,-0.7242858,-0.101406,0.6102879,0.2823066,0.981196,0.117308,-0.5732414,-0.6423792,0.2417006,0.447576,0.1302909,0.9151568,0.3580408,-0.7630543,-0.5374907,0.1628486,0.3198951
0,0,0,0,6.657903E-08,0,0,1,0.01245182,0.8285979,-0.1153873,0.3161425,-0.02667183,-0.0565595,0.9466486,-0.06927679,0.8388079,-0.1166011,-0.1278578,0.7001463,-0.3072138,0.6317177,-0.1611417,0.4967765,0.1433586,0.0883759,0.6995447,0.2168347,0.6751367,-0.08728808,0.1046062,-0.04277715,0.001773287,0.7544788,-0.6507184,0.08558118,-0.09450559,0.02188455,0.07973687,0.002936589,0.745563,-0.660915,0.08554919,-0.1018087,-0.0002603138,0.1527956,0.002936589,0.745563,-0.660915,0.08554919,0.09418044,0.8183879,-0.1141734,0.2082925,-0.6506929,-0.1836341,0.7067473,0.09923396,0.4468158,-0.3485072,0.3315379,-0.6585427,-0.2848446,0.6125912,0.138475,0.1747535,-0.6925141,0.06468049,0.9901828,-0.05714899,-0.1099486,0.1087573,0.03672562,-0.736897,0.04746182,0.8237972,-0.556711,-0.09580611,0.1082205,-0.003274828,-0.6714678,0.04746182,0.8237972,-0.556711,-0.09580611,0.02369889,0.9209887,-0.09555474,-0.02937922,-0.3677329,0.9291583,0.02396352,0.02546911,0.9772351,-0.04267714,-0.03197828,-0.4180398,0.9078226,-0.008862572,0.022162,1.027453,0.0158895,-0.03444464,-0.4665945,0.8828201,-0.04161785,0.008389764,1.100617,0.1229364,-0.03444464,-0.4665945,0.8828201,-0.04161785,-0.07657575,1.15254,0.2305993,-0.3231835,-0.1337472,0.7178029,-0.6020162,-0.206709,1.185306,0.2036181,0.7024371,0.3507953,0.3509755,0.5102366,-0.2424517,1.247203,-0.05200077,0.4940597,0.439716,0.4414735,0.606347,-0.2129671,1.211542,-0.340586,0.3799596,0.5303353,0.2776548,0.7051834,-0.01337878,1.216259,0.2921318,-0.06649122,-0.3826701,0.9191585,-0.06550161,-0.03158656,1.290509,0.365979,-0.09787536,-0.2949338,0.946341,-0.08873287,0.06577669,1.158459,0.2448685,0.2427859,-0.2328584,0.7506283,0.5686734,0.1981118,1.191964,0.2549222,0.3044273,-0.7242858,-0.101406,0.6102879,0.2823066,0.981196,0.117308,-0.5732414,-0.6423792,0.2417006,0.447576,0.1302909,0.9151568,0.3580408,-0.7630543,-0.5374907,0.1628486,0.3198951
0,0,0,0,6.657903E-08,0,0,1,0.01245182,0.8285979,-0.1153873,0.3161425,-0.02667183,-0.0565595,0.9466486,-0.06927679,0.8388079,-0.1166011,-0.1278578,0.7001463,-0.3072138,0.6317177,-0.1611417,0.4967765,0.1433586,0.0883759,0.6995447,0.2168347,0.6751367,-0.08728808,0.1046062,-0.04277715,0.001773287,0.7544788,-0.6507184,0.08558118,-0.09450559,0.02188455,0.07973687,0.002936589,0.745563,-0.660915,0.08554919,-0.1018087,-0.0002603138,0.1527956,0.002936589,0.745563,-0.660915,0.08554919,0.09418044,0.8183879,-0.1141734,0.2082925,-0.6506929,-0.1836341,0.7067473,0.09923396,0.4468158,-0.3485072,0.3315379,-0.6585427,-0.2848446,0.6125912,0.138475,0.1747535,-0.6925141,0.06468049,0.9901828,-0.05714899,-0.1099486,0.1087573,0.03672562,-0.736897,0.04746182,0.8237972,-0.556711,-0.09580611,0.1082205,-0.003274828,-0.6714678,0.04746182,0.8237972,-0.556711,-0.09580611,0.02369889,0.9209887,-0.09555474,-0.02937922,-0.3677329,0.9291583,0.02396352,0.02546911,0.9772351,-0.04267714,-0.03197828,-0.4180398,0.9078226,-0.008862572,0.022162,1.027453,0.0158895,-0.03444464,-0.4665945,0.8828201,-0.04161785,0.008389764,1.100617,0.1229364,-0.03444464,-0.4665945,0.8828201,-0.04161785,-0.07657575,1.15254,0.2305993,-0.3231835,-0.1337472,0.7178029,-0.6020162,-0.206709,1.185306,0.2036181,0.7024371,0.3507953,0.3509755,0.5102366,-0.2424517,1.247203,-0.05200077,0.4940597,0.439716,0.4414735,0.606347,-0.2129671,1.211542,-0.340586,0.3799596,0.5303353,0.2776548,0.7051834,-0.01337878,1.216259,0.2921318,-0.06649122,-0.3826701,0.9191585,-0.06550161,-0.03158656,1.290509,0.365979,-0.09787536,-0.2949338,0.946341,-0.08873287,0.06577669,1.158459,0.2448685,0.2427859,-0.2328584,0.7506283,0.5686734,0.1981118,1.191964,0.2549222,0.3044273,-0.7242858,-0.101406,0.6102879,0.2823066,0.981196,0.117308,-0.5732414,-0.6423792,0.2417006,0.447576,0.1302909,0.9151568,0.3580408,-0.7630543,-0.5374907,0.1628486,0.3198951
9.94873,0,0,0,6.657903E-08,0,0,1,0.01413478,0.8286158,-0.1147607,0.3132291,-0.03380093,-0.05101483,0.9477038,-0.06762107,0.838325,-0.1174055,-0.1310611,0.6892763,-0.3021967,0.6452893,-0.1595859,0.4943359,0.1399225,0.06632578,0.7011771,0.2151214,0.6765165,-0.07299683,0.09849197,-0.03243861,-0.02739759,0.743771,-0.6592606,0.1069113,-0.07403277,0.019432,0.09267367,-0.02539335,0.7313113,-0.6730552,0.107405,-0.07971495,-7.750822E-05,0.1666224,-0.02539335,0.7313113,-0.6730552,0.107405,0.09589063,0.8189066,-0.1121158,0.1984803,-0.6682028,-0.183782,0.6930619,0.1005059,0.4438752,-0.3408819,0.3476147,-0.656051,-0.3048418,0.596517,0.1418344,0.1918035,-0.6995605,0.07505966,0.9926019,-0.03104889,-0.09024105,0.1110063,0.05677078,-0.7517186,0.06076533,0.9126395,-0.3913324,-0.1012697,0.1056454,-0.004091944,-0.7053691,0.06076533,0.9126395,-0.3913324,-0.1012697,0.02450563,0.9212137,-0.09542239,-0.03399312,-0.3659393,0.9298375,0.01830504,0.02521317,0.9777001,-0.04277642,-0.03404355,-0.4173364,0.9079965,-0.01461906,0.02096895,1.027988,0.01566972,-0.03395111,-0.4669215,0.8823723,-0.04744258,0.005918427,1.100937,0.1226911,-0.03395111,-0.4669215,0.8823723,-0.04744258,-0.08009373,1.151877,0.229992,-0.328402,-0.1333386,0.7117737,-0.6064252,-0.2102468,1.183214,0.201454,0.6857772,0.360365,0.3584096,0.5209506,-0.2423188,1.235633,-0.05675781,0.4827407,0.4387772,0.4158751,0.6336278,-0.2121009,1.180681,-0.3422216,0.3747481,0.521534,0.2347556,0.7296963,-0.01787055,1.216239,0.2918464,-0.06658246,-0.3808864,0.9196743,-0.0684958,-0.03665307,1.290693,0.3653431,-0.09852796,-0.2909276,0.9475021,-0.08884341,0.06211977,1.159326,0.2449148,0.2461761,-0.2329125,0.750822,0.5669354,0.1943475,1.193364,0.2545814,0.317218,-0.7182042,-0.1097195,0.6095222,0.2797874,0.9877483,0.11011,-0.5665405,-0.649394,0.2174351,0.458303,0.1229796,0.9107323,0.3444221,-0.7543366,-0.5458047,0.1489805,0.3329847
19.9585,0,0,0,6.657903E-08,0,0,1,0.01589533,0.8336737,-0.1145462,0.3093215,-0.04021613,-0.0457449,0.9490049,-0.06586631,0.8428751,-0.1185027,-0.1311581,0.679059,-0.2950246,0.6592701,-0.1585075,0.4951448,0.1334994,0.05066556,0.6969771,0.2190022,0.6809509,-0.05888956,0.09915561,-0.03132553,-0.05069461,0.7380766,-0.6605017,0.1281044,-0.05528781,0.02183198,0.09482017,-0.05061492,0.7376649,-0.6609614,0.1281359,-0.05918188,0.0003869905,0.1683473,-0.05061492,0.7376649,-0.6609614,0.1281359,0.09765697,0.8244724,-0.1105898,0.1855803,-0.6872014,-0.1794808,0.6790442,0.1026262,0.4437149,-0.3296854,0.3635576,-0.6562042,-0.3332562,0.5711063,0.1457441,0.2175726,-0.7050506,0.08956272,0.994159,-0.01381289,-0.05861619,0.1146003,0.08494435,-0.7628818,0.1121969,0.9889306,0.08260869,-0.05102913,0.09613009,0.01449321,-0.786898,0.1121969,0.9889306,0.08260869,-0.05102913,0.02544056,0.926505,-0.09591482,-0.0392279,-0.3649727,0.9300982,0.0131699,0.02512122,0.9831256,-0.04340928,-0.03805677,-0.419218,0.9068756,-0.01961354,0.0199103,1.033144,0.01518971,-0.0367144,-0.4714731,0.8795648,-0.05225714,0.003410133,1.104854,0.122833,-0.0367144,-0.4714731,0.8795648,-0.05225714,-0.08390583,1.154096,0.2298729,-0.3331842,-0.1332705,0.7061699,-0.6103699,-0.2140595,1.184124,0.1999635,0.6673689,0.3726648,0.3619972,0.533571,-0.2435502,1.224693,-0.06067851,0.4677552,0.4380836,0.3875238,0.6626562,-0.2132242,1.1481,-0.3411003,0.3652919,0.5093721,0.1905487,0.7555088,-0.02267013,1.218198,0.2929712,-0.06818192,-0.381681,0.9190558,-0.0707609,-0.04202723,1.292456,0.3665169,-0.09890253,-0.2877078,0.9484789,-0.08848948,0.05811427,1.162302,0.2461764,0.2514793,-0.2335636,0.7489166,0.5668598,0.1904138,1.196281,0.255037,0.3306972,-0.7117326,-0.1219345,0.6076252,0.276027,0.9968033,0.1022992,-0.550195,-0.6596565,0.1922688,0.4745227,0.1172045,0.9030904,0.3290491,-0.7359071,-0.5633918,0.1354986,0.3502438
29.96826,0,0,0,6.657903E-08,0,0,1,0.01684966,0.8388698,-0.1133293,0.3019762,-0.0435368,-0.04127765,0.9514259,-0.0649302,0.8475057,-0.1180999,-0.1302715,0.6685861,-0.2850269,0.6743751,-0.1572907,0.4944764,0.1265296,0.04117572,0.6883292,0.2289588,0.6870851,-0.04432217,0.1016334,-0.03721084,-0.06297662,0.7387704,-0.6543046,0.1487889,-0.03876518,0.02339022,0.0882954,-0.06274834,0.737766,-0.6554369,0.1488853,-0.04266724,0.001228788,0.1616093,-0.06274834,0.737766,-0.6554369,0.1488853,0.09862952,0.8302339,-0.1085588,0.1708534,-0.7063937,-0.1713222,0.6651812,0.1045422,0.4423496,-0.3147494,0.3770981,-0.6577565,-0.3667481,0.5391189,0.1494832,0.2456523,-0.7061431,0.100265,0.9944986,0.003416426,-0.0301298,0.1190282,0.115408,-0.769496,0.121928,0.9869365,0.1030089,-0.02189315,0.1002567,0.046306,-0.7969521,0.121928,0.9869365,0.1030089,-0.02189315,0.02568476,0.9320453,-0.0961202,-0.04044325,-0.3609881,0.931658,0.008083391,0.02459311,0.9891293,-0.04412937,-0.03713097,-0.4184843,0.9071115,-0.02531865,0.01864637,1.039203,0.01435222,-0.033639,-0.4737638,0.8780611,-0.05852621,0.001089221,1.110168,0.1223221,-0.033639,-0.4737638,0.8780611,-0.05852621,-0.08695606,1.15766,0.229555,-0.3380443,-0.1346075,0.7014184,-0.6128781,-0.2170984,1.18675,0.1986847,0.6472331,0.3863083,0.3627771,0.5479493,-0.2443034,1.213567,-0.06397572,0.4490323,0.4372647,0.3568155,0.6927139,-0.2145936,1.113579,-0.3370002,0.3507007,0.4937342,0.1463037,0.7821965,-0.02666168,1.222333,0.2929763,-0.06686876,-0.3815342,0.9189939,-0.07355677,-0.04645543,1.296529,0.3664683,-0.09932877,-0.2849124,0.9493474,-0.08774053,0.05492712,1.167813,0.2459542,0.2581695,-0.2348933,0.7452939,0.5680764,0.1874344,1.201243,0.2537303,0.3441086,-0.7046482,-0.136617,0.6053067,0.2722529,1.008585,0.09205641,-0.5234756,-0.6732333,0.167896,0.4945114,0.11478,0.8929715,0.3094457,-0.7067732,-0.5899024,0.1207648,0.3713532
39.97803,0,0,0,6.657903E-08,0,0,1,0.0174536,0.8442104,-0.1124235,0.2963862,-0.04724695,-0.0381842,0.9531343,-0.06431127,0.8525133,-0.117978,-0.1299501,0.656624,-0.2718278,0.6914244,-0.1544776,0.4929524,0.1177969,0.03770511,0.6763003,0.2443492,0.6938947,-0.0282226,0.106271,-0.0508319,-0.06275458,0.746353,-0.6404251,0.169927,-0.02363736,0.02406143,0.07215273,-0.06134182,0.7410113,-0.6465983,0.170442,-0.02919246,0.0002744601,0.1448481,-0.06134182,0.7410113,-0.6465983,0.170442,0.09921847,0.8359075,-0.106869,0.1548566,-0.7237311,-0.1602371,0.6531134,0.1057392,0.4402159,-0.297629,0.3900549,-0.6556349,-0.400265,0.5077287,0.1526037,0.2748791,-0.7030497,0.1000798,0.9944316,0.02859522,-0.01650442,0.1241377,0.1478402,-0.7734449,0.1201915,0.9838014,0.1327316,-0.008455926,0.1062798,0.08043055,-0.8053562,0.1201915,0.9838014,0.1327316,-0.008455926,0.02584213,0.9376185,-0.09628507,-0.04183787,-0.3581482,0.9327192,0.003796951,0.02407496,0.9950258,-0.0446701,-0.03616942,-0.4182846,0.907073,-0.03080038,0.01742371,1.045078,0.01375413,-0.0303167,-0.4759785,0.8765169,-0.06514303,-0.001229387,1.11528,0.1220378,-0.0303167,-0.4759785,0.8765169,-0.06514303,-0.09000804,1.160953,0.2294565,-0.3435075,-0.1379213,0.6977227,-0.613322,-0.2201281,1.189647,0.1981246,0.6234145,0.4032036,0.3604736,0.5646594,-0.2455123,1.199513,-0.0658981,0.4264122,0.4362634,0.3244973,0.7228754,-0.2171364,1.075079,-0.3288306,0.3301898,0.4757855,0.1035611,0.8086274,-0.03071251,1.226241,0.2931882,-0.06553411,-0.3812558,0.9189875,-0.07623366,-0.05091698,1.300397,0.366609,-0.09995599,-0.2819048,0.9503021,-0.08639883,0.05170168,1.173172,0.245946,0.2656301,-0.2367498,0.7406216,0.5699737,0.1844818,1.205772,0.2524997,0.3565674,-0.6967831,-0.1519853,0.6035343,0.2676767,1.020102,0.08204393,-0.4870712,-0.6893418,0.1437725,0.5166231,0.1148289,0.8785897,0.2870659,-0.6669378,-0.6227636,0.1036112,0.3957583
49.98779,0,0,0,6.657903E-08,0,0,1,0.01794981,0.8496734,-0.1112837,0.2900523,-0.0510294,-0.03637878,0.9549567,-0.06377599,0.8578351,-0.1175736,-0.1297054,0.6422647,-0.2554469,0.7109287,-0.1501459,0.4906294,0.1076018,0.04063489,0.660717,0.2632777,0.7017742,-0.01167896,0.1126042,-0.07078612,-0.05250606,0.7595962,-0.619586,0.1907102,-0.01013571,0.02390354,0.04768111,-0.04518432,0.7353796,-0.6481434,0.1925763,-0.01962344,0.0001780827,0.1199887,-0.04518432,0.7353796,-0.6481434,0.1925763,0.09967562,0.8415117,-0.1049939,0.1371154,-0.7361247,-0.1474825,0.6461957,0.1046236,0.4378202,-0.2782349,0.4064075,-0.6460884,-0.4284282,0.4835827,0.1540275,0.3044872,-0.6949843,0.08604798,0.994378,0.05902379,-0.01801227,0.1292284,0.1812845,-0.7731558,0.1035609,0.980171,0.1685707,-0.01113577,0.1137596,0.1158332,-0.8100092,0.1035609,0.980171,0.1685707,-0.01113577,0.02615069,0.9432991,-0.09635521,-0.04354233,-0.35455,0.9340227,0.0003358716,0.02381494,1.001105,-0.04520945,-0.03574859,-0.4173062,0.9073516,-0.03592619,0.01647668,1.05123,0.0130694,-0.02776375,-0.4773715,0.8753178,-0.07186413,-0.003383452,1.120846,0.1215169,-0.02776375,-0.4773715,0.8753178,-0.07186413,-0.09300553,1.164924,0.2289014,-0.3497734,-0.1429561,0.6947212,-0.6120335,-0.2230953,1.193663,0.197485,0.5986755,0.4172071,0.3601175,0.5812418,-0.2445714,1.187344,-0.06699286,0.3996493,0.43538,0.2917237,0.7520788,-0.2180327,1.038182,-0.3169306,0.3176193,0.4667078,0.08323552,0.821203,-0.03477439,1.23088,0.2929263,-0.06462039,-0.3802333,0.9192836,-0.07851741,-0.05534185,1.305126,0.3661546,-0.1006517,-0.2782389,0.9515086,-0.08416782,0.04848291,1.179143,0.2456853,0.2707698,-0.247751,0.7340497,0.5713794,0.1816687,1.209844,0.2531177,0.3674271,-0.6879871,-0.1669242,0.603165,0.2624113,1.030877,0.07450852,-0.4422799,-0.7065829,0.1186865,0.5394841,0.1171652,0.8611832,0.2630021,-0.617281,-0.6584451,0.08477348,0.4221704
59.93652,0,0,0,6.657903E-08,0,0,1,0.01854565,0.8555817,-0.1096522,0.2833257,-0.05573977,-0.03558289,0.9567411,-0.06310675,0.863792,-0.116777,-0.1282675,0.6255053,-0.2352987,0.7327518,-0.1441032,0.4875726,0.09512462,0.05033246,0.6417679,0.2827571,0.71109,0.003924582,0.1196913,-0.09631607,-0.03741168,0.7773595,-0.593093,0.2062851,0.002111938,0.02295762,0.01568406,-0.02070732,0.7271646,-0.6536655,0.2086249,-0.01201577,-2.932276E-06,0.08747895,-0.02070732,0.7271646,-0.6536655,0.2086249,0.100198,0.8473714,-0.1025275,0.1183061,-0.7414084,-0.1335605,0.6468995,0.1013515,0.4360208,-0.2567777,0.4285081,-0.627769,-0.4478335,0.4708845,0.1531623,0.3339144,-0.6819698,0.05938359,0.994167,0.08681219,-0.02386378,0.1344622,0.2142414,-0.7670189,0.07249913,0.9766809,0.2011863,-0.01903946,0.1230715,0.1505912,-0.8082526,0.07249913,0.9766809,0.2011863,-0.01903946,0.02678673,0.9493974,-0.09599235,-0.04633133,-0.3504029,0.9354494,-0.002352592,0.02393962,1.007653,-0.04538669,-0.03655791,-0.4156274,0.9078961,-0.04052165,0.0159113,1.057941,0.0126614,-0.02658024,-0.4779072,0.8745105,-0.07829138,-0.005255848,1.127172,0.1211082,-0.02658024,-0.4779072,0.8745105,-0.07829138,-0.09585465,1.169994,0.2281807,-0.3565311,-0.1487606,0.691652,-0.6102243,-0.2259186,1.198875,0.1967876,0.5708649,0.4327078,0.3601829,0.5976168,-0.2427817,1.175314,-0.06704987,0.3685294,0.4354894,0.2599041,0.7790927,-0.2182312,1.001918,-0.3010447,0.2879336,0.4502769,0.04559854,0.8439587,-0.03871262,1.236597,0.2925165,-0.0642829,-0.3786398,0.9198151,-0.08024935,-0.05957857,1.311042,0.3654581,-0.1011286,-0.2743244,0.9528567,-0.0811375,0.04537584,1.185964,0.2455524,0.2784096,-0.2484726,0.7298583,0.5727624,0.1787555,1.216133,0.2515443,0.3761383,-0.6781119,-0.1811024,0.6048854,0.2560027,1.043225,0.06557358,-0.3902732,-0.7236257,0.09205985,0.5617635,0.121151,0.844941,0.232669,-0.5593774,-0.6936152,0.06632876,0.448994
70.00732,0,0,0,6.657903E-08,0,0,1,0.01913295,0.8627898,-0.1078076,0.2768082,-0.06270128,-0.03523991,0.9582296,-0.0623876,0.8712122,-0.1160988,-0.124566,0.6089258,-0.2118822,0.7541875,-0.1361474,0.48497,0.0798097,0.06544267,0.6225502,0.2992226,0.7201489,0.01714966,0.1270766,-0.1258861,-0.02164015,0.7981433,-0.5662,0.2047353,0.0130239,0.02249569,-0.02124177,0.002496849,0.7263069,-0.6558151,0.2058606,-0.003892381,-0.0002521939,0.05001603,0.002496849,0.7263069,-0.6558151,0.2058606,0.1006535,0.8543673,-0.09951633,0.1003927,-0.7409801,-0.1176669,0.6534711,0.09845428,0.4360661,-0.2337664,0.4556979,-0.6017652,-0.4576003,0.4699152,0.1512065,0.3629435,-0.6647754,0.02575943,0.9938705,0.1050144,-0.0230232,0.1411542,0.2456236,-0.7544397,0.03267214,0.9741715,0.2224652,-0.02078852,0.1353096,0.183202,-0.7986063,0.03267214,0.9741715,0.2224652,-0.02078852,0.02757274,0.9567537,-0.09534047,-0.05114191,-0.3462167,0.9367484,-0.004588451,0.02417443,1.015458,-0.04528955,-0.03913877,-0.4136688,0.9084885,-0.04466688,0.01540698,1.065941,0.01248057,-0.02690813,-0.4779289,0.8739332,-0.08426775,-0.007151442,1.134914,0.1208117,-0.02690813,-0.4779289,0.8739332,-0.08426775,-0.09885761,1.176769,0.2273224,-0.3630302,-0.1538098,0.6880327,-0.6092312,-0.2288963,1.205563,0.195746,0.5401246,0.4511793,0.3592798,0.6128795,-0.24137,1.163528,-0.0660309,0.3331777,0.4379556,0.2302872,0.8025931,-0.2186251,0.967145,-0.2812957,0.2522888,0.438452,0.01281269,0.8625235,-0.04280723,1.24393,0.2920372,-0.06448702,-0.3772279,0.9202581,-0.08164544,-0.06395093,1.318554,0.3647156,-0.101182,-0.2713567,0.9539702,-0.07790405,0.04208963,1.194176,0.2455902,0.2855261,-0.2476892,0.7265596,0.573791,0.1755795,1.224129,0.2500057,0.3825267,-0.6670759,-0.1947609,0.6088938,0.2480851,1.056519,0.05739395,-0.3319826,-0.7396152,0.0638432,0.5819634,0.126275,0.8310539,0.1979295,-0.4951499,-0.7256145,0.05067612,0.475124
