Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.02634144,0.8347012,-0.1137833,0.2981426,-0.0827951,0.06849816,0.9484535,-0.05412907,0.8280649,-0.1300848,0.1558102,0.6657785,0.2724561,0.6769268,0.01677568,0.4752974,-0.382139,0.2641402,0.6680101,0.3058774,0.6248453,0.02906801,0.1787506,-0.7074193,-0.03289409,0.9816032,-0.1026454,0.1575986,0.05341222,0.0359957,-0.7379654,0.04672018,0.812115,-0.5608481,0.1540666,0.03713158,-0.003535777,-0.6742982,0.04672018,0.812115,-0.5608481,0.1540666,0.106812,0.8413376,-0.09748181,-0.264576,-0.741078,0.2554471,0.5617381,0.0606153,0.5208557,0.1994373,0.04747222,-0.7488994,-0.06840999,0.6574315,0.05294724,0.08659761,0.1269129,0.03358651,0.6949394,-0.7123404,-0.09220877,0.05312067,0.02654018,0.2621821,0.04410535,0.6962362,-0.7117915,-0.08162792,0.05501087,0.0152768,0.3380166,0.04410535,0.6962362,-0.7117915,-0.08162792,0.01553742,0.9279938,-0.09843169,-0.03308741,-0.3391873,0.9371106,-0.07537282,0.002895793,0.9865679,-0.04972767,0.01698189,-0.3789327,0.9216322,-0.08194891,-0.007774651,1.040574,0.004422893,0.0669092,-0.4169717,0.9021563,-0.08815871,-0.02123942,1.123597,0.10406,0.0669092,-0.4169717,0.9021563,-0.08815871,-0.1003604,1.174339,0.2166282,-0.1390025,-0.1215132,0.80036,-0.5703832,-0.2299595,1.218112,0.2215475,0.1088137,0.7576417,-0.05951831,0.640778,-0.2939686,0.9608546,0.2084724,-0.4240622,0.6729036,-0.281063,0.5370066,-0.2153942,0.8198773,0.4521399,-0.4929694,0.607044,-0.5193663,0.3445837,-0.04252205,1.254822,0.261544,0.02387899,-0.285462,0.951369,-0.113307,-0.06398867,1.341061,0.3198525,-0.01968132,-0.1476149,0.9794606,-0.1359398,0.03931996,1.205105,0.2098688,0.3192892,-0.1684565,0.7020377,0.6138567,0.1720218,1.231058,0.1885881,0.6259339,-0.3532948,-0.3586511,0.5956166,0.1760138,1.241899,-0.07658398,0.3029321,-0.5380177,-0.3263652,0.71572,0.1347427,1.065533,-0.3059611,0.2026919,-0.6694165,-0.1350955,0.7018169
0,0,0,0,6.657903E-08,0,0,1,0.02634144,0.8347012,-0.1137833,0.2981426,-0.0827951,0.06849816,0.9484535,-0.05412907,0.8280649,-0.1300848,0.1558102,0.6657785,0.2724561,0.6769268,0.01677568,0.4752974,-0.382139,0.2641402,0.6680101,0.3058774,0.6248453,0.02906801,0.1787506,-0.7074193,-0.03289409,0.9816032,-0.1026454,0.1575986,0.05341222,0.0359957,-0.7379654,0.04672018,0.812115,-0.5608481,0.1540666,0.03713158,-0.003535777,-0.6742982,0.04672018,0.812115,-0.5608481,0.1540666,0.106812,0.8413376,-0.09748181,-0.264576,-0.741078,0.2554471,0.5617381,0.0606153,0.5208557,0.1994373,0.04747222,-0.7488994,-0.06840999,0.6574315,0.05294724,0.08659761,0.1269129,0.03358651,0.6949394,-0.7123404,-0.09220877,0.05312067,0.02654018,0.2621821,0.04410535,0.6962362,-0.7117915,-0.08162792,0.05501087,0.0152768,0.3380166,0.04410535,0.6962362,-0.7117915,-0.08162792,0.01553742,0.9279938,-0.09843169,-0.03308741,-0.3391873,0.9371106,-0.07537282,0.002895793,0.9865679,-0.04972767,0.01698189,-0.3789327,0.9216322,-0.08194891,-0.007774651,1.040574,0.004422893,0.0669092,-0.4169717,0.9021563,-0.08815871,-0.02123942,1.123597,0.10406,0.0669092,-0.4169717,0.9021563,-0.08815871,-0.1003604,1.174339,0.2166282,-0.1390025,-0.1215132,0.80036,-0.5703832,-0.2299595,1.218112,0.2215475,0.1088137,0.7576417,-0.05951831,0.640778,-0.2939686,0.9608546,0.2084724,-0.4240622,0.6729036,-0.281063,0.5370066,-0.2153942,0.8198773,0.4521399,-0.4929694,0.607044,-0.5193663,0.3445837,-0.04252205,1.254822,0.261544,0.02387899,-0.285462,0.951369,-0.113307,-0.06398867,1.341061,0.3198525,-0.01968132,-0.1476149,0.9794606,-0.1359398,0.03931996,1.205105,0.2098688,0.3192892,-0.1684565,0.7020377,0.6138567,0.1720218,1.231058,0.1885881,0.6259339,-0.3532948,-0.3586511,0.5956166,0.1760138,1.241899,-0.07658398,0.3029321,-0.5380177,-0.3263652,0.71572,0.1347427,1.065533,-0.3059611,0.2026919,-0.6694165,-0.1350955,0.7018169
0,0,0,0,6.657903E-08,0,0,1,0.02634144,0.8347012,-0.1137833,0.2981426,-0.0827951,0.06849816,0.9484535,-0.05412907,0.8280649,-0.1300848,0.1558102,0.6657785,0.2724561,0.6769268,0.01677568,0.4752974,-0.382139,0.2641402,0.6680101,0.3058774,0.6248453,0.02906801,0.1787506,-0.7074193,-0.03289409,0.9816032,-0.1026454,0.1575986,0.05341222,0.0359957,-0.7379654,0.04672018,0.812115,-0.5608481,0.1540666,0.03713158,-0.003535777,-0.6742982,0.04672018,0.812115,-0.5608481,0.1540666,0.106812,0.8413376,-0.09748181,-0.264576,-0.741078,0.2554471,0.5617381,0.0606153,0.5208557,0.1994373,0.04747222,-0.7488994,-0.06840999,0.6574315,0.05294724,0.08659761,0.1269129,0.03358651,0.6949394,-0.7123404,-0.09220877,0.05312067,0.02654018,0.2621821,0.04410535,0.6962362,-0.7117915,-0.08162792,0.05501087,0.0152768,0.3380166,0.04410535,0.6962362,-0.7117915,-0.08162792,0.01553742,0.9279938,-0.09843169,-0.03308741,-0.3391873,0.9371106,-0.07537282,0.002895793,0.9865679,-0.04972767,0.01698189,-0.3789327,0.9216322,-0.08194891,-0.007774651,1.040574,0.004422893,0.0669092,-0.4169717,0.9021563,-0.08815871,-0.02123942,1.123597,0.10406,0.0669092,-0.4169717,0.9021563,-0.08815871,-0.1003604,1.174339,0.2166282,-0.1390025,-0.1215132,0.80036,-0.5703832,-0.2299595,1.218112,0.2215475,0.1088137,0.7576417,-0.05951831,0.640778,-0.2939686,0.9608546,0.2084724,-0.4240622,0.6729036,-0.281063,0.5370066,-0.2153942,0.8198773,0.4521399,-0.4929694,0.607044,-0.5193663,0.3445837,-0.04252205,1.254822,0.261544,0.02387899,-0.285462,0.951369,-0.113307,-0.06398867,1.341061,0.3198525,-0.01968132,-0.1476149,0.9794606,-0.1359398,0.03931996,1.205105,0.2098688,0.3192892,-0.1684565,0.7020377,0.6138567,0.1720218,1.231058,0.1885881,0.6259339,-0.3532948,-0.3586511,0.5956166,0.1760138,1.241899,-0.07658398,0.3029321,-0.5380177,-0.3263652,0.71572,0.1347427,1.065533,-0.3059611,0.2026919,-0.6694165,-0.1350955,0.7018169
10.0708,0,0,0,6.657903E-08,0,0,1,0.0235353,0.8359032,-0.1136216,0.2960087,-0.08026655,0.05597921,0.9501593,-0.05725986,0.8310548,-0.128916,0.1550591,0.6690303,0.2699518,0.6748934,0.01166941,0.4768887,-0.3795529,0.2717357,0.6663474,0.3280713,0.6119725,0.02838657,0.1963008,-0.7185063,-0.04355507,0.9837897,-0.09491446,0.1457816,0.05484786,0.05443869,-0.7513631,0.007331952,0.8964303,-0.4162495,0.1519722,0.04768758,-0.004525091,-0.7028522,0.007331952,0.8964303,-0.4162495,0.1519722,0.1043305,0.8407516,-0.09832726,-0.2575419,-0.7366495,0.2548076,0.5710456,0.06548436,0.5167559,0.1958182,0.03135629,-0.7456252,-0.06348789,0.6625929,0.04965868,0.08079903,0.1359037,0.05007466,0.6843829,-0.7191554,-0.1092169,0.04746477,0.02438273,0.2727141,0.05262326,0.7010676,-0.7029005,-0.108012,0.05048933,0.01146634,0.3482476,0.05262326,0.7010676,-0.7029005,-0.108012,0.01505101,0.9294668,-0.09846377,-0.03178355,-0.3382415,0.9381558,-0.06668215,0.003729323,0.9883305,-0.04978417,0.01705504,-0.3791658,0.9219504,-0.07713764,-0.006255196,1.042428,0.004406442,0.06574891,-0.4183551,0.9016907,-0.08723714,-0.01959503,1.125192,0.1042759,0.06574891,-0.4183551,0.9016907,-0.08723714,-0.09869222,1.175816,0.2169137,-0.1431367,-0.1224437,0.8002633,-0.5692965,-0.2282122,1.219866,0.2214308,0.1039538,0.7568366,-0.05501529,0.6429353,-0.2887534,0.9617857,0.2080551,-0.4294386,0.6714591,-0.2774932,0.5363982,-0.2072076,0.8223252,0.451619,-0.5066574,0.5974343,-0.518986,0.3420888,-0.04068015,1.256007,0.2621268,0.02308041,-0.2847718,0.9518254,-0.1113606,-0.06181576,1.342423,0.3202946,-0.02011338,-0.144707,0.980296,-0.1329495,0.04107857,1.206219,0.2103873,0.320396,-0.1689448,0.6997835,0.6157171,0.1738519,1.231501,0.1887471,0.6164461,-0.3493415,-0.3656399,0.6035419,0.1710227,1.238772,-0.07656193,0.3005577,-0.5275708,-0.3162346,0.7289243,0.1289669,1.057763,-0.3021483,0.2044891,-0.6544282,-0.1131231,0.7191047
20.01953,0,0,0,6.657903E-08,0,0,1,0.021515,0.8415692,-0.1136229,0.2929036,-0.07606982,0.04687218,0.9519579,-0.05954256,0.837889,-0.1278148,0.1502566,0.676246,0.2621632,0.6718518,0.005937956,0.478793,-0.3722858,0.2816325,0.6701305,0.3553452,0.5876546,0.02300205,0.2194178,-0.7277176,-0.0605791,0.9842985,-0.1018445,0.130822,0.05249024,0.07772355,-0.7586669,-0.07104056,0.9893246,-0.02127715,0.1254489,0.06592374,0.002625985,-0.7664898,-0.07104056,0.9893246,-0.02127715,0.1254489,0.1025726,0.8452495,-0.09943103,-0.2503941,-0.7321387,0.2532543,0.5806359,0.07069997,0.5173705,0.191229,0.02119583,-0.7417475,-0.06556796,0.6671299,0.04665442,0.08116989,0.1360087,0.06046604,0.6791132,-0.7205877,-0.1261056,0.04360189,0.02624258,0.2734073,0.0758322,0.680718,-0.7202274,-0.1102047,0.04448882,0.01763882,0.3496076,0.0758322,0.680718,-0.7202274,-0.1102047,0.01468335,0.9353409,-0.09892269,-0.02965331,-0.3372548,0.9390348,-0.05994666,0.004445208,0.9944393,-0.05028749,0.01710538,-0.3802916,0.9218376,-0.07281087,-0.004916053,1.048505,0.004045976,0.06371774,-0.421557,0.9005272,-0.08532901,-0.01794968,1.130653,0.1044624,0.06371774,-0.421557,0.9005272,-0.08532901,-0.0969293,1.180928,0.2173388,-0.1481619,-0.1218793,0.7996164,-0.569041,-0.226438,1.225096,0.2209378,0.1020668,0.7539043,-0.0483254,0.6472061,-0.2838885,0.9664421,0.2052119,-0.4302516,0.671527,-0.2693365,0.5398087,-0.199986,0.8247828,0.4466976,-0.5179044,0.5906221,-0.5143843,0.3440206,-0.03855086,1.260495,0.2631781,0.02154514,-0.2855428,0.951934,-0.1087347,-0.05924705,1.346941,0.32146,-0.02113312,-0.1428273,0.9810002,-0.1295885,0.04301108,1.210626,0.2112078,0.3201918,-0.1687145,0.6972245,0.6187822,0.1759084,1.234893,0.189171,0.603941,-0.3497938,-0.3734415,0.6110985,0.1669077,1.237124,-0.07609062,0.2957975,-0.5186389,-0.3051198,0.7419028,0.1242606,1.050418,-0.2968722,0.2033233,-0.6385316,-0.09311112,0.7363884
30.0293,0,0,0,6.657903E-08,0,0,1,0.01969712,0.8459204,-0.1136908,0.2890702,-0.0700681,0.03890152,0.9539474,-0.06161757,0.8431435,-0.1265552,0.1414059,0.687871,0.251563,0.6659986,0.0001263209,0.4769947,-0.3613454,0.2929359,0.6743504,0.3821091,0.5598511,0.01393134,0.2406943,-0.7326537,-0.07941131,0.9832573,-0.1112993,0.1204647,0.04736373,0.09928744,-0.7607802,-0.08877255,0.9890037,-0.0324676,0.1137423,0.06302954,0.0244575,-0.7668071,-0.08877255,0.9890037,-0.0324676,0.1137423,0.1010118,0.8486972,-0.1008264,-0.2443174,-0.7263495,0.2489571,0.5922381,0.07463662,0.5162806,0.1851934,0.01793809,-0.736625,-0.07485002,0.6719074,0.04261379,0.0811045,0.1260763,0.06442038,0.6802958,-0.7156533,-0.1445275,0.04025469,0.02494457,0.2629892,0.06770961,0.6964889,-0.699904,-0.143016,0.04450732,0.01190461,0.3384426,0.06770961,0.6964889,-0.699904,-0.143016,0.01426293,0.9398807,-0.09962567,-0.02662169,-0.3362591,0.9398761,-0.05342326,0.00512589,0.9991968,-0.0510363,0.01714444,-0.3821323,0.9214602,-0.06776799,-0.003506314,1.053155,0.003524011,0.06076459,-0.4261939,0.8988762,-0.08178184,-0.01592289,1.134433,0.1047239,0.06076459,-0.4261939,0.8988762,-0.08178184,-0.09459234,1.184324,0.2179864,-0.1534447,-0.1206104,0.7988536,-0.5689824,-0.2240924,1.228595,0.2204619,0.1038247,0.7494244,-0.03980995,0.652686,-0.2791897,0.9697347,0.2003274,-0.4262792,0.6732389,-0.2584185,0.5461276,-0.1939293,0.8227184,0.4381072,-0.5242611,0.5893644,-0.5052689,0.3500048,-0.03554878,1.262899,0.2646781,0.01936039,-0.2878852,0.9516736,-0.1051902,-0.05564485,1.34922,0.323353,-0.02251196,-0.1426158,0.9814605,-0.1260552,0.04562306,1.212793,0.2123262,0.3192106,-0.1683504,0.6943279,0.6226329,0.1786846,1.235785,0.189916,0.5885012,-0.354916,-0.382089,0.6178261,0.1642472,1.231711,-0.0750834,0.2888646,-0.5115739,-0.2921652,0.7546453,0.1217472,1.038112,-0.289876,0.1987179,-0.6227366,-0.07576647,0.7529743
40.03906,0,0,0,6.657903E-08,0,0,1,0.01813325,0.8533012,-0.1136138,0.2853577,-0.06374663,0.03371998,0.9557042,-0.0633828,0.8509889,-0.1252358,0.1302986,0.7016131,0.2393714,0.6583789,-0.005235897,0.4769295,-0.3481757,0.3047446,0.6743391,0.4063055,0.5360167,0.00496597,0.2636236,-0.7332665,-0.09556141,0.9822213,-0.1124996,0.1159893,0.04238509,0.1231024,-0.7608024,-0.1045068,0.9880646,-0.03381234,0.1079991,0.0602648,0.04874281,-0.7664834,-0.1045068,0.9880646,-0.03381234,0.1079991,0.09964929,0.8556135,-0.1019918,-0.239197,-0.7193068,0.2414864,0.6058605,0.07702505,0.5178022,0.1779642,0.02147189,-0.7279125,-0.09013931,0.6793799,0.03748977,0.08496027,0.1073716,0.06179162,0.6873992,-0.7048339,-0.163931,0.03723435,0.02500251,0.2426849,0.06326568,0.6937199,-0.6986139,-0.1633677,0.04383513,0.01169075,0.3179213,0.06326568,0.6937199,-0.6986139,-0.1633677,0.01355297,0.947404,-0.100213,-0.02349111,-0.3354194,0.9405479,-0.04808176,0.005351898,1.006891,-0.05166552,0.01705784,-0.3841708,0.9210007,-0.06228877,-0.002495879,1.060718,0.003142297,0.05746393,-0.4310798,0.8972538,-0.07618704,-0.01386237,1.141134,0.1051509,0.05746393,-0.4310798,0.8972538,-0.07618704,-0.09189305,1.190922,0.2188999,-0.1591452,-0.1196407,0.7982865,-0.5684174,-0.2213272,1.235432,0.2202815,0.1097619,0.7449197,-0.02989558,0.6573839,-0.2751636,0.976878,0.1938003,-0.4172443,0.6763825,-0.2443319,0.5556222,-0.1895511,0.8212671,0.4259169,-0.523274,0.5956287,-0.4920712,0.3595515,-0.03182851,1.268238,0.2663832,0.01696407,-0.2908993,0.9512869,-0.1007178,-0.05114727,1.354384,0.3255743,-0.02395668,-0.1435009,0.9817162,-0.1227496,0.04868726,1.217592,0.2135398,0.3182481,-0.1684051,0.690995,0.6268048,0.1819303,1.239152,0.190787,0.5707453,-0.3640186,-0.3908738,0.6236655,0.1628127,1.227756,-0.07370193,0.280165,-0.5059884,-0.2769745,0.7673132,0.1214464,1.02621,-0.2812846,0.1907823,-0.6076087,-0.05981157,0.7686594
50.04883,0,0,0,6.657903E-08,0,0,1,0.01788409,0.8611416,-0.1133264,0.2802229,-0.05389077,0.03431634,0.9578065,-0.06381628,0.8582146,-0.1234143,0.1233353,0.7065824,0.2145674,0.6629409,-0.01540379,0.4727102,-0.3284664,0.316416,0.669077,0.4283303,0.5184111,-0.006907452,0.2819633,-0.7252558,-0.1068793,0.9821388,-0.1031594,0.1154924,0.03375832,0.1428394,-0.755181,-0.1159724,0.9872866,-0.02243801,0.1063583,0.05346176,0.06907962,-0.762431,-0.1159724,0.9872866,-0.02243801,0.1063583,0.09958446,0.8640687,-0.1032385,-0.2335341,-0.7115505,0.231997,0.6207536,0.08011506,0.5199574,0.1691805,0.03099171,-0.7141488,-0.109745,0.6906425,0.03348807,0.09099894,0.081322,0.05273197,0.6994438,-0.6891083,-0.1820097,0.03643316,0.02515063,0.213836,0.07289327,0.701798,-0.689629,-0.1630284,0.04149473,0.01020696,0.2888853,0.07289327,0.701798,-0.689629,-0.1630284,0.01297924,0.9553676,-0.1009453,-0.01778809,-0.3332959,0.9415221,-0.04619224,0.005346947,1.015101,-0.05260856,0.01856069,-0.3850925,0.9208722,-0.05791188,-0.001785312,1.0689,0.002324634,0.05476841,-0.4350537,0.8960578,-0.06934939,-0.01177652,1.148678,0.1049762,0.05476841,-0.4350537,0.8960578,-0.06934939,-0.08885956,1.198731,0.2192536,-0.1655486,-0.1195778,0.7981466,-0.5667954,-0.2181245,1.243749,0.2196939,0.1196851,0.741691,-0.01916699,0.6596991,-0.2719593,0.9861249,0.1853275,-0.4033835,0.6813267,-0.2283836,0.566495,-0.186933,0.8194582,0.4098605,-0.5133231,0.6098256,-0.4755445,0.3721153,-0.02756893,1.274774,0.2672246,0.01483302,-0.2934764,0.9510373,-0.09581198,-0.04601417,1.360804,0.3268604,-0.0254786,-0.1444558,0.9818966,-0.1198445,0.0520923,1.223351,0.2138397,0.3184276,-0.1695401,0.6869928,0.6307939,0.185506,1.243432,0.1907372,0.551082,-0.3761291,-0.3992946,0.6288083,0.1622536,1.223858,-0.07294048,0.270081,-0.5011963,-0.259292,0.7801452,0.1231344,1.013526,-0.2720697,0.1799151,-0.5930523,-0.0424966,0.783654
60.05859,0,0,0,6.657903E-08,0,0,1,0.01686909,0.8692971,-0.1126648,0.278308,-0.05112675,0.0339462,0.9585293,-0.06488326,0.8662807,-0.1222948,0.1143479,0.7142555,0.1969535,0.6617953,-0.02212017,0.4725306,-0.3123893,0.3274591,0.6604262,0.4483687,0.5055425,-0.01356679,0.3035069,-0.7189064,-0.1135853,0.9826148,-0.08908349,0.116751,0.02932889,0.1659176,-0.7525787,-0.1230875,0.9866303,-0.005337143,0.106686,0.0503141,0.09279482,-0.7622727,-0.1230875,0.9866303,-0.005337143,0.106686,0.09862144,0.8723135,-0.1030347,-0.2254439,-0.7037052,0.2213308,0.6363856,0.08298647,0.5206911,0.159874,0.04565707,-0.6962879,-0.1320575,0.7040311,0.02973618,0.09747045,0.05057069,0.03806091,0.7151883,-0.6705332,-0.1935005,0.03638883,0.02453569,0.1791821,0.05826801,0.717919,-0.6711042,-0.1755472,0.04366303,0.005502965,0.2531156,0.05826801,0.717919,-0.6711042,-0.1755472,0.01197565,0.9635717,-0.100655,-0.01644465,-0.3328273,0.9418336,-0.04364685,0.004781707,1.023389,-0.0523543,0.01847208,-0.3860729,0.9207483,-0.05319215,-0.001680778,1.077152,0.002696658,0.05324915,-0.4374667,0.8954799,-0.06247883,-0.01019594,1.156617,0.1057232,0.05324915,-0.4374667,0.8954799,-0.06247883,-0.08616497,1.207237,0.220496,-0.1726214,-0.1203795,0.7983603,-0.5642089,-0.2151672,1.253003,0.2201432,0.1327895,0.7394075,-0.008200805,0.6599826,-0.2701614,0.9969758,0.1768401,-0.3846444,0.6887732,-0.2118711,0.5768461,-0.186738,0.8174278,0.3918411,-0.4947807,0.6306243,-0.4559339,0.3868205,-0.02365535,1.282218,0.2685645,0.01312627,-0.2949022,0.9510823,-0.09112211,-0.04125581,1.368257,0.3284434,-0.02733591,-0.1447156,0.9821026,-0.1174101,0.0550933,1.22993,0.2146678,0.3203619,-0.1717981,0.6820555,0.6345506,0.1886437,1.2485,0.1910943,0.5295243,-0.3905506,-0.4068062,0.6337062,0.1615755,1.219774,-0.07137824,0.2588336,-0.4963645,-0.2394086,0.7932916,0.1256577,1.000168,-0.260866,0.1666508,-0.5783415,-0.02086538,0.7983194
70.00732,0,0,0,6.657903E-08,0,0,1,0.01590627,0.8752611,-0.1114475,0.2764475,-0.05104865,0.03412393,0.9590654,-0.0658454,0.8721944,-0.1210674,0.1064004,0.7166975,0.17702,0.6660988,-0.02924451,0.4703529,-0.2948129,0.3386677,0.6498603,0.4657227,0.4960727,-0.02021587,0.3218696,-0.7092639,-0.1157873,0.9829984,-0.07875177,0.1187675,0.02368084,0.1852967,-0.7456722,-0.1256958,0.9861216,0.007201856,0.1082265,0.04524713,0.1126034,-0.7571561,-0.1256958,0.9861216,0.007201856,0.1082265,0.09765795,0.8783278,-0.1018276,-0.2138764,-0.6969798,0.2093403,0.6516539,0.08654302,0.5177031,0.1488315,0.06388198,-0.6769288,-0.1544649,0.7168174,0.02774521,0.1018961,0.01637091,0.01840948,0.7315766,-0.6553201,-0.1871163,0.03806569,0.02278976,0.1410319,0.03643222,0.7344704,-0.6555004,-0.1718882,0.04722569,0.0002214028,0.213751,0.03643222,0.7344704,-0.6555004,-0.1718882,0.01099772,0.969581,-0.09980451,-0.01654807,-0.3317889,0.9422898,-0.04161952,0.004093076,1.029532,-0.05162703,0.01818899,-0.3858531,0.9210808,-0.04895743,-0.001787243,1.083388,0.003398287,0.05278573,-0.4380463,0.895649,-0.05605718,-0.008850172,1.162919,0.1064836,0.05278573,-0.4380463,0.895649,-0.05605718,-0.08365028,1.214412,0.2216349,-0.1799508,-0.1214749,0.7987347,-0.561146,-0.212336,1.26105,0.2205528,0.1482913,0.7368879,0.002511714,0.6595454,-0.2694641,1.007303,0.1676516,-0.3603164,0.6990679,-0.1945569,0.5861946,-0.1888923,0.8130473,0.3706182,-0.4698096,0.6557348,-0.4328459,0.4024121,-0.02001418,1.288625,0.2694176,0.0117703,-0.2950294,0.9514666,-0.08677968,-0.03682843,1.374812,0.3293092,-0.02955336,-0.1442842,0.9823601,-0.1152289,0.05784005,1.235412,0.2151278,0.3239991,-0.1745513,0.6761169,0.6382965,0.1914674,1.252415,0.1908206,0.5060706,-0.4068304,-0.4129129,0.6386588,0.1607704,1.213453,-0.06992706,0.2463085,-0.4907855,-0.2179788,0.8068132,0.1286296,0.9844196,-0.2486249,0.1515045,-0.5626477,0.007099263,0.8126648
