Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,-0.027231,0.9104087,-0.07036377,0.1391363,0.1318524,-0.04297474,0.9805148,-0.1064355,0.9143283,-0.04807985,-0.0637958,0.7207879,-0.1059401,0.6820349,-0.1295187,0.4884437,0.05724445,0.1685853,0.7863295,0.1071135,0.5846296,-0.1917228,0.08325745,-0.1035445,-0.0659474,0.7134936,-0.6892713,-0.1071595,-0.163307,0.01453489,0.02441807,-0.06509288,0.7085437,-0.6947601,-0.1050592,-0.1460386,-0.0001868736,0.09767357,-0.06509288,0.7085437,-0.6947601,-0.1050592,0.05197347,0.9064891,-0.09264769,-0.06671811,-0.5329621,0.2266763,0.8124765,0.1825496,0.5162249,0.06112993,0.04459029,-0.4632031,-0.1315635,0.8752977,0.0998465,0.09285307,-0.02727232,-0.2866997,0.6628075,-0.6347201,-0.2749914,0.1973318,0.02554851,0.06144844,-0.2863414,0.6636329,-0.6338572,-0.2753641,0.2524368,0.01033847,0.11257,-0.2863414,0.6636329,-0.6338572,-0.2753641,-0.02669659,1.004437,-0.08500218,0.1032528,-0.175211,0.977819,0.05010159,-0.01633665,1.076527,-0.05934203,0.07436509,-0.2109821,0.9729812,0.05713465,-0.005328154,1.146368,-0.02829484,0.04529101,-0.2463202,0.966009,0.06404834,0.01371633,1.259866,0.03300079,0.04529101,-0.2463202,0.966009,0.06404834,-0.03743168,1.367858,0.1180188,-0.09749214,-0.2201744,0.7366992,-0.6318964,-0.1707486,1.382157,0.1455584,0.2785619,0.7815204,0.08555291,0.5516433,-0.2612614,1.16181,0.02849221,0.03727503,0.68986,-0.005318208,0.7229631,-0.27854,0.8703677,0.01488363,0.06355249,0.8363438,-0.02124381,0.544095,0.04381708,1.439259,0.129883,0.2768334,-0.1902711,0.9415255,0.02627422,0.06027355,1.537708,0.16642,0.4921036,-0.123038,0.8616995,-0.01304433,0.1039943,1.353335,0.1009713,0.3543942,0.04179744,0.6693991,0.6515849,0.2193455,1.373508,0.0300955,0.2101821,-0.5253879,-0.1641155,0.807996,0.2075721,1.145833,-0.1058279,0.09330685,-0.4719255,-0.04249965,0.8756564,0.2115574,0.8597069,-0.165312,0.05903942,-0.6305969,0.145175,0.7601227
0,0,0,0,6.657903E-08,0,0,1,-0.027231,0.9104087,-0.07036377,0.1391363,0.1318524,-0.04297474,0.9805148,-0.1064355,0.9143283,-0.04807985,-0.0637958,0.7207879,-0.1059401,0.6820349,-0.1295187,0.4884437,0.05724445,0.1685853,0.7863295,0.1071135,0.5846296,-0.1917228,0.08325745,-0.1035445,-0.0659474,0.7134936,-0.6892713,-0.1071595,-0.163307,0.01453489,0.02441807,-0.06509288,0.7085437,-0.6947601,-0.1050592,-0.1460386,-0.0001868736,0.09767357,-0.06509288,0.7085437,-0.6947601,-0.1050592,0.05197347,0.9064891,-0.09264769,-0.06671811,-0.5329621,0.2266763,0.8124765,0.1825496,0.5162249,0.06112993,0.04459029,-0.4632031,-0.1315635,0.8752977,0.0998465,0.09285307,-0.02727232,-0.2866997,0.6628075,-0.6347201,-0.2749914,0.1973318,0.02554851,0.06144844,-0.2863414,0.6636329,-0.6338572,-0.2753641,0.2524368,0.01033847,0.11257,-0.2863414,0.6636329,-0.6338572,-0.2753641,-0.02669659,1.004437,-0.08500218,0.1032528,-0.175211,0.977819,0.05010159,-0.01633665,1.076527,-0.05934203,0.07436509,-0.2109821,0.9729812,0.05713465,-0.005328154,1.146368,-0.02829484,0.04529101,-0.2463202,0.966009,0.06404834,0.01371633,1.259866,0.03300079,0.04529101,-0.2463202,0.966009,0.06404834,-0.03743168,1.367858,0.1180188,-0.09749214,-0.2201744,0.7366992,-0.6318964,-0.1707486,1.382157,0.1455584,0.2785619,0.7815204,0.08555291,0.5516433,-0.2612614,1.16181,0.02849221,0.03727503,0.68986,-0.005318208,0.7229631,-0.27854,0.8703677,0.01488363,0.06355249,0.8363438,-0.02124381,0.544095,0.04381708,1.439259,0.129883,0.2768334,-0.1902711,0.9415255,0.02627422,0.06027355,1.537708,0.16642,0.4921036,-0.123038,0.8616995,-0.01304433,0.1039943,1.353335,0.1009713,0.3543942,0.04179744,0.6693991,0.6515849,0.2193455,1.373508,0.0300955,0.2101821,-0.5253879,-0.1641155,0.807996,0.2075721,1.145833,-0.1058279,0.09330685,-0.4719255,-0.04249965,0.8756564,0.2115574,0.8597069,-0.165312,0.05903942,-0.6305969,0.145175,0.7601227
0,0,0,0,6.657903E-08,0,0,1,-0.027231,0.9104087,-0.07036377,0.1391363,0.1318524,-0.04297474,0.9805148,-0.1064355,0.9143283,-0.04807985,-0.0637958,0.7207879,-0.1059401,0.6820349,-0.1295187,0.4884437,0.05724445,0.1685853,0.7863295,0.1071135,0.5846296,-0.1917228,0.08325745,-0.1035445,-0.0659474,0.7134936,-0.6892713,-0.1071595,-0.163307,0.01453489,0.02441807,-0.06509288,0.7085437,-0.6947601,-0.1050592,-0.1460386,-0.0001868736,0.09767357,-0.06509288,0.7085437,-0.6947601,-0.1050592,0.05197347,0.9064891,-0.09264769,-0.06671811,-0.5329621,0.2266763,0.8124765,0.1825496,0.5162249,0.06112993,0.04459029,-0.4632031,-0.1315635,0.8752977,0.0998465,0.09285307,-0.02727232,-0.2866997,0.6628075,-0.6347201,-0.2749914,0.1973318,0.02554851,0.06144844,-0.2863414,0.6636329,-0.6338572,-0.2753641,0.2524368,0.01033847,0.11257,-0.2863414,0.6636329,-0.6338572,-0.2753641,-0.02669659,1.004437,-0.08500218,0.1032528,-0.175211,0.977819,0.05010159,-0.01633665,1.076527,-0.05934203,0.07436509,-0.2109821,0.9729812,0.05713465,-0.005328154,1.146368,-0.02829484,0.04529101,-0.2463202,0.966009,0.06404834,0.01371633,1.259866,0.03300079,0.04529101,-0.2463202,0.966009,0.06404834,-0.03743168,1.367858,0.1180188,-0.09749214,-0.2201744,0.7366992,-0.6318964,-0.1707486,1.382157,0.1455584,0.2785619,0.7815204,0.08555291,0.5516433,-0.2612614,1.16181,0.02849221,0.03727503,0.68986,-0.005318208,0.7229631,-0.27854,0.8703677,0.01488363,0.06355249,0.8363438,-0.02124381,0.544095,0.04381708,1.439259,0.129883,0.2768334,-0.1902711,0.9415255,0.02627422,0.06027355,1.537708,0.16642,0.4921036,-0.123038,0.8616995,-0.01304433,0.1039943,1.353335,0.1009713,0.3543942,0.04179744,0.6693991,0.6515849,0.2193455,1.373508,0.0300955,0.2101821,-0.5253879,-0.1641155,0.807996,0.2075721,1.145833,-0.1058279,0.09330685,-0.4719255,-0.04249965,0.8756564,0.2115574,0.8597069,-0.165312,0.05903942,-0.6305969,0.145175,0.7601227
10.00977,0,0,0,6.657903E-08,0,0,1,-0.02934173,0.9059145,-0.07299057,0.1412322,0.1343881,-0.04607711,0.9797297,-0.1083895,0.9102248,-0.0502274,-0.06869026,0.7218437,-0.111463,0.6795582,-0.1313763,0.485965,0.06148166,0.1743091,0.784842,0.1118811,0.5840565,-0.1949178,0.08342625,-0.1053219,-0.06469601,0.713697,-0.6891147,-0.1075746,-0.1668162,0.01461225,0.02266085,-0.0637681,0.7088521,-0.6945114,-0.1054348,-0.1496829,-0.0001856216,0.09593272,-0.0637681,0.7088521,-0.6945114,-0.1054348,0.049706,0.9016043,-0.09575374,-0.07136736,-0.5263904,0.2324452,0.8147326,0.1830961,0.5142314,0.06284364,0.04430398,-0.4580596,-0.1377921,0.8770587,0.0950561,0.09231174,-0.02732931,-0.2934811,0.661967,-0.6302552,-0.280084,0.1941894,0.02456503,0.05920197,-0.2931171,0.6627849,-0.6293951,-0.2804648,0.2502325,0.009099767,0.1092151,-0.2931171,0.6627849,-0.6293951,-0.2804648,-0.02832797,0.9999921,-0.08728287,0.1064989,-0.1788762,0.9766091,0.05381421,-0.0172693,1.071823,-0.06118882,0.07830416,-0.2161997,0.9712624,0.06144672,-0.005437704,1.14124,-0.02950187,0.04991071,-0.2530578,0.9636999,0.06894483,0.01518322,1.253691,0.0331978,0.04991071,-0.2530578,0.9636999,0.06894483,-0.03417499,1.360859,0.1202915,-0.09750891,-0.2275695,0.7367784,-0.6291758,-0.1671552,1.37519,0.1493972,0.2829526,0.7832496,0.08778708,0.5465819,-0.2593308,1.156358,0.03079801,0.03683503,0.6954891,-0.005314192,0.7175722,-0.2765348,0.8648962,0.01750736,0.06368808,0.8440251,-0.02414601,0.5319614,0.04777566,1.431429,0.1322992,0.280636,-0.1898373,0.9404572,0.02730937,0.06456102,1.529901,0.1686233,0.4946623,-0.1153205,0.8612527,-0.01595115,0.1069386,1.345448,0.1015206,0.3608491,0.04050235,0.6663973,0.6512007,0.2217383,1.365788,0.02980194,0.2131934,-0.5220903,-0.1689505,0.8083481,0.2083262,1.139644,-0.1085057,0.09371005,-0.4672094,-0.0446764,0.8780309,0.2109881,0.8536733,-0.1688034,0.06198381,-0.62501,0.1466044,0.7642173
20.01953,0,0,0,6.657903E-08,0,0,1,-0.03167944,0.9004363,-0.07592113,0.1432522,0.1378254,-0.04832002,0.9788504,-0.1105381,0.9049757,-0.05255486,-0.08050513,0.7164572,-0.1169966,0.6830226,-0.1300727,0.4833755,0.06940969,0.1803733,0.783493,0.1164786,0.583127,-0.195322,0.08365543,-0.1034047,-0.0634617,0.7140474,-0.6887863,-0.1080867,-0.1675267,0.01468998,0.0245634,-0.06247816,0.7091515,-0.6942543,-0.1058854,-0.1505178,-0.0001844298,0.09784885,-0.06247816,0.7091515,-0.6942543,-0.1058854,0.04717925,0.8958969,-0.09928741,-0.07598557,-0.520158,0.2379159,0.8167362,0.1831846,0.5113828,0.06397714,0.04419333,-0.4549183,-0.1439564,0.877709,0.09013104,0.09098089,-0.02822778,-0.2987601,0.6611498,-0.6268104,-0.2841343,0.1905357,0.02292531,0.0565781,-0.2983916,0.6619616,-0.6259531,-0.2845212,0.2473042,0.00728117,0.1057096,-0.2983916,0.6619616,-0.6259531,-0.2845212,-0.03038945,0.9945645,-0.08985305,0.1104658,-0.1824179,0.9753358,0.05693083,-0.0187019,1.066144,-0.06334683,0.08277815,-0.2212432,0.969494,0.06542686,-0.006077293,1.135143,-0.03105714,0.0548762,-0.2595655,0.9613388,0.07377227,0.01613222,1.246544,0.03295984,0.0548762,-0.2595655,0.9613388,0.07377227,-0.03139663,1.35286,0.1220916,-0.09712799,-0.235132,0.7368444,-0.6263702,-0.1639997,1.367198,0.1528672,0.2870646,0.7850853,0.09001019,0.541418,-0.2577666,1.149819,0.03284967,0.03637215,0.70106,-0.005159182,0.7121556,-0.2748193,0.8583369,0.01982215,0.06370551,0.8509588,-0.02746216,0.5206314,0.05123555,1.422623,0.1341433,0.2845069,-0.188752,0.939491,0.02802513,0.06824883,1.521174,0.1701459,0.4969774,-0.1065541,0.8609779,-0.01941233,0.1093706,1.336629,0.1015001,0.3675046,0.03958192,0.6630993,0.6509017,0.2235471,1.357095,0.02882864,0.2161822,-0.5182686,-0.1733931,0.8090724,0.2085516,1.132441,-0.1117241,0.093869,-0.4626148,-0.04639742,0.8803543,0.2100585,0.8465784,-0.1725764,0.06481037,-0.6205768,0.1473373,0.7674479
30.0293,0,0,0,6.657903E-08,0,0,1,-0.03413321,0.893609,-0.07915355,0.1451209,0.141876,-0.04993206,0.9779151,-0.1127792,0.8982615,-0.05510252,-0.09805533,0.70558,-0.1231034,0.6909325,-0.1267233,0.480703,0.08074378,0.1867272,0.7824402,0.120864,0.5816462,-0.1940889,0.08395399,-0.0980031,-0.06223936,0.7144972,-0.6882935,-0.1089603,-0.1665689,0.01478111,0.02991253,-0.06120156,0.7094639,-0.6939281,-0.1066746,-0.1496547,-0.0001831788,0.1032016,-0.06120156,0.7094639,-0.6939281,-0.1066746,0.04451274,0.8889566,-0.1032046,-0.08076405,-0.5139206,0.243264,0.8186487,0.1830235,0.5073618,0.06473585,0.04448047,-0.4534994,-0.1502643,0.8773714,0.08519685,0.0886137,-0.03001881,-0.302753,0.6611627,-0.624067,-0.2859113,0.1864593,0.02029949,0.05355001,-0.3023847,0.661965,-0.6232159,-0.2863004,0.2436903,0.004504548,0.1020932,-0.3023847,0.661965,-0.6232159,-0.2863004,-0.03271483,0.9877871,-0.09273224,0.1148706,-0.1857899,0.9740303,0.05959823,-0.02045359,1.059127,-0.06584161,0.0875101,-0.2260962,0.9676995,0.06913961,-0.007064976,1.127713,-0.03298592,0.05991674,-0.2658559,0.9589404,0.07851249,0.01672328,1.238065,0.03227071,0.05991674,-0.2658559,0.9589404,0.07851249,-0.02897178,1.343509,0.1233741,-0.09630442,-0.2428379,0.7368088,-0.6235932,-0.1611587,1.357789,0.1559161,0.2907678,0.7871215,0.09195709,0.5361329,-0.2564816,1.141734,0.03473932,0.03589195,0.7066033,-0.004746152,0.7066837,-0.2732667,0.8502294,0.02187249,0.06356185,0.8570291,-0.03081969,0.5104035,0.05432194,1.412483,0.1354136,0.2884736,-0.1873695,0.9385442,0.02847291,0.07149331,1.511139,0.1710513,0.4993418,-0.09739383,0.860598,-0.02331257,0.111423,1.32651,0.1009422,0.374417,0.03896898,0.6595955,0.6505592,0.2249012,1.347112,0.02722285,0.2191201,-0.5136334,-0.1773035,0.8103893,0.2083715,1.123864,-0.1153845,0.0937454,-0.4579776,-0.04763377,0.8827229,0.2088886,0.8380558,-0.1765081,0.0671752,-0.6176837,0.1468787,0.769663
40.03906,0,0,0,6.657903E-08,0,0,1,-0.03591444,0.888961,-0.08143679,0.1467621,0.1462326,-0.0514245,0.9769506,-0.1143287,0.893702,-0.05665754,-0.1032756,0.7071529,-0.1278375,0.6876967,-0.1274043,0.4781108,0.08517587,0.1932976,0.7817304,0.1251387,0.5795463,-0.1972178,0.08448704,-0.09944483,-0.06107379,0.7152222,-0.6872746,-0.1112688,-0.1698427,0.0149281,0.02829247,-0.0599717,0.7098332,-0.6933238,-0.1088232,-0.1529044,-0.0001809136,0.1015461,-0.0599717,0.7098332,-0.6933238,-0.1088232,0.04249981,0.8842199,-0.1062161,-0.08608203,-0.5075148,0.2486158,0.8204932,0.1833461,0.5057177,0.06670642,0.04546624,-0.4533412,-0.1569746,0.8762271,0.0808799,0.08886046,-0.0314223,-0.3036731,0.6612141,-0.6230485,-0.2870355,0.1823563,0.02036064,0.05173394,-0.3033025,0.6620174,-0.6221951,-0.2874269,0.2397306,0.004458295,0.1000724,-0.3033025,0.6620174,-0.6221951,-0.2874269,-0.0344089,0.9831827,-0.09469889,0.1194353,-0.1888928,0.9727228,0.06217043,-0.02158508,1.054295,-0.0674691,0.09225219,-0.2306369,0.965919,0.0727809,-0.007442001,1.122481,-0.03410074,0.06481559,-0.2717868,0.9565608,0.08320291,0.01790747,1.231803,0.03229082,0.06481559,-0.2717868,0.9565608,0.08320291,-0.02596776,1.3364,0.125247,-0.09504227,-0.2505333,0.7366872,-0.6208805,-0.1577032,1.350564,0.159619,0.2940435,0.7894377,0.09351703,0.5306427,-0.254585,1.135681,0.03760004,0.03545992,0.7121146,-0.004114185,0.7011557,-0.2710316,0.8441543,0.02477869,0.06325449,0.8619682,-0.03427452,0.5018325,0.05797371,1.404595,0.1372275,0.2925708,-0.1860978,0.9375094,0.02909761,0.07534742,1.503344,0.1725068,0.5020388,-0.08877657,0.8598585,-0.02682646,0.1140348,1.318652,0.1010155,0.3815004,0.03846042,0.655781,0.6503306,0.2267701,1.339346,0.02619053,0.2219648,-0.5081925,-0.1807787,0.8122757,0.208699,1.117425,-0.1182883,0.09354784,-0.4531002,-0.0484102,0.8852153,0.2084254,0.8316391,-0.179516,0.06887314,-0.6158321,0.1449928,0.7713528
50.29297,0,0,0,6.657903E-08,0,0,1,-0.0374563,0.8836951,-0.08302039,0.1450963,0.147666,-0.05181394,0.9769632,-0.1157945,0.8885048,-0.05801493,-0.1079651,0.709999,-0.1326256,0.6831217,-0.1280465,0.4748798,0.08952475,0.1999839,0.7814062,0.1292675,0.5768021,-0.2006103,0.08449705,-0.1008282,-0.05960589,0.7147081,-0.6877252,-0.112577,-0.1735059,0.01507127,0.02703917,-0.05829366,0.7102965,-0.6927798,-0.1101708,-0.1566676,-0.000177516,0.100287,-0.05829366,0.7102965,-0.6927798,-0.1101708,0.04088192,0.8788854,-0.1080259,-0.09145829,-0.5014242,0.2543467,0.8218983,0.1842659,0.5037546,0.07007987,0.04717913,-0.4541395,-0.1641423,0.8744077,0.07724924,0.08906163,-0.03227096,-0.3025525,0.6614708,-0.6228989,-0.2879505,0.178509,0.02032822,0.05095666,-0.3021765,0.6622829,-0.6220354,-0.2883448,0.2358255,0.004292475,0.09931971,-0.3021765,0.6622829,-0.6220354,-0.2883448,-0.03600609,0.9778739,-0.09659084,0.1219823,-0.1896411,0.9721428,0.06399255,-0.02282587,1.048907,-0.06932438,0.09588081,-0.233776,0.9645599,0.07602479,-0.008039121,1.116793,-0.03562564,0.06950336,-0.2772565,0.9542441,0.08784377,0.01884634,1.225125,0.031777,0.06950336,-0.2772565,0.9542441,0.08784377,-0.02323438,1.328924,0.1264411,-0.09337838,-0.2581956,0.7364267,-0.6182972,-0.1544865,1.342898,0.1626888,0.2968568,0.7920352,0.0945843,0.524986,-0.2529399,1.129003,0.04019108,0.03521226,0.7175299,-0.003354531,0.6956289,-0.2690728,0.8374635,0.02727931,0.06276459,0.8657466,-0.03834714,0.495049,0.06134036,1.396352,0.1383118,0.2968232,-0.1849177,0.9363796,0.0299154,0.07896363,1.495184,0.1732336,0.5051831,-0.08076724,0.8587033,-0.02992384,0.1163606,1.310438,0.1004728,0.3887624,0.03808778,0.6517339,0.6501201,0.2283009,1.331214,0.02448639,0.2245159,-0.5021433,-0.1838895,0.8146345,0.2086255,1.1105,-0.1216223,0.09339865,-0.4477727,-0.04878567,0.8879169,0.2077501,0.8247191,-0.1828679,0.06964941,-0.6135415,0.1423123,0.7736039
60.30273,0,0,0,6.657903E-08,0,0,1,-0.03910945,0.8782129,-0.08486333,0.1459445,0.1527407,-0.05399117,0.9759383,-0.1171586,0.8832213,-0.05900729,-0.111947,0.7137496,-0.1370464,0.6776782,-0.1285555,0.4714131,0.09359647,0.2069974,0.7812942,0.1332599,0.5735618,-0.2042765,0.08446755,-0.1024593,-0.05815201,0.7140562,-0.6882938,-0.113991,-0.177424,0.015221,0.02555832,-0.05661262,0.7107654,-0.692202,-0.1116428,-0.1606764,-0.0001733435,0.09879655,-0.05661262,0.7107654,-0.692202,-0.1116428,0.03893966,0.8732046,-0.1107194,-0.09619854,-0.4959411,0.2609271,0.822621,0.1856164,0.5018345,0.07251267,0.0496341,-0.4556792,-0.1715443,0.8720468,0.07430667,0.08953727,-0.0348165,-0.2995998,0.6617608,-0.6233214,-0.2894534,0.1749966,0.02046132,0.04881785,-0.2992136,0.6625912,-0.6224385,-0.2898525,0.2321181,0.004230427,0.09734637,-0.2992136,0.6625912,-0.6224385,-0.2898525,-0.03750886,0.9724116,-0.09827711,0.1267986,-0.1919053,0.9709005,0.06668473,-0.02375184,1.043257,-0.07080787,0.1004004,-0.2374308,0.9629492,0.07921728,-0.008289374,1.110801,-0.03672632,0.07370159,-0.282247,0.9521188,0.09151313,0.01985794,1.218233,0.03159508,0.07370159,-0.282247,0.9521188,0.09151313,-0.02072574,1.321226,0.1277806,-0.09141517,-0.2657424,0.7360486,-0.6158386,-0.1514685,1.334948,0.1659161,0.2990265,0.7950433,0.09498281,0.5191032,-0.2514971,1.12178,0.04342831,0.03527101,0.7228473,-0.002369289,0.6901034,-0.267356,0.8302391,0.0302007,0.06230953,0.8686799,-0.04353731,0.4895075,0.06434643,1.388037,0.1395821,0.3011046,-0.1840446,0.9351701,0.03034026,0.08215888,1.486932,0.1742283,0.5088201,-0.07380832,0.8570754,-0.03281643,0.1185085,1.302231,0.1002878,0.3960931,0.03783589,0.6474616,0.6499789,0.2296143,1.323063,0.0231012,0.2266698,-0.4959053,-0.1868438,0.8171831,0.208232,1.103446,-0.1244144,0.09353512,-0.4418204,-0.04898439,0.8908686,0.2068794,0.8176917,-0.1857738,0.06943491,-0.6102705,0.139463,0.7767232
70.3125,0,0,0,6.657903E-08,0,0,1,-0.04119456,0.8744241,-0.08569497,0.1444754,0.1564185,-0.05639283,0.9754384,-0.1190127,0.8797634,-0.0592164,-0.113781,0.7157856,-0.1389627,0.6748291,-0.1298491,0.4687837,0.09564489,0.2108174,0.7804978,0.1377956,0.5721815,-0.205927,0.08432449,-0.1051079,-0.0565547,0.7131441,-0.6891835,-0.1151228,-0.1793796,0.01537078,0.02313124,-0.05476032,0.7112676,-0.6916344,-0.1128789,-0.1627647,-0.000168396,0.09636903,-0.05476032,0.7112676,-0.6916344,-0.1128789,0.03662356,0.8690848,-0.1121735,-0.09989335,-0.4910511,0.2683525,0.8227254,0.1875111,0.5018045,0.07582086,0.0522954,-0.4579068,-0.1790353,0.8692139,0.07206757,0.09205682,-0.03677616,-0.2949919,0.6620286,-0.6243909,-0.2912625,0.1718623,0.0225954,0.04760859,-0.2945934,0.6628816,-0.6234853,-0.2916656,0.2286522,0.006145226,0.09645133,-0.2945934,0.6628816,-0.6234853,-0.2916656,-0.03940188,0.9685759,-0.09941065,0.1307865,-0.1923589,0.9700601,0.0698322,-0.02505463,1.039328,-0.07200298,0.1046577,-0.2397843,0.9615852,0.0830927,-0.008839175,1.106601,-0.03773667,0.07820085,-0.2864391,0.9500551,0.09608676,0.0208087,1.213187,0.03127079,0.07820085,-0.2864391,0.9500551,0.09608676,-0.01800395,1.315565,0.1288352,-0.08926191,-0.273121,0.7355695,-0.6134939,-0.1482175,1.328988,0.1688421,0.3005358,0.7985631,0.09453744,0.5128725,-0.2498801,1.116255,0.04694378,0.03577748,0.7281345,-0.001234602,0.6844986,-0.265602,0.8247328,0.03315343,0.06218414,0.8699979,-0.04656491,0.4868971,0.06766891,1.381656,0.1403422,0.3057547,-0.1834229,0.9337415,0.03157839,0.08585948,1.480583,0.1746987,0.5128779,-0.06815043,0.8550346,-0.03504004,0.1207889,1.295837,0.09967681,0.4033238,0.03795625,0.6430137,0.6499406,0.2310084,1.316681,0.0212327,0.2281881,-0.4898191,-0.1897341,0.8197613,0.207775,1.098008,-0.1274017,0.09515848,-0.4330063,-0.05086575,0.8949097,0.2052514,0.812542,-0.190055,0.0684858,-0.6061349,0.1364224,0.7805764
