Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,-0.03899035,0.948212,-0.01533143,0.07761572,0.149588,-0.01919171,0.9855105,-0.1176161,0.9494152,0.009200867,0.006000652,0.7621195,-0.005884634,0.647382,-0.1249814,0.5101554,0.009728284,0.07897657,0.8077087,0.05234626,0.5819187,-0.1549366,0.07772774,-0.0677793,-0.1024301,0.6929927,-0.7094929,-0.07674056,-0.1189134,0.01812904,0.06281538,-0.1013562,0.7027647,-0.699815,-0.0781535,-0.0994603,0.00537036,0.1358913,-0.1013562,0.7027647,-0.699815,-0.0781535,0.03963536,0.9470088,-0.03986374,-0.03362896,-0.5915003,0.1333534,0.7944893,0.1152482,0.5243056,0.05291811,0.07053087,-0.6638868,-0.004435744,0.7444864,0.1542065,0.08842856,0.004011993,-0.04821031,0.7001018,-0.7114829,-0.03640808,0.1712811,0.02735923,0.1377419,-0.04816306,0.7010232,-0.710575,-0.03647053,0.1805279,0.01568887,0.2129722,-0.04816306,0.7010232,-0.710575,-0.03647053,-0.0454425,1.039759,-0.04049933,0.1532797,-0.09693754,0.9820741,0.051369,-0.03535663,1.115119,-0.02701286,0.1567564,-0.1161479,0.9772215,0.08351891,-0.01994003,1.189178,-0.01150571,0.1600126,-0.1352208,0.9709524,0.1155986,0.01497305,1.311316,0.01790911,0.1600126,-0.1352208,0.9709524,0.1155986,-0.01172944,1.436946,0.0886927,-0.06474459,-0.1094795,0.7333755,-0.6678196,-0.1477478,1.448453,0.09883605,0.1577571,0.7704729,0.06616516,0.61409,-0.1907014,1.198564,0.02034801,0.0435082,0.7698703,-0.01280822,0.636587,-0.215047,0.9074953,0.009921502,0.02245819,0.7622643,-0.02236506,0.64649,0.07015528,1.504363,0.06440133,0.2814192,-0.1457522,0.9460259,0.06778421,0.09250705,1.605162,0.08965823,0.3978284,-0.1536954,0.9043,0.01876608,0.1202994,1.411,0.0397234,0.2792037,0.08034559,0.6440828,0.707635,0.2389317,1.409028,-0.02853147,0.07714654,-0.5487906,-0.1249243,0.822965,0.2068304,1.155048,-0.09862756,0.03876333,-0.4883329,-0.04810904,0.8704678,0.1934156,0.865008,-0.1320842,0.06879254,-0.4784783,0.1033113,0.869283
0,0,0,0,6.657903E-08,0,0,1,-0.03899035,0.948212,-0.01533143,0.07761572,0.149588,-0.01919171,0.9855105,-0.1176161,0.9494152,0.009200867,0.006000652,0.7621195,-0.005884634,0.647382,-0.1249814,0.5101554,0.009728284,0.07897657,0.8077087,0.05234626,0.5819187,-0.1549366,0.07772774,-0.0677793,-0.1024301,0.6929927,-0.7094929,-0.07674056,-0.1189134,0.01812904,0.06281538,-0.1013562,0.7027647,-0.699815,-0.0781535,-0.0994603,0.00537036,0.1358913,-0.1013562,0.7027647,-0.699815,-0.0781535,0.03963536,0.9470088,-0.03986374,-0.03362896,-0.5915003,0.1333534,0.7944893,0.1152482,0.5243056,0.05291811,0.07053087,-0.6638868,-0.004435744,0.7444864,0.1542065,0.08842856,0.004011993,-0.04821031,0.7001018,-0.7114829,-0.03640808,0.1712811,0.02735923,0.1377419,-0.04816306,0.7010232,-0.710575,-0.03647053,0.1805279,0.01568887,0.2129722,-0.04816306,0.7010232,-0.710575,-0.03647053,-0.0454425,1.039759,-0.04049933,0.1532797,-0.09693754,0.9820741,0.051369,-0.03535663,1.115119,-0.02701286,0.1567564,-0.1161479,0.9772215,0.08351891,-0.01994003,1.189178,-0.01150571,0.1600126,-0.1352208,0.9709524,0.1155986,0.01497305,1.311316,0.01790911,0.1600126,-0.1352208,0.9709524,0.1155986,-0.01172944,1.436946,0.0886927,-0.06474459,-0.1094795,0.7333755,-0.6678196,-0.1477478,1.448453,0.09883605,0.1577571,0.7704729,0.06616516,0.61409,-0.1907014,1.198564,0.02034801,0.0435082,0.7698703,-0.01280822,0.636587,-0.215047,0.9074953,0.009921502,0.02245819,0.7622643,-0.02236506,0.64649,0.07015528,1.504363,0.06440133,0.2814192,-0.1457522,0.9460259,0.06778421,0.09250705,1.605162,0.08965823,0.3978284,-0.1536954,0.9043,0.01876608,0.1202994,1.411,0.0397234,0.2792037,0.08034559,0.6440828,0.707635,0.2389317,1.409028,-0.02853147,0.07714654,-0.5487906,-0.1249243,0.822965,0.2068304,1.155048,-0.09862756,0.03876333,-0.4883329,-0.04810904,0.8704678,0.1934156,0.865008,-0.1320842,0.06879254,-0.4784783,0.1033113,0.869283
0,0,0,0,6.657903E-08,0,0,1,-0.03899035,0.948212,-0.01533143,0.07761572,0.149588,-0.01919171,0.9855105,-0.1176161,0.9494152,0.009200867,0.006000652,0.7621195,-0.005884634,0.647382,-0.1249814,0.5101554,0.009728284,0.07897657,0.8077087,0.05234626,0.5819187,-0.1549366,0.07772774,-0.0677793,-0.1024301,0.6929927,-0.7094929,-0.07674056,-0.1189134,0.01812904,0.06281538,-0.1013562,0.7027647,-0.699815,-0.0781535,-0.0994603,0.00537036,0.1358913,-0.1013562,0.7027647,-0.699815,-0.0781535,0.03963536,0.9470088,-0.03986374,-0.03362896,-0.5915003,0.1333534,0.7944893,0.1152482,0.5243056,0.05291811,0.07053087,-0.6638868,-0.004435744,0.7444864,0.1542065,0.08842856,0.004011993,-0.04821031,0.7001018,-0.7114829,-0.03640808,0.1712811,0.02735923,0.1377419,-0.04816306,0.7010232,-0.710575,-0.03647053,0.1805279,0.01568887,0.2129722,-0.04816306,0.7010232,-0.710575,-0.03647053,-0.0454425,1.039759,-0.04049933,0.1532797,-0.09693754,0.9820741,0.051369,-0.03535663,1.115119,-0.02701286,0.1567564,-0.1161479,0.9772215,0.08351891,-0.01994003,1.189178,-0.01150571,0.1600126,-0.1352208,0.9709524,0.1155986,0.01497305,1.311316,0.01790911,0.1600126,-0.1352208,0.9709524,0.1155986,-0.01172944,1.436946,0.0886927,-0.06474459,-0.1094795,0.7333755,-0.6678196,-0.1477478,1.448453,0.09883605,0.1577571,0.7704729,0.06616516,0.61409,-0.1907014,1.198564,0.02034801,0.0435082,0.7698703,-0.01280822,0.636587,-0.215047,0.9074953,0.009921502,0.02245819,0.7622643,-0.02236506,0.64649,0.07015528,1.504363,0.06440133,0.2814192,-0.1457522,0.9460259,0.06778421,0.09250705,1.605162,0.08965823,0.3978284,-0.1536954,0.9043,0.01876608,0.1202994,1.411,0.0397234,0.2792037,0.08034559,0.6440828,0.707635,0.2389317,1.409028,-0.02853147,0.07714654,-0.5487906,-0.1249243,0.822965,0.2068304,1.155048,-0.09862756,0.03876333,-0.4883329,-0.04810904,0.8704678,0.1934156,0.865008,-0.1320842,0.06879254,-0.4784783,0.1033113,0.869283
10.00977,0,0,0,6.657903E-08,0,0,1,-0.03981175,0.9481404,-0.01666049,0.07937065,0.1484389,-0.0190224,0.9855478,-0.1184949,0.949288,0.007689472,0.004329896,0.7603042,-0.006715079,0.649518,-0.1252196,0.5100222,0.009704505,0.07938444,0.8066212,0.05312369,0.5832995,-0.1549266,0.07772327,-0.06861294,-0.1030577,0.6931694,-0.7092205,-0.07682305,-0.1187282,0.01805668,0.06190224,-0.1020026,0.7027572,-0.6997212,-0.07821846,-0.09919061,0.005298418,0.1349557,-0.1020026,0.7027572,-0.6997212,-0.07821846,0.03887145,0.9469928,-0.04101047,-0.03420481,-0.5928291,0.1351978,0.7931616,0.1152749,0.5247591,0.0532499,0.07143342,-0.6613865,-0.004947382,0.7466196,0.1542583,0.08899957,0.00332553,-0.05190654,0.7001432,-0.711017,-0.03949894,0.1726648,0.02785234,0.1368429,-0.0518554,0.7010629,-0.7101103,-0.03956608,0.1826442,0.01613805,0.2119727,-0.0518554,0.7010629,-0.7101103,-0.03956608,-0.04617088,1.039776,-0.04152669,0.1525118,-0.09938084,0.9819213,0.05190614,-0.03595871,1.115054,-0.02767855,0.15636,-0.1192709,0.9768018,0.08476125,-0.02029181,1.188967,-0.01173269,0.1599763,-0.1390092,0.9701903,0.1175363,0.01524533,1.310716,0.018534,0.1599763,-0.1390092,0.9701903,0.1175363,-0.01082237,1.435989,0.09018284,-0.06687296,-0.1114851,0.7334496,-0.6671964,-0.1468296,1.447602,0.1003534,0.1602548,0.7697427,0.06800687,0.6141576,-0.1901399,1.198266,0.02031848,0.04614687,0.7685667,-0.01277813,0.6379753,-0.2156371,0.907335,0.008849414,0.02541715,0.7610937,-0.02219171,0.647764,0.07141394,1.503149,0.0663727,0.281701,-0.1471907,0.9457023,0.0680217,0.09390368,1.603851,0.09189051,0.3983735,-0.1527323,0.9042528,0.01728712,0.1210805,1.409701,0.04105597,0.2814485,0.07763511,0.6436687,0.7074252,0.239755,1.407928,-0.02713089,0.0793729,-0.5481821,-0.1285643,0.8225982,0.2067115,1.154623,-0.09920304,0.03924529,-0.4862937,-0.04984017,0.8714897,0.1924769,0.8647039,-0.1333631,0.06944685,-0.475504,0.1050624,0.8706524
19.77539,0,0,0,6.657903E-08,0,0,1,-0.04065692,0.9480157,-0.01817639,0.08167853,0.1466705,-0.01882033,0.9856278,-0.1194274,0.9490981,0.0058929,0.002356062,0.7584891,-0.007836686,0.6516343,-0.1254843,0.509835,0.009766781,0.08000149,0.8055918,0.05413489,0.5845435,-0.1549791,0.07771791,-0.06962651,-0.1037822,0.6934086,-0.7088785,-0.07684562,-0.1185861,0.01796275,0.06079408,-0.1027531,0.7027571,-0.6996117,-0.07821636,-0.09895708,0.005205256,0.1338231,-0.1027531,0.7027571,-0.6996117,-0.07821636,0.03811351,0.9469333,-0.04224569,-0.03496887,-0.5942073,0.1369431,0.7917963,0.1151287,0.5251634,0.05358011,0.07242443,-0.6582053,-0.005611482,0.7493258,0.1540356,0.08953631,0.002455269,-0.05525962,0.6997249,-0.710875,-0.04459251,0.1738826,0.02842895,0.1357844,-0.0552016,0.7006468,-0.7099663,-0.04466413,0.1847295,0.01673743,0.2107975,-0.0552016,0.7006468,-0.7099663,-0.04466413,-0.04687476,1.039767,-0.04265012,0.1512727,-0.1022627,0.9817885,0.05244307,-0.03653393,1.114946,-0.02836967,0.1556411,-0.1227168,0.9763781,0.08603603,-0.02061076,1.188697,-0.01193323,0.1597669,-0.1430034,0.9693995,0.1195386,0.01556714,1.310028,0.01923753,0.1597669,-0.1430034,0.9693995,0.1195386,-0.009862818,1.434915,0.0917832,-0.06910498,-0.1134878,0.7334694,-0.6666093,-0.1458618,1.446619,0.1019599,0.1627751,0.7689949,0.06998207,0.6142098,-0.1894914,1.19786,0.02031948,0.04904002,0.7671933,-0.01271778,0.6394122,-0.2162371,0.9070897,0.00769297,0.02868136,0.7598341,-0.02206429,0.6491095,0.07274851,1.501801,0.06850518,0.2818915,-0.1486582,0.9453958,0.06830228,0.09538409,1.602403,0.09428871,0.3989002,-0.1516152,0.9042351,0.0158264,0.1219233,1.408273,0.04253428,0.2837123,0.07472064,0.6432852,0.7071834,0.2406592,1.406714,-0.02555085,0.08175555,-0.5475703,-0.1322422,0.822189,0.2067051,1.154122,-0.09967299,0.03955425,-0.4840758,-0.05176632,0.8725976,0.1914924,0.8643324,-0.1344965,0.06872229,-0.4748782,0.1101452,0.870423
29.78516,0,0,0,6.657903E-08,0,0,1,-0.04149573,0.9478077,-0.01968135,0.08344358,0.1447725,-0.01868622,0.9857631,-0.1203581,0.9488522,0.004086604,4.580934E-06,0.756597,-0.009208551,0.6538166,-0.1256511,0.5096048,0.0102058,0.08080916,0.804617,0.05532657,0.5856622,-0.1549821,0.07771654,-0.07048271,-0.1044305,0.6935427,-0.708639,-0.07696466,-0.1184042,0.01790785,0.05986155,-0.1034157,0.7027449,-0.6995143,-0.07832295,-0.09868507,0.005150598,0.1328664,-0.1034157,0.7027449,-0.6995143,-0.07832295,0.03736665,0.9467633,-0.04344932,-0.03592927,-0.5956334,0.1385927,0.7903937,0.1148122,0.5254525,0.0540353,0.07335185,-0.6544396,-0.006491601,0.75252,0.1534136,0.08995444,0.001597286,-0.05880264,0.6987739,-0.7111691,-0.04995989,0.1747848,0.0290666,0.1347912,-0.05873751,0.6996998,-0.7102582,-0.05003644,0.1865467,0.01749858,0.2096855,-0.05873751,0.6996998,-0.7102582,-0.05003644,-0.04756818,1.039646,-0.04386445,0.1498786,-0.1048435,0.9816977,0.05304611,-0.03709894,1.114733,-0.02919682,0.1547408,-0.1261028,0.9759709,0.08737472,-0.02091555,1.188317,-0.01227776,0.1593478,-0.1471769,0.968587,0.1216007,0.01591568,1.309203,0.01984425,0.1593478,-0.1471769,0.968587,0.1216007,-0.008880503,1.43368,0.093309,-0.07158397,-0.1155182,0.7334357,-0.6660358,-0.144875,1.445466,0.1034512,0.1654032,0.7681682,0.07204571,0.6143035,-0.1888285,1.19732,0.02013484,0.05209963,0.7658066,-0.01270287,0.6408312,-0.2169091,0.9067301,0.006304575,0.0321547,0.7584932,-0.02192764,0.6505176,0.07412971,1.500272,0.07061542,0.2819825,-0.1501656,0.9451082,0.06860789,0.09691576,1.600769,0.09667309,0.3994265,-0.1503901,0.9042322,0.01435215,0.1228015,1.406666,0.04398372,0.2859586,0.07157621,0.6429083,0.7069468,0.241623,1.405326,-0.02395661,0.08430096,-0.54699,-0.1359756,0.8217094,0.206788,1.15349,-0.1002115,0.03972511,-0.4816526,-0.05399055,0.8737953,0.190395,0.8638449,-0.1357029,0.06694677,-0.4763688,0.119008,0.8685785
39.79492,0,0,0,6.657903E-08,0,0,1,-0.04238812,0.9478735,-0.02136238,0.08538756,0.1425042,-0.01865253,0.9859278,-0.1213581,0.9488986,0.002046583,-0.002760873,0.7543683,-0.01076317,0.6563574,-0.1257351,0.5096852,0.01077299,0.08075123,0.8028418,0.05480599,0.5881503,-0.1550484,0.07773913,-0.06961162,-0.1049714,0.6935005,-0.7086209,-0.07677779,-0.118342,0.01795643,0.06070843,-0.1039521,0.7027633,-0.6994355,-0.07815211,-0.09857218,0.005199713,0.1336997,-0.1039521,0.7027633,-0.6994355,-0.07815211,0.03658183,0.9468485,-0.04477136,-0.03718374,-0.5969529,0.1403219,0.7890339,0.114361,0.5260421,0.05460767,0.0742473,-0.6502253,-0.007600198,0.7560666,0.1524435,0.0906744,0.0007267603,-0.06278265,0.6978328,-0.7113564,-0.05531685,0.1754571,0.02998785,0.1337387,-0.06271039,0.6987616,-0.710444,-0.05539886,0.188186,0.01853267,0.2084921,-0.06271039,0.6987616,-0.710444,-0.05539886,-0.04827027,1.039806,-0.04523022,0.1481583,-0.1076014,0.9816219,0.05375691,-0.03765864,1.114791,-0.03014789,0.1535585,-0.1296633,0.9755598,0.08882833,-0.02120038,1.188195,-0.01271891,0.1586911,-0.1515205,0.9677481,0.1237838,0.01630975,1.308603,0.02039759,0.1586911,-0.1515205,0.9677481,0.1237838,-0.007844411,1.43265,0.09479761,-0.07421714,-0.1175635,0.7333028,-0.6655357,-0.1438392,1.444488,0.1048763,0.1681117,0.767261,0.07414938,0.6144519,-0.1881243,1.196985,0.01984126,0.05529821,0.7644134,-0.01262374,0.6422268,-0.2175723,0.9065944,0.004721991,0.03567855,0.7571205,-0.02179738,0.6519362,0.07559684,1.498917,0.07274065,0.2819748,-0.1517311,0.9448374,0.06892342,0.09853588,1.599304,0.09908531,0.3999762,-0.1490993,0.9042265,0.01277189,0.1237439,1.40523,0.04544657,0.2881841,0.0683454,0.642579,0.7066622,0.242663,1.404124,-0.02232719,0.08692621,-0.5464739,-0.1397744,0.8211417,0.2069515,1.153082,-0.1007658,0.03985737,-0.4790518,-0.05656962,0.8750551,0.1891762,0.8636104,-0.1369942,0.06604967,-0.4761346,0.1252525,0.8678973
50.04883,0,0,0,6.657903E-08,0,0,1,-0.04328193,0.9474656,-0.02294206,0.08757126,0.1398555,-0.01891375,0.9861105,-0.1223735,0.9485206,5.138071E-05,-0.004319319,0.7531086,-0.01163156,0.6577791,-0.1262377,0.509334,0.01024469,0.08244944,0.8011422,0.05658846,0.5900601,-0.1556108,0.07780648,-0.07233692,-0.1055657,0.6932904,-0.7088498,-0.07573917,-0.1188426,0.01815104,0.05802397,-0.1045254,0.70287,-0.699352,-0.07716841,-0.09908774,0.005395932,0.1310195,-0.1045254,0.70287,-0.699352,-0.07716841,0.03580961,0.9464106,-0.0459355,-0.03884754,-0.5979779,0.1423301,0.7878169,0.1139211,0.5262141,0.05573695,0.07549833,-0.6435546,-0.009879375,0.7616035,0.150709,0.09104633,-0.0006029299,-0.06704826,0.6970336,-0.7113212,-0.06058966,0.1754315,0.03049497,0.1321638,-0.06696884,0.6979644,-0.7104079,-0.06067741,0.1891533,0.0191156,0.2067529,-0.06696884,0.6979644,-0.7104079,-0.06067741,-0.0488926,1.039505,-0.04646314,0.1461243,-0.1105935,0.9815423,0.054695,-0.03810571,1.114373,-0.03093284,0.1521308,-0.1334517,0.9751242,0.09044099,-0.02135015,1.187579,-0.01296039,0.1578578,-0.1560844,0.9668651,0.126057,0.01685962,1.307472,0.02120528,0.1578578,-0.1560844,0.9668651,0.126057,-0.006644905,1.431057,0.09657502,-0.07697363,-0.1195301,0.733178,-0.6650095,-0.1426414,1.442959,0.1065532,0.1709117,0.7662535,0.07622804,0.6146821,-0.1872883,1.196126,0.01977817,0.05855108,0.763011,-0.01254385,0.6436062,-0.2181218,0.9059511,0.003344597,0.03930024,0.7556975,-0.02159613,0.6533841,0.07725252,1.496973,0.07520663,0.2818813,-0.1533645,0.9445754,0.06928001,0.1003542,1.597244,0.1018508,0.4005181,-0.1477137,0.9042351,0.01117909,0.1248564,1.40321,0.04723145,0.2903843,0.06493784,0.6422878,0.7063474,0.2438934,1.402349,-0.02033832,0.08968165,-0.5460895,-0.1436683,0.8204285,0.2073201,1.152152,-0.1010444,0.03989794,-0.4764599,-0.05949858,0.8762729,0.1879552,0.8628809,-0.138052,0.06593341,-0.4743087,0.1293674,0.8683017
60.05859,0,0,0,6.657903E-08,0,0,1,-0.0444149,0.9467394,-0.02486316,0.0900045,0.1365595,-0.01976988,0.9863366,-0.1236511,0.947927,-0.002379824,-0.007976935,0.750638,-0.01345158,0.6605288,-0.1261967,0.50882,0.01112183,0.08462442,0.7992165,0.05865812,0.5921581,-0.155778,0.07782263,-0.07411056,-0.1064038,0.6936464,-0.7084721,-0.07483625,-0.1188768,0.01807671,0.05617138,-0.1054032,0.7029701,-0.6992218,-0.07623898,-0.09909505,0.005323214,0.12916,-0.1054032,0.7029701,-0.6992218,-0.07623898,0.03482128,0.9455518,-0.04734651,-0.04104723,-0.5986729,0.144526,0.786777,0.11314,0.5260632,0.05705312,0.07642969,-0.6390119,-0.01183528,0.7652988,0.1487984,0.09105718,-0.001228529,-0.07137724,0.6964174,-0.7110466,-0.06573308,0.1752287,0.03056161,0.1312343,-0.07129104,0.6973488,-0.7101333,-0.06582651,0.1899378,0.01921377,0.2056397,-0.07129104,0.6973488,-0.7101333,-0.06582651,-0.04960319,1.038897,-0.04801458,0.1436081,-0.1138416,0.9814656,0.05605369,-0.03858193,1.113629,-0.03200215,0.1503886,-0.1375021,0.9746576,0.09229892,-0.02149505,1.186613,-0.01344844,0.15688,-0.1609163,0.9659235,0.1283999,0.01743178,1.305952,0.02183231,0.15688,-0.1609163,0.9659235,0.1283999,-0.005416736,1.429033,0.09822083,-0.07981153,-0.1214876,0.7329721,-0.6645471,-0.1414186,1.440974,0.1080786,0.1738805,0.7650911,0.07837834,0.6150271,-0.1864497,1.194861,0.01947664,0.06188803,0.7615396,-0.01243249,0.6450374,-0.2186869,0.9049194,0.001675503,0.04290146,0.7542832,-0.02123508,0.6548022,0.07895808,1.494575,0.0775961,0.2816965,-0.1551163,0.9443189,0.06962861,0.1022249,1.594721,0.1045655,0.4010105,-0.1462862,0.9042682,0.009497176,0.1260019,1.400745,0.04890791,0.2925558,0.06136486,0.6420444,0.705992,0.245177,1.400146,-0.01842093,0.09251404,-0.5458906,-0.1476171,0.819545,0.2077644,1.150833,-0.1014463,0.03996567,-0.4740896,-0.06251954,0.8773445,0.1867763,0.8617804,-0.1392684,0.06577803,-0.4726868,0.1347623,0.8683778
70.06836,0,0,0,6.657903E-08,0,0,1,-0.04569497,0.9457432,-0.02697907,0.09268941,0.132477,-0.02111556,0.9866168,-0.125103,0.9471524,-0.005123724,-0.01231903,0.7487277,-0.01578278,0.6625752,-0.1261868,0.5081826,0.01243111,0.08711917,0.7974951,0.06107263,0.5938704,-0.1560417,0.07781697,-0.07584351,-0.1072081,0.6942247,-0.7078795,-0.07392709,-0.11902,0.01789748,0.05432443,-0.1062697,0.7030734,-0.6990916,-0.07526968,-0.09921613,0.005145593,0.1273073,-0.1062697,0.7030734,-0.6990916,-0.07526968,0.0337131,0.944334,-0.04883443,-0.04386762,-0.5989117,0.1469668,0.7859905,0.1121248,0.525681,0.05879934,0.07742719,-0.6345255,-0.01421018,0.7688828,0.1463919,0.09086412,-0.001686494,-0.07582956,0.6959469,-0.7105803,-0.07059399,0.1745297,0.03036623,0.1304231,-0.07573685,0.696878,-0.7096673,-0.07069331,0.190214,0.01901713,0.204629,-0.07573685,0.696878,-0.7096673,-0.07069331,-0.05032056,1.038029,-0.0497347,0.1405103,-0.1173222,0.9814028,0.05780233,-0.03901375,1.112607,-0.03320695,0.1482719,-0.1417651,0.9741653,0.09444609,-0.02155818,1.185345,-0.01404133,0.1557361,-0.1659397,0.9649184,0.1309304,0.01812778,1.304084,0.02239684,0.1557361,-0.1659397,0.9649184,0.1309304,-0.004032146,1.426638,0.09983005,-0.08290435,-0.1234324,0.7327808,-0.6640207,-0.1400407,1.43864,0.1095209,0.1770779,0.7637328,0.0805194,0.615526,-0.1855224,1.193303,0.01901659,0.06524295,0.7599869,-0.01232008,0.646538,-0.2191622,0.9036087,-0.0001679573,0.04648722,0.7528706,-0.02072095,0.6561977,0.08085392,1.49176,0.07999001,0.281405,-0.1569351,0.944077,0.07001094,0.104293,1.591774,0.1072978,0.4014402,-0.1447888,0.9043355,0.007689914,0.127301,1.397858,0.05057344,0.2947015,0.05764053,0.6418554,0.7055851,0.2466325,1.397537,-0.01647974,0.09551469,-0.5459296,-0.1516251,0.8184423,0.2084365,1.149161,-0.1019192,0.0400334,-0.4722273,-0.0655382,0.8781251,0.1858456,0.8603373,-0.1405594,0.06570531,-0.4712467,0.1412077,0.8681418
