Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.02342808,0.831582,-0.1327207,0.326493,-0.08740743,0.05626889,0.9394659,-0.05716448,0.8275746,-0.1492756,0.1071388,0.6902944,0.2668707,0.663924,0.03353323,0.4609153,-0.3736384,0.2652751,0.7030908,0.3461823,0.5616498,0.03988946,0.1879727,-0.7191241,-0.1618015,0.9842211,-0.008403683,0.07112511,0.09137298,0.06165497,-0.7765515,-0.1319077,0.9334642,-0.3120999,0.1176387,0.1082978,-0.003644368,-0.7400706,-0.1319077,0.9334642,-0.3120999,0.1176387,0.1040206,0.8355893,-0.1161658,-0.2903409,-0.6761255,0.2212773,0.6399944,0.05596697,0.513357,0.1785559,0.06596011,-0.70424,-0.1023769,0.6994389,0.0344492,0.08604717,0.07443136,0.03281865,0.7025654,-0.6990617,-0.1289886,0.03800921,0.02160046,0.2076177,0.04657077,0.7042451,-0.6989163,-0.1157003,0.04236707,0.00775548,0.2829214,0.04657077,0.7042451,-0.6989163,-0.1157003,0.01450077,0.9239452,-0.1116206,-0.04355923,-0.3827128,0.9206321,-0.06379862,0.00285523,0.9779155,-0.05763527,0.0007740012,-0.4371246,0.8965928,-0.07101668,-0.006926088,1.024846,0.002901229,0.04499072,-0.488979,0.8676515,-0.07782336,-0.01879759,1.091305,0.1144542,0.04499072,-0.488979,0.8676515,-0.07782336,-0.09774986,1.126574,0.2328984,-0.1955077,-0.1388833,0.8321559,-0.5000052,-0.2190903,1.189733,0.2377762,0.2464755,0.6787991,-0.0979834,0.6847491,-0.3435214,0.9616542,0.1834909,-0.3677858,0.6707685,-0.2835017,0.5782995,-0.2951502,0.7954331,0.4189759,-0.5267652,0.5706049,-0.4475659,0.4434118,-0.03756192,1.196347,0.2907719,0.01588558,-0.4027553,0.9120938,-0.07497451,-0.05073894,1.266961,0.3691177,-0.01338262,-0.3123974,0.9471735,-0.07135602,0.04312426,1.152212,0.232617,0.3398272,-0.2070651,0.6746374,0.6216964,0.1772084,1.171544,0.2130225,0.6417874,-0.4039331,-0.4105152,0.506384,0.2044727,1.214231,-0.04752359,0.3404352,-0.4724749,-0.3973544,0.7092118,0.1337652,1.082,-0.2983977,0.3025686,-0.5762588,-0.101434,0.7523894
0,0,0,0,6.657903E-08,0,0,1,0.02342808,0.831582,-0.1327207,0.326493,-0.08740743,0.05626889,0.9394659,-0.05716448,0.8275746,-0.1492756,0.1071388,0.6902944,0.2668707,0.663924,0.03353323,0.4609153,-0.3736384,0.2652751,0.7030908,0.3461823,0.5616498,0.03988946,0.1879727,-0.7191241,-0.1618015,0.9842211,-0.008403683,0.07112511,0.09137298,0.06165497,-0.7765515,-0.1319077,0.9334642,-0.3120999,0.1176387,0.1082978,-0.003644368,-0.7400706,-0.1319077,0.9334642,-0.3120999,0.1176387,0.1040206,0.8355893,-0.1161658,-0.2903409,-0.6761255,0.2212773,0.6399944,0.05596697,0.513357,0.1785559,0.06596011,-0.70424,-0.1023769,0.6994389,0.0344492,0.08604717,0.07443136,0.03281865,0.7025654,-0.6990617,-0.1289886,0.03800921,0.02160046,0.2076177,0.04657077,0.7042451,-0.6989163,-0.1157003,0.04236707,0.00775548,0.2829214,0.04657077,0.7042451,-0.6989163,-0.1157003,0.01450077,0.9239452,-0.1116206,-0.04355923,-0.3827128,0.9206321,-0.06379862,0.00285523,0.9779155,-0.05763527,0.0007740012,-0.4371246,0.8965928,-0.07101668,-0.006926088,1.024846,0.002901229,0.04499072,-0.488979,0.8676515,-0.07782336,-0.01879759,1.091305,0.1144542,0.04499072,-0.488979,0.8676515,-0.07782336,-0.09774986,1.126574,0.2328984,-0.1955077,-0.1388833,0.8321559,-0.5000052,-0.2190903,1.189733,0.2377762,0.2464755,0.6787991,-0.0979834,0.6847491,-0.3435214,0.9616542,0.1834909,-0.3677858,0.6707685,-0.2835017,0.5782995,-0.2951502,0.7954331,0.4189759,-0.5267652,0.5706049,-0.4475659,0.4434118,-0.03756192,1.196347,0.2907719,0.01588558,-0.4027553,0.9120938,-0.07497451,-0.05073894,1.266961,0.3691177,-0.01338262,-0.3123974,0.9471735,-0.07135602,0.04312426,1.152212,0.232617,0.3398272,-0.2070651,0.6746374,0.6216964,0.1772084,1.171544,0.2130225,0.6417874,-0.4039331,-0.4105152,0.506384,0.2044727,1.214231,-0.04752359,0.3404352,-0.4724749,-0.3973544,0.7092118,0.1337652,1.082,-0.2983977,0.3025686,-0.5762588,-0.101434,0.7523894
0,0,0,0,6.657903E-08,0,0,1,0.02342808,0.831582,-0.1327207,0.326493,-0.08740743,0.05626889,0.9394659,-0.05716448,0.8275746,-0.1492756,0.1071388,0.6902944,0.2668707,0.663924,0.03353323,0.4609153,-0.3736384,0.2652751,0.7030908,0.3461823,0.5616498,0.03988946,0.1879727,-0.7191241,-0.1618015,0.9842211,-0.008403683,0.07112511,0.09137298,0.06165497,-0.7765515,-0.1319077,0.9334642,-0.3120999,0.1176387,0.1082978,-0.003644368,-0.7400706,-0.1319077,0.9334642,-0.3120999,0.1176387,0.1040206,0.8355893,-0.1161658,-0.2903409,-0.6761255,0.2212773,0.6399944,0.05596697,0.513357,0.1785559,0.06596011,-0.70424,-0.1023769,0.6994389,0.0344492,0.08604717,0.07443136,0.03281865,0.7025654,-0.6990617,-0.1289886,0.03800921,0.02160046,0.2076177,0.04657077,0.7042451,-0.6989163,-0.1157003,0.04236707,0.00775548,0.2829214,0.04657077,0.7042451,-0.6989163,-0.1157003,0.01450077,0.9239452,-0.1116206,-0.04355923,-0.3827128,0.9206321,-0.06379862,0.00285523,0.9779155,-0.05763527,0.0007740012,-0.4371246,0.8965928,-0.07101668,-0.006926088,1.024846,0.002901229,0.04499072,-0.488979,0.8676515,-0.07782336,-0.01879759,1.091305,0.1144542,0.04499072,-0.488979,0.8676515,-0.07782336,-0.09774986,1.126574,0.2328984,-0.1955077,-0.1388833,0.8321559,-0.5000052,-0.2190903,1.189733,0.2377762,0.2464755,0.6787991,-0.0979834,0.6847491,-0.3435214,0.9616542,0.1834909,-0.3677858,0.6707685,-0.2835017,0.5782995,-0.2951502,0.7954331,0.4189759,-0.5267652,0.5706049,-0.4475659,0.4434118,-0.03756192,1.196347,0.2907719,0.01588558,-0.4027553,0.9120938,-0.07497451,-0.05073894,1.266961,0.3691177,-0.01338262,-0.3123974,0.9471735,-0.07135602,0.04312426,1.152212,0.232617,0.3398272,-0.2070651,0.6746374,0.6216964,0.1772084,1.171544,0.2130225,0.6417874,-0.4039331,-0.4105152,0.506384,0.2044727,1.214231,-0.04752359,0.3404352,-0.4724749,-0.3973544,0.7092118,0.1337652,1.082,-0.2983977,0.3025686,-0.5762588,-0.101434,0.7523894
9.887695,0,0,0,6.657903E-08,0,0,1,0.02274855,0.8485081,-0.131399,0.3200193,-0.07931449,0.04564878,0.942981,-0.0582446,0.8455981,-0.1461274,0.1062618,0.6956319,0.2507152,0.6647907,0.02325328,0.4714274,-0.3614365,0.2734885,0.6974918,0.3818709,0.5411877,0.03664977,0.2252342,-0.7262761,-0.1789618,0.9811005,-0.004838103,0.07342448,0.09276188,0.1011215,-0.7841737,-0.185568,0.9763888,0.09615933,0.05461644,0.1218646,0.03476505,-0.809296,-0.185568,0.9763888,0.09615933,0.05461644,0.1037417,0.8514181,-0.1166707,-0.2852367,-0.6719209,0.1963072,0.6546954,0.04826843,0.5174426,0.1633059,0.05114445,-0.7011603,-0.1039584,0.7035277,0.01607363,0.0888785,0.06741664,0.05487286,0.7015705,-0.6934496,-0.1546471,0.01588937,0.02398464,0.2004333,0.07278283,0.7034514,-0.6935005,-0.1375358,0.01881195,0.00970205,0.2757246,0.07278283,0.7034514,-0.6935005,-0.1375358,0.01577372,0.9412781,-0.1113748,-0.04027405,-0.381025,0.9220746,-0.05455739,0.005634621,0.9956164,-0.05745468,-0.0007718806,-0.4401717,0.8956864,-0.06320076,-0.00316032,1.042296,0.003426154,0.03862406,-0.4965972,0.8641725,-0.07145302,-0.0142607,1.107045,0.1160589,0.03862406,-0.4965972,0.8641725,-0.07145302,-0.09299774,1.141667,0.2348369,-0.2077263,-0.1437786,0.8291612,-0.4986676,-0.2143675,1.204812,0.2391155,0.2616578,0.6836694,-0.0750363,0.6771269,-0.3363011,0.9787214,0.1722955,-0.3305276,0.6789826,-0.2568013,0.6031478,-0.2956559,0.7888588,0.3907506,-0.4930108,0.5997893,-0.4165911,0.4729112,-0.03180623,1.209385,0.2940833,0.01128616,-0.4096642,0.9092931,-0.07234766,-0.0448081,1.278887,0.3734453,-0.0161684,-0.3184948,0.9450102,-0.07249413,0.04830112,1.164843,0.2354397,0.3457893,-0.2147197,0.6700877,0.6207318,0.1824966,1.183619,0.2160681,0.6221563,-0.4226586,-0.4123195,0.5140764,0.2095672,1.213923,-0.04622689,0.3261334,-0.4649428,-0.3882108,0.7257811,0.1335044,1.071921,-0.2900962,0.3054788,-0.5347378,-0.09102475,0.7825936
19.89746,0,0,0,6.657903E-08,0,0,1,0.02031737,0.8623791,-0.1304872,0.3114065,-0.07228182,0.03649505,0.9468207,-0.06097529,0.8603947,-0.1436344,0.1021022,0.7017088,0.2305558,0.6663513,0.01106062,0.4769377,-0.3455632,0.2943085,0.6825379,0.4156577,0.5241691,0.02541975,0.264872,-0.731206,-0.177555,0.9794296,-0.007943237,0.09554546,0.08377466,0.140736,-0.7867905,-0.1864567,0.9750327,0.09304101,0.07673746,0.1138175,0.0743659,-0.8107427,-0.1864567,0.9750327,0.09304101,0.07673746,0.10161,0.8643636,-0.1173401,-0.271565,-0.6606923,0.1876952,0.6741726,0.05514564,0.5207937,0.1524832,0.04524656,-0.6911933,-0.1115674,0.7125711,0.01330759,0.09316307,0.05615027,0.05786884,0.7061598,-0.6825218,-0.1793154,0.01406091,0.02515159,0.1875981,0.07839002,0.7084171,-0.6828607,-0.1603179,0.01795201,0.008952165,0.2624564,0.07839002,0.7084171,-0.6828607,-0.1603179,0.01505379,0.9555822,-0.1120108,-0.03761631,-0.3784883,0.9237042,-0.04584991,0.00631427,1.010353,-0.05828377,-0.00248867,-0.4435833,0.8945423,-0.05497191,-0.001450686,1.056717,0.002976946,0.0325365,-0.5056322,0.859778,-0.06371287,-0.01144544,1.119377,0.1168873,0.0325365,-0.5056322,0.859778,-0.06371287,-0.08965936,1.153118,0.2362631,-0.2207534,-0.1501967,0.8253164,-0.4975557,-0.2111537,1.21605,0.2401294,0.2778035,0.6878402,-0.05071954,0.6686767,-0.3305938,0.9929592,0.1600391,-0.2823654,0.6872835,-0.2295696,0.6286566,-0.3015158,0.7781001,0.3560299,-0.4479152,0.6318238,-0.3800062,0.5057334,-0.02724341,1.218416,0.296931,0.006431042,-0.4172479,0.9061932,-0.06838742,-0.03984713,1.286704,0.3774038,-0.01974298,-0.3244118,0.9429397,-0.07233226,0.05206314,1.173517,0.2374776,0.353328,-0.2242707,0.664864,0.6187229,0.1863723,1.191827,0.2184505,0.6004397,-0.4443366,-0.4123586,0.5215341,0.213837,1.208053,-0.04504933,0.3108197,-0.4596803,-0.3771969,0.7414904,0.1338651,1.055421,-0.2811223,0.3043448,-0.4926113,-0.08515656,0.8108374
29.90723,0,0,0,6.657903E-08,0,0,1,0.01839326,0.8742707,-0.1297792,0.3058736,-0.06572322,0.03032701,0.9493167,-0.06311642,0.8728396,-0.1415863,0.09610958,0.7063277,0.2069754,0.6700936,-0.0009012427,0.4792738,-0.326624,0.3269753,0.6553171,0.4400123,0.5196497,0.01114632,0.3034488,-0.730157,-0.1594933,0.9796489,-0.002003068,0.121844,0.06804576,0.1787187,-0.7859201,-0.1713499,0.9744973,0.1003551,0.1045145,0.0970475,0.1120177,-0.8102338,-0.1713499,0.9744973,0.1003551,0.1045145,0.09990294,0.8757019,-0.1179722,-0.2555735,-0.6514452,0.1775303,0.6919425,0.06154887,0.5214634,0.1390255,0.05345126,-0.6641093,-0.1301745,0.7342727,0.009261695,0.09850424,0.02825489,0.04341932,0.7153666,-0.6677966,-0.2010301,0.01496323,0.02511231,0.1566518,0.06482439,0.7182059,-0.668433,-0.1821413,0.02188829,0.005744784,0.2305319,0.06482439,0.7182059,-0.668433,-0.1821413,0.01422172,0.9677231,-0.1123107,-0.03447129,-0.3781536,0.9242755,-0.03907011,0.006631545,1.022622,-0.05853967,-0.002760122,-0.4483009,0.8926102,-0.04760174,-0.0001216177,1.068453,0.003239923,0.02884477,-0.5150505,0.8548574,-0.05576831,-0.008679451,1.128854,0.1184799,0.02884477,-0.5150505,0.8548574,-0.05576831,-0.0859329,1.161413,0.2388054,-0.2342349,-0.1578577,0.8209102,-0.4963083,-0.2075923,1.224039,0.2424558,0.293558,0.6920338,-0.02567786,0.6589796,-0.3244174,1.004711,0.1491978,-0.2251656,0.6949469,-0.2003139,0.6528583,-0.3093936,0.7655305,0.3164984,-0.3934777,0.662066,-0.3384735,0.5406293,-0.0222063,1.224321,0.3006254,0.002749417,-0.4238975,0.9034825,-0.06342775,-0.0341407,1.291559,0.3820785,-0.02337734,-0.3279067,0.9417963,-0.07036328,0.05612639,1.179321,0.2399695,0.3624095,-0.2354546,0.6588258,0.6157674,0.1905469,1.197222,0.2213439,0.5764613,-0.4663105,-0.4119728,0.5296469,0.2174124,1.198299,-0.04271455,0.2956221,-0.4568776,-0.3637071,0.7560347,0.1356273,1.034437,-0.2704932,0.2987309,-0.4529558,-0.08286149,0.835898
40.03906,0,0,0,6.657903E-08,0,0,1,0.01662279,0.8866712,-0.1291283,0.3020827,-0.06096936,0.02673045,0.9509544,-0.06501992,0.8855178,-0.1400104,0.09074655,0.7054588,0.1802929,0.6794023,-0.01364241,0.4819922,-0.3059357,0.3633126,0.621663,0.4548656,0.5240578,-0.003243102,0.3399963,-0.722622,-0.1346017,0.9812841,0.01692984,0.1366655,0.04941566,0.2156064,-0.7831103,-0.1485187,0.9737722,0.1223635,0.1213971,0.07608947,0.1490905,-0.8104132,-0.1485187,0.9737722,0.1223635,0.1213971,0.0982655,0.8878247,-0.1182462,-0.2376207,-0.6453344,0.1663457,0.7066888,0.06681867,0.5224271,0.1236204,0.06872267,-0.6408743,-0.1423465,0.7511958,0.01206005,0.1040421,-0.002292351,0.01872165,0.7286212,-0.6502874,-0.2142126,0.02434972,0.02396308,0.1215665,0.03920277,0.7320486,-0.6509108,-0.1971889,0.03508358,0.0006835799,0.1938449,0.03920277,0.7320486,-0.6509108,-0.1971889,0.01306573,0.9802783,-0.1123662,-0.03249136,-0.3785606,0.9243978,-0.03354451,0.00637725,1.035192,-0.05849021,-0.003555721,-0.4527759,0.8907126,-0.04015834,0.000604419,1.080501,0.003771807,0.02527715,-0.5232758,0.8505216,-0.04644248,-0.006246857,1.138923,0.1201404,0.02527715,-0.5232758,0.8505216,-0.04644248,-0.08230402,1.170764,0.2414164,-0.2476054,-0.1662675,0.8160751,-0.4950441,-0.2041719,1.232986,0.2450057,0.3080689,0.6954685,-0.0007791354,0.6491663,-0.3181753,1.017943,0.1391309,-0.1609329,0.7011838,-0.1679435,0.6739713,-0.3183772,0.7572979,0.2713675,-0.3310621,0.687803,-0.2935492,0.57546,-0.01707634,1.231263,0.3040698,-0.0006756427,-0.4290113,0.9014861,-0.05719974,-0.02809966,1.297733,0.3862777,-0.02662022,-0.3294819,0.9413874,-0.06725509,0.0600835,1.185864,0.2422192,0.3725508,-0.2465818,0.6518445,0.6127825,0.194583,1.203301,0.2237241,0.5480253,-0.4885439,-0.4132448,0.5387228,0.218529,1.187961,-0.04017176,0.2817878,-0.4557943,-0.3475205,0.7694657,0.1372959,1.012701,-0.259506,0.2895008,-0.4177516,-0.08084177,0.8574021
50.04883,0,0,0,6.657903E-08,0,0,1,0.01566044,0.896699,-0.1282093,0.2994002,-0.05856729,0.02457106,0.9520114,-0.06604782,0.8957341,-0.138607,0.08699258,0.6975586,0.1514983,0.6949048,-0.02686501,0.4832279,-0.2845763,0.3945192,0.5903935,0.4659103,0.5279373,-0.01600284,0.3710482,-0.7102478,-0.1102704,0.98379,0.04339307,0.134592,0.03075363,0.2483459,-0.7785313,-0.1245818,0.9728273,0.1527508,0.1214658,0.0544208,0.1827838,-0.8105118,-0.1245818,0.9728273,0.1527508,0.1214658,0.09736871,0.8976638,-0.1178117,-0.218062,-0.6423047,0.1533587,0.7185923,0.07113243,0.5207871,0.106419,0.08896487,-0.619543,-0.1517554,0.7649981,0.01805333,0.1076675,-0.03645606,-0.007050029,0.7435129,-0.6353095,-0.2086165,0.0358185,0.02184664,0.08280769,-0.005823805,0.7230759,-0.6608134,-0.2011292,0.05294099,4.325242E-05,0.1543111,-0.005823805,0.7230759,-0.6608134,-0.2011292,0.01248476,0.9904087,-0.1119524,-0.0300911,-0.3791925,0.92432,-0.03066467,0.006345181,1.045277,-0.057965,-0.001141037,-0.4565677,0.8889366,-0.03655988,0.001245562,1.090096,0.004709002,0.02767208,-0.5298769,0.8465754,-0.04213101,-0.004231632,1.146805,0.1219944,0.02767208,-0.5298769,0.8465754,-0.04213101,-0.07899422,1.177189,0.2444433,-0.2600721,-0.1748423,0.8107983,-0.4943672,-0.2011748,1.238794,0.2480544,0.3207298,0.6962561,0.02341022,0.6417258,-0.3117431,1.028268,0.1301431,-0.091581,0.7051139,-0.1314139,0.6907663,-0.3270588,0.750994,0.221286,-0.26206,0.707723,-0.2472387,0.607722,-0.01288926,1.236437,0.3073727,-0.0008358992,-0.4333066,0.8996469,-0.05366918,-0.02323037,1.302203,0.390233,-0.02933295,-0.331065,0.9409437,-0.06450494,0.06346637,1.191603,0.2441276,0.3837216,-0.2554142,0.6440363,0.6105237,0.1979397,1.208583,0.225026,0.514714,-0.5118154,-0.4154982,0.5481573,0.2168798,1.175441,-0.03763864,0.2695178,-0.4556319,-0.3286313,0.7821521,0.1384109,0.9887609,-0.2483888,0.2782032,-0.3876965,-0.0743117,0.8756555
59.93652,0,0,0,6.657903E-08,0,0,1,0.0153498,0.9016128,-0.1266533,0.2969844,-0.05905108,0.02296344,0.952778,-0.06636168,0.9008975,-0.1370458,0.08270632,0.6844645,0.1225425,0.7138989,-0.03923482,0.4807801,-0.2626213,0.4178931,0.5660252,0.4774257,0.5263513,-0.02687288,0.3949115,-0.6943299,-0.0887303,0.9865026,0.06674474,0.120354,0.01298791,0.2741576,-0.7700545,-0.1019391,0.9723531,0.1793653,0.1093918,0.03319556,0.2097137,-0.8063856,-0.1019391,0.9723531,0.1793653,0.1093918,0.09706129,0.9023281,-0.1162607,-0.1973033,-0.6411358,0.1378317,0.7287102,0.07416485,0.5139028,0.08771289,0.1096398,-0.6055477,-0.1628148,0.7712214,0.02266846,0.1074784,-0.07373612,-0.03096671,0.7547081,-0.6304094,-0.1789989,0.04445854,0.01929283,0.04311058,-0.03254803,0.7192378,-0.6730289,-0.1693219,0.06268355,-0.0001617227,0.1150181,-0.03254803,0.7192378,-0.6730289,-0.1693219,0.01251853,0.9954113,-0.1108508,-0.02930721,-0.3790209,0.9244727,-0.02888929,0.006678378,1.050316,-0.05686711,0.0009429338,-0.4585173,0.8880104,-0.03461868,0.001997442,1.094881,0.006020438,0.03101796,-0.5336654,0.8441787,-0.04002128,-0.002495981,1.150584,0.1238283,0.03101796,-0.5336654,0.8441787,-0.04002128,-0.07623108,1.17992,0.2471529,-0.2709419,-0.1827513,0.8052697,-0.4947054,-0.1988448,1.240659,0.2507468,0.3316688,0.6930544,0.04553992,0.6384336,-0.3054336,1.034731,0.1215868,-0.01886818,0.7051701,-0.08947161,0.7031174,-0.3344291,0.7473472,0.1662215,-0.1883079,0.721314,-0.2017556,0.6352488,-0.009598705,1.238627,0.3100326,-0.0003078833,-0.4369178,0.897992,-0.05209172,-0.01957139,1.30376,0.3934359,-0.03162969,-0.3343228,0.9397873,-0.06346499,0.06622289,1.194336,0.2457706,0.3963,-0.2607865,0.6358284,0.608818,0.2004898,1.211126,0.2251129,0.478731,-0.5362993,-0.4142436,0.5582138,0.2140294,1.158455,-0.03467984,0.2583592,-0.4560162,-0.3074148,0.7942269,0.140177,0.9604436,-0.2365701,0.2658451,-0.363137,-0.05855408,0.8910835
69.94629,0,0,0,6.657903E-08,0,0,1,0.01550487,0.9004688,-0.1247246,0.2948093,-0.0627422,0.02181016,0.9532446,-0.06614105,0.900091,-0.1356371,0.07473389,0.6684965,0.09479489,0.7338537,-0.04891404,0.473572,-0.2395047,0.4352428,0.5485944,0.4893281,0.5197751,-0.03583694,0.4108827,-0.6751623,-0.06822252,0.989287,0.07842303,0.1025038,-0.003458651,0.2907418,-0.7553025,-0.0796327,0.9735518,0.1924472,0.0939147,0.01294321,0.226658,-0.7941039,-0.0796327,0.9735518,0.1924472,0.0939147,0.0971508,0.9008467,-0.1138121,-0.176765,-0.6403934,0.1203038,0.7376838,0.07566532,0.5016955,0.0684526,0.1252562,-0.6073912,-0.181177,0.7632575,0.02150137,0.1040638,-0.1128038,-0.05253147,0.7566935,-0.6358798,-0.1425223,0.04694271,0.0172832,0.004356565,-0.05581574,0.7170599,-0.6817204,-0.1340424,0.06533317,-0.0002516014,0.07671425,-0.05581574,0.7170599,-0.6817204,-0.1340424,0.01301192,0.9943439,-0.1093253,-0.03062835,-0.3778971,0.9249215,-0.02785907,0.007244917,1.049389,-0.05547697,0.00204425,-0.4583659,0.8881217,-0.03371417,0.002765387,1.093985,0.007403296,0.03450762,-0.5343059,0.8436747,-0.03923653,-0.001058703,1.149526,0.1253114,0.03450762,-0.5343059,0.8436747,-0.03923653,-0.07402191,1.178526,0.2491734,-0.2797288,-0.1891328,0.7997756,-0.4963264,-0.1971748,1.238176,0.2525754,0.3417252,0.6861833,0.0642176,0.6389465,-0.2998693,1.036931,0.1132766,0.05555036,0.6993278,-0.04230899,0.7113824,-0.340171,0.7475097,0.1074717,-0.1121304,0.7284552,-0.1584423,0.6570206,-0.007103482,1.237312,0.3116739,0.0003960296,-0.4396297,0.8966627,-0.0521705,-0.01701088,1.301939,0.3954787,-0.03372075,-0.3391933,0.9379025,-0.06442095,0.0683844,1.193286,0.2468396,0.4100042,-0.2632788,0.6279656,0.606828,0.2022569,1.210381,0.2239883,0.4437336,-0.5605428,-0.4045446,0.5702948,0.2118234,1.136357,-0.03072477,0.2462718,-0.4586879,-0.2842821,0.8050712,0.1440711,0.926779,-0.2228422,0.2524029,-0.3438891,-0.03178974,0.9038929
