Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.005319282,0.8636068,-0.0929496,0.2441666,0.01802749,-0.06414379,0.9674416,-0.07632218,0.8731049,-0.08749613,-0.1330005,0.7203035,-0.3324682,0.5940862,-0.1656924,0.5464466,0.1923449,0.1360803,0.708084,0.1206604,0.6823052,-0.1786832,0.1352473,0.03535798,0.02869221,0.7625709,-0.6454875,0.03175592,-0.1892973,0.05067328,0.1563507,0.02879298,0.7641799,-0.6435664,0.03197969,-0.1955867,0.02523717,0.2284252,0.02879298,0.7641799,-0.6435664,0.03197969,0.08696074,0.8541086,-0.09840307,0.2086516,-0.6274593,-0.1299366,0.7388341,0.1176419,0.4678733,-0.3054895,0.3356085,-0.6426506,-0.2472245,0.6428432,0.1682537,0.1806274,-0.6353783,-0.02137423,0.9750668,-0.2060893,-0.07946831,0.1689475,0.03267762,-0.6392636,-0.05182093,0.8072019,-0.5845112,-0.06392719,0.1803808,-0.002997084,-0.5723464,-0.05182093,0.8072019,-0.5845112,-0.06392719,0.01664354,0.9579486,-0.08772751,0.008439618,-0.2928321,0.9555503,0.03319457,0.02192388,1.021755,-0.04455645,-0.001212875,-0.3406243,0.9401966,0.002015518,0.02215275,1.081055,0.004903505,-0.01085543,-0.3871688,0.9214841,-0.0291527,0.01405149,1.172133,0.09785973,-0.01085543,-0.3871688,0.9214841,-0.0291527,-0.0652137,1.24334,0.1986214,-0.2596454,-0.07880543,0.741161,-0.6140475,-0.1954062,1.275298,0.170964,0.6658363,0.3828586,0.222576,0.6004512,-0.2597849,1.271516,-0.08650607,0.5656036,0.4384271,0.3603814,0.5983309,-0.2786937,1.242162,-0.3766841,0.4985818,0.410732,0.5116412,0.5665148,0.00124634,1.316089,0.244784,-0.01985159,-0.3254333,0.9444731,-0.0408591,-0.008330546,1.399511,0.3099519,-0.02875733,-0.2622145,0.9631578,-0.05237924,0.07769735,1.24983,0.2047183,0.2532048,-0.1467308,0.7503912,0.5926811,0.2096214,1.284652,0.1937777,0.2401509,-0.7059194,-0.1130705,0.6566739,0.2601983,1.05663,0.06769121,-0.4764377,-0.5601158,0.2256702,0.6390231,0.1885027,0.926815,0.3195443,-0.6903278,-0.4619249,0.181813,0.5263242
0,0,0,0,6.657903E-08,0,0,1,0.005319282,0.8636068,-0.0929496,0.2441666,0.01802749,-0.06414379,0.9674416,-0.07632218,0.8731049,-0.08749613,-0.1330005,0.7203035,-0.3324682,0.5940862,-0.1656924,0.5464466,0.1923449,0.1360803,0.708084,0.1206604,0.6823052,-0.1786832,0.1352473,0.03535798,0.02869221,0.7625709,-0.6454875,0.03175592,-0.1892973,0.05067328,0.1563507,0.02879298,0.7641799,-0.6435664,0.03197969,-0.1955867,0.02523717,0.2284252,0.02879298,0.7641799,-0.6435664,0.03197969,0.08696074,0.8541086,-0.09840307,0.2086516,-0.6274593,-0.1299366,0.7388341,0.1176419,0.4678733,-0.3054895,0.3356085,-0.6426506,-0.2472245,0.6428432,0.1682537,0.1806274,-0.6353783,-0.02137423,0.9750668,-0.2060893,-0.07946831,0.1689475,0.03267762,-0.6392636,-0.05182093,0.8072019,-0.5845112,-0.06392719,0.1803808,-0.002997084,-0.5723464,-0.05182093,0.8072019,-0.5845112,-0.06392719,0.01664354,0.9579486,-0.08772751,0.008439618,-0.2928321,0.9555503,0.03319457,0.02192388,1.021755,-0.04455645,-0.001212875,-0.3406243,0.9401966,0.002015518,0.02215275,1.081055,0.004903505,-0.01085543,-0.3871688,0.9214841,-0.0291527,0.01405149,1.172133,0.09785973,-0.01085543,-0.3871688,0.9214841,-0.0291527,-0.0652137,1.24334,0.1986214,-0.2596454,-0.07880543,0.741161,-0.6140475,-0.1954062,1.275298,0.170964,0.6658363,0.3828586,0.222576,0.6004512,-0.2597849,1.271516,-0.08650607,0.5656036,0.4384271,0.3603814,0.5983309,-0.2786937,1.242162,-0.3766841,0.4985818,0.410732,0.5116412,0.5665148,0.00124634,1.316089,0.244784,-0.01985159,-0.3254333,0.9444731,-0.0408591,-0.008330546,1.399511,0.3099519,-0.02875733,-0.2622145,0.9631578,-0.05237924,0.07769735,1.24983,0.2047183,0.2532048,-0.1467308,0.7503912,0.5926811,0.2096214,1.284652,0.1937777,0.2401509,-0.7059194,-0.1130705,0.6566739,0.2601983,1.05663,0.06769121,-0.4764377,-0.5601158,0.2256702,0.6390231,0.1885027,0.926815,0.3195443,-0.6903278,-0.4619249,0.181813,0.5263242
0,0,0,0,6.657903E-08,0,0,1,0.005319282,0.8636068,-0.0929496,0.2441666,0.01802749,-0.06414379,0.9674416,-0.07632218,0.8731049,-0.08749613,-0.1330005,0.7203035,-0.3324682,0.5940862,-0.1656924,0.5464466,0.1923449,0.1360803,0.708084,0.1206604,0.6823052,-0.1786832,0.1352473,0.03535798,0.02869221,0.7625709,-0.6454875,0.03175592,-0.1892973,0.05067328,0.1563507,0.02879298,0.7641799,-0.6435664,0.03197969,-0.1955867,0.02523717,0.2284252,0.02879298,0.7641799,-0.6435664,0.03197969,0.08696074,0.8541086,-0.09840307,0.2086516,-0.6274593,-0.1299366,0.7388341,0.1176419,0.4678733,-0.3054895,0.3356085,-0.6426506,-0.2472245,0.6428432,0.1682537,0.1806274,-0.6353783,-0.02137423,0.9750668,-0.2060893,-0.07946831,0.1689475,0.03267762,-0.6392636,-0.05182093,0.8072019,-0.5845112,-0.06392719,0.1803808,-0.002997084,-0.5723464,-0.05182093,0.8072019,-0.5845112,-0.06392719,0.01664354,0.9579486,-0.08772751,0.008439618,-0.2928321,0.9555503,0.03319457,0.02192388,1.021755,-0.04455645,-0.001212875,-0.3406243,0.9401966,0.002015518,0.02215275,1.081055,0.004903505,-0.01085543,-0.3871688,0.9214841,-0.0291527,0.01405149,1.172133,0.09785973,-0.01085543,-0.3871688,0.9214841,-0.0291527,-0.0652137,1.24334,0.1986214,-0.2596454,-0.07880543,0.741161,-0.6140475,-0.1954062,1.275298,0.170964,0.6658363,0.3828586,0.222576,0.6004512,-0.2597849,1.271516,-0.08650607,0.5656036,0.4384271,0.3603814,0.5983309,-0.2786937,1.242162,-0.3766841,0.4985818,0.410732,0.5116412,0.5665148,0.00124634,1.316089,0.244784,-0.01985159,-0.3254333,0.9444731,-0.0408591,-0.008330546,1.399511,0.3099519,-0.02875733,-0.2622145,0.9631578,-0.05237924,0.07769735,1.24983,0.2047183,0.2532048,-0.1467308,0.7503912,0.5926811,0.2096214,1.284652,0.1937777,0.2401509,-0.7059194,-0.1130705,0.6566739,0.2601983,1.05663,0.06769121,-0.4764377,-0.5601158,0.2256702,0.6390231,0.1885027,0.926815,0.3195443,-0.6903278,-0.4619249,0.181813,0.5263242
10.00977,0,0,0,6.657903E-08,0,0,1,0.006570016,0.8583845,-0.09183583,0.2460253,0.01461418,-0.0618129,0.96718,-0.07513816,0.8676413,-0.08700185,-0.1292463,0.7175336,-0.327332,0.601078,-0.1665288,0.5371403,0.1876261,0.1021365,0.7163002,0.09996067,0.6830009,-0.1714684,0.1147864,0.06316268,-0.001482437,0.7384017,-0.6724588,0.05059607,-0.1754155,0.03907952,0.1902751,-0.001558368,0.7394091,-0.6713511,0.05059376,-0.1793962,0.01895186,0.2641691,-0.001558368,0.7394091,-0.6713511,0.05059376,0.0882782,0.8491277,-0.09666981,0.2153278,-0.6330535,-0.1437025,0.7295387,0.1159357,0.4686892,-0.3146273,0.3397169,-0.6437104,-0.2406073,0.6421353,0.1730847,0.1810519,-0.6431044,-0.02813318,0.9833733,-0.1611077,-0.07893039,0.1746241,0.03409645,-0.6606079,-0.05972382,0.8148193,-0.5736272,-0.05877525,0.186735,-0.003243725,-0.5947266,-0.05972382,0.8148193,-0.5736272,-0.05877525,0.01759226,0.9527387,-0.0862067,0.005398798,-0.2931616,0.9555575,0.03061165,0.02235422,1.01654,-0.04296896,-0.003866842,-0.3394538,0.9406145,-0.0008020775,0.022035,1.075964,0.006342093,-0.01311518,-0.3845593,0.9224452,-0.03219945,0.01297429,1.167518,0.0987401,-0.01311518,-0.3845593,0.9224452,-0.03219945,-0.06722612,1.238977,0.1985796,-0.2645033,-0.07971078,0.7390835,-0.6143616,-0.1973031,1.27079,0.1702213,0.6594723,0.3870887,0.2278247,0.6027889,-0.2599138,1.263786,-0.08761714,0.5604842,0.4337812,0.3516766,0.6115678,-0.2763118,1.227439,-0.3771555,0.4958738,0.4052286,0.4998901,0.5831031,-0.001347328,1.312227,0.244782,-0.02163349,-0.3211449,0.9458027,-0.04307583,-0.01148506,1.3962,0.3091539,-0.03004887,-0.2562024,0.96466,-0.05374727,0.07561588,1.246039,0.2055901,0.2493796,-0.1481932,0.7541218,0.5891935,0.2073715,1.281871,0.1959601,0.2542528,-0.7030087,-0.1110213,0.6548352,0.2636626,1.057307,0.06614548,-0.4868356,-0.5652525,0.2217548,0.6279376,0.1842012,0.9323223,0.3181117,-0.704457,-0.4631092,0.1757321,0.5083194
20.01953,0,0,0,6.657903E-08,0,0,1,0.007981424,0.8468951,-0.09189166,0.2492387,0.01300426,-0.05639736,0.966711,-0.07383955,0.855343,-0.08750486,-0.1244773,0.7128125,-0.321146,0.6109574,-0.1682739,0.5202542,0.180453,0.07194094,0.724008,0.08178158,0.6811377,-0.165722,0.09035067,0.08519051,-0.03356406,0.7153092,-0.6947921,0.06686107,-0.1627092,0.02333137,0.2171146,-0.03359799,0.7156615,-0.6944291,0.06684404,-0.1642757,0.008181533,0.2922767,-0.03359799,0.7156615,-0.6944291,0.06684404,0.0898024,0.8384472,-0.09627847,0.2168947,-0.6398811,-0.1524928,0.721287,0.1151036,0.4608914,-0.319472,0.348839,-0.6419259,-0.244417,0.6375758,0.175702,0.180416,-0.6534777,-0.02776035,0.9893794,-0.1274868,-0.06406832,0.1776489,0.03500852,-0.6810013,-0.05408384,0.8203147,-0.5676339,-0.04416249,0.1880089,-0.003389396,-0.6154301,-0.05408384,0.8203147,-0.5676339,-0.04416249,0.01806726,0.9413117,-0.08559284,0.001846386,-0.2958942,0.9548242,0.02745879,0.02220077,1.004893,-0.04196766,-0.009354464,-0.3417284,0.9397507,-0.001665934,0.02146531,1.064077,0.007626288,-0.02052112,-0.3864213,0.9215804,-0.03077649,0.01200116,1.15528,0.1003304,-0.02052112,-0.3864213,0.9215804,-0.03077649,-0.06885221,1.226942,0.1994959,-0.2688242,-0.08129858,0.736388,-0.6155139,-0.1989193,1.258296,0.1705873,0.6518931,0.3924788,0.2314743,0.6061482,-0.2602572,1.246906,-0.08740056,0.5525451,0.4330355,0.3435666,0.6238081,-0.2748423,1.202098,-0.3758481,0.4897176,0.410019,0.4846478,0.5976436,-0.002958122,1.299434,0.2468563,-0.02625517,-0.3194372,0.946272,-0.04289525,-0.01336982,1.383643,0.3108754,-0.03185068,-0.2507676,0.9659709,-0.05478765,0.07394411,1.232794,0.2083175,0.2472679,-0.1481499,0.7573796,0.5859067,0.2054551,1.269687,0.1993738,0.2729575,-0.6991291,-0.1153445,0.6506987,0.266915,1.050877,0.06228046,-0.4934677,-0.5706284,0.2113995,0.6214366,0.1791072,0.9270704,0.3120487,-0.7132934,-0.4632897,0.1670795,0.4986582
30.0293,0,0,0,6.657903E-08,0,0,1,0.009822952,0.8473996,-0.09147319,0.2528899,0.0122577,-0.04952297,0.966149,-0.07212108,0.8547714,-0.0874589,-0.1195775,0.7061102,-0.3145034,0.6230549,-0.1701055,0.5149219,0.1731272,0.04628967,0.7280263,0.06662422,0.6807323,-0.1604775,0.08035795,0.1027009,-0.06342578,0.6938726,-0.7125306,0.08257229,-0.1514543,0.02149805,0.2381953,-0.06436731,0.701987,-0.7045378,0.08184049,-0.1507158,0.009081441,0.3138694,-0.06436731,0.701987,-0.7045378,0.08184049,0.09176698,0.8400277,-0.09548749,0.2158495,-0.6444486,-0.1549089,0.7170065,0.1163982,0.4627272,-0.3191868,0.3626843,-0.6410816,-0.2610037,0.6239805,0.1783659,0.1983021,-0.6657959,-0.01661652,0.9934226,-0.1071883,-0.0366923,0.1794397,0.05412659,-0.6992164,-0.0274587,0.9072471,-0.4186652,-0.02946925,0.1846841,-0.004589411,-0.6501631,-0.0274587,0.9072471,-0.4186652,-0.02946925,0.01866832,0.9418874,-0.08442234,0.001610487,-0.2976105,0.9544327,0.02199313,0.02198417,1.005353,-0.04055969,-0.009073872,-0.3415673,0.9397964,-0.005686579,0.02068018,1.064549,0.009007715,-0.01973052,-0.3844893,0.9223161,-0.03334843,0.01068113,1.156098,0.1013144,-0.01973051,-0.3844893,0.9223161,-0.03334842,-0.07060814,1.22776,0.2001227,-0.2718466,-0.08338447,0.7335486,-0.6172953,-0.2007771,1.25842,0.170928,0.6432577,0.3987409,0.2335922,0.6104593,-0.2612379,1.241615,-0.08697105,0.5424917,0.4350449,0.3355741,0.6354756,-0.2745412,1.187198,-0.3738235,0.4805733,0.4221877,0.4656763,0.611517,-0.005123591,1.300798,0.2472121,-0.02689835,-0.3163843,0.9472135,-0.04432322,-0.01585762,1.385393,0.3106664,-0.03392012,-0.2465612,0.9669674,-0.05505738,0.07215012,1.234396,0.209006,0.2472993,-0.146756,0.7598786,0.5830012,0.2033644,1.272331,0.2000653,0.283047,-0.694681,-0.1138431,0.6514159,0.2683758,1.056317,0.06020516,-0.4952819,-0.5767748,0.1956502,0.6194741,0.1722381,0.9298118,0.3055137,-0.7159221,-0.4646347,0.1567668,0.4969855
40.03906,0,0,0,6.657903E-08,0,0,1,0.01132072,0.8565553,-0.09160055,0.2555874,0.01041394,-0.04296756,0.9657746,-0.07073009,0.8629533,-0.08813439,-0.1159298,0.6981592,-0.3071262,0.636245,-0.1713083,0.5183196,0.1650757,0.02643169,0.7267361,0.05645542,0.6840827,-0.1548479,0.08137403,0.113056,-0.08622716,0.6775528,-0.723716,0.09860278,-0.1419324,0.02865132,0.2507446,-0.08608351,0.6764981,-0.7247019,0.09872823,-0.1406472,0.02128013,0.3270685,-0.08608351,0.6764981,-0.7247019,0.09872823,0.09337153,0.8501574,-0.09506672,0.2059515,-0.6645569,-0.1548808,0.7013988,0.1181785,0.4691809,-0.3124266,0.3784212,-0.6441127,-0.2874371,0.5994132,0.1817346,0.2277721,-0.6751674,0.0005196309,0.9952659,-0.09674794,-0.009244591,0.180663,0.08432303,-0.71158,0.001542841,0.9998307,-0.01587141,-0.009167795,0.180217,0.008337176,-0.721937,0.001542841,0.9998307,-0.01587141,-0.009167795,0.01901438,0.9510998,-0.08398218,0.001100646,-0.2990321,0.9540992,0.01654378,0.02150295,1.014467,-0.03992274,-0.0082421,-0.3417562,0.9396994,-0.01000138,0.01961648,1.073633,0.009662213,-0.01756322,-0.3835224,0.9226421,-0.036523,0.009072517,1.165318,0.1017733,-0.01756322,-0.3835224,0.9226421,-0.036523,-0.07260146,1.236599,0.2005395,-0.2731196,-0.08583166,0.730976,-0.6194459,-0.2029781,1.266417,0.1713998,0.6336854,0.4055879,0.2342881,0.6156708,-0.2628423,1.243297,-0.08614924,0.5305752,0.4391391,0.3273228,0.646921,-0.2752602,1.178208,-0.3708101,0.4693817,0.4376851,0.4434129,0.625698,-0.007593523,1.310233,0.2473617,-0.026817,-0.3145251,0.9477772,-0.04553589,-0.01856112,1.395053,0.3104732,-0.03592164,-0.2437793,0.9676431,-0.0542957,0.07011644,1.24432,0.2091914,0.249429,-0.1442554,0.7615588,0.5805204,0.2009965,1.283245,0.1996264,0.2920379,-0.6897021,-0.1129804,0.6528865,0.2687617,1.069871,0.05704603,-0.4913132,-0.5841585,0.1767458,0.6213947,0.1651945,0.9369624,0.2958584,-0.7118664,-0.4694995,0.1460511,0.5014835
50.04883,0,0,0,6.657903E-08,0,0,1,0.01209304,0.8631877,-0.09252067,0.2565423,0.005765572,-0.03766293,0.9657818,-0.07004061,0.8689365,-0.09001152,-0.1145658,0.6888661,-0.2984724,0.6505786,-0.1713123,0.5194218,0.1561332,0.0134732,0.7208244,0.05363696,0.6909081,-0.1478637,0.08173941,0.1139111,-0.09817132,0.6690021,-0.7276178,0.1156337,-0.1339444,0.03193536,0.252585,-0.09789605,0.6672696,-0.729207,0.1158668,-0.1330462,0.02605011,0.3290432,-0.09789605,0.6672696,-0.729207,0.1158668,0.0942267,0.8574389,-0.09502982,0.195102,-0.6824796,-0.1505,0.6881183,0.1202269,0.4714637,-0.3032388,0.3937977,-0.6479594,-0.3191716,0.5685083,0.185773,0.2574342,-0.68244,0.01577745,0.9962786,-0.08437749,0.007789989,0.1822073,0.1149856,-0.7224445,0.01802513,0.999796,-0.001027354,0.009080903,0.1797117,0.03938518,-0.7350795,0.01802513,0.999796,-0.001027354,0.009080903,0.0189532,0.9577773,-0.08466988,-0.002664798,-0.3010449,0.9535214,0.01272703,0.02070352,1.020975,-0.04033266,-0.01111159,-0.3448204,0.9385223,-0.01231583,0.01832668,1.079808,0.009625869,-0.01952819,-0.3876236,0.9208547,-0.03732781,0.007389057,1.170653,0.1025203,-0.01952819,-0.3876236,0.9208547,-0.03732781,-0.07469909,1.241018,0.2015996,-0.2728168,-0.08862042,0.7289123,-0.6216146,-0.2053596,1.269966,0.1728574,0.6230733,0.4129915,0.2336154,0.6218054,-0.264847,1.239598,-0.0840257,0.5167823,0.4448095,0.3184542,0.6585348,-0.276629,1.162718,-0.3657579,0.4569969,0.4527937,0.4188463,0.6408588,-0.009899169,1.314239,0.2493467,-0.02854197,-0.3158241,0.9473091,-0.04523404,-0.02092467,1.398892,0.3126736,-0.03738456,-0.2421302,0.9680809,-0.05286895,0.06798087,1.248694,0.210893,0.2531518,-0.1408199,0.7625068,0.5785046,0.1984997,1.288526,0.2001963,0.3011194,-0.6843651,-0.1129085,0.6543882,0.2686716,1.078003,0.05457454,-0.4806751,-0.5927818,0.1564874,0.6269557,0.1594643,0.9351041,0.2849566,-0.7006674,-0.4801238,0.1362285,0.509891
60.05859,0,0,0,6.657903E-08,0,0,1,0.01307862,0.865337,-0.09289443,0.2559546,-0.002135827,-0.03419619,0.9660815,-0.0691008,0.8708696,-0.0917924,-0.1149519,0.6834251,-0.2935779,0.6584287,-0.1699155,0.5188867,0.1509999,0.007443564,0.7118034,0.05936473,0.6998261,-0.1386283,0.08165346,0.1092071,-0.09799091,0.6693434,-0.7242358,0.1336419,-0.1266426,0.03100279,0.2477549,-0.09756318,0.667025,-0.7263715,0.1339543,-0.1274247,0.02458044,0.3241712,-0.09756318,0.667025,-0.7263715,0.1339543,0.09525805,0.8598044,-0.09399647,0.1814262,-0.7007567,-0.1439032,0.6747716,0.121647,0.4675983,-0.2901644,0.4087031,-0.647325,-0.3524289,0.5382622,0.1882051,0.2837416,-0.6847087,0.02471551,0.9977327,-0.0613702,0.0123486,0.1827751,0.1433634,-0.7312829,0.02821618,0.9991469,0.02653391,0.01434679,0.1789542,0.06863759,-0.7480981,0.02821618,0.9991469,0.02653391,0.01434679,0.01955309,0.9599589,-0.08510479,-0.006191649,-0.3007933,0.9536324,0.008400889,0.02050274,1.023194,-0.04079665,-0.0102414,-0.3449004,0.9384205,-0.01749239,0.01742209,1.081995,0.009161542,-0.01426237,-0.3880258,0.9205188,-0.04333914,0.005575488,1.172632,0.1021474,-0.01426237,-0.3880258,0.9205188,-0.04333914,-0.07707011,1.241708,0.2016691,-0.271217,-0.09140274,0.7276512,-0.6233867,-0.2080369,1.269915,0.1735912,0.611073,0.4213382,0.2317436,0.6287761,-0.2673611,1.231223,-0.08220834,0.5012547,0.4511786,0.3082537,0.6709409,-0.2786631,1.141366,-0.360094,0.4435868,0.4652609,0.3934456,0.6572396,-0.01314946,1.31589,0.2491184,-0.0261849,-0.3153497,0.9474299,-0.04739088,-0.02444962,1.400564,0.3123686,-0.03794599,-0.2407297,0.9685006,-0.05115046,0.06552196,1.251548,0.2102448,0.2577384,-0.1365867,0.7629917,0.5768527,0.1956507,1.292225,0.1980728,0.3111487,-0.6786871,-0.1136624,0.6554781,0.2682008,1.085052,0.04885568,-0.4633435,-0.6022011,0.13629,0.6356823,0.155741,0.9291324,0.2690014,-0.6830522,-0.4965154,0.1280486,0.5201118
70.06836,0,0,0,6.657903E-08,0,0,1,0.01380671,0.8679746,-0.0927688,0.2546134,-0.01228014,-0.03251662,0.9664181,-0.06836708,0.8736668,-0.09336001,-0.1176559,0.6707434,-0.2828003,0.6754884,-0.1668729,0.5167784,0.1431373,0.008180234,0.7005647,0.0734686,0.7097497,-0.1266311,0.08119427,0.09268471,-0.08767957,0.6775469,-0.7141487,0.1524285,-0.1188338,0.02629778,0.229908,-0.08710542,0.6748544,-0.7166936,0.1527572,-0.1222746,0.01749869,0.3060135,-0.08710542,0.6748544,-0.7166936,0.1527572,0.09598051,0.8622825,-0.09217761,0.1657515,-0.7153129,-0.1350027,0.6653031,0.1212383,0.4631138,-0.2739199,0.4244964,-0.64033,-0.383457,0.5125828,0.1881465,0.3109293,-0.6816717,0.02673619,0.9991736,-0.02915261,0.0093423,0.1820119,0.1738744,-0.7371964,0.03090093,0.9973391,0.06502577,0.01147946,0.1778075,0.1006859,-0.7597148,0.03090093,0.9973391,0.06502577,0.01147946,0.0203072,0.9626106,-0.0851749,-0.01095599,-0.3000334,0.953853,0.004955922,0.02052962,1.025924,-0.0409681,-0.009595046,-0.3446912,0.9383927,-0.02270239,0.01672872,1.084714,0.008952285,-0.008205317,-0.3883148,0.9201169,-0.0502927,0.003830461,1.175122,0.1020205,-0.008205317,-0.3883148,0.9201169,-0.0502927,-0.07943875,1.242731,0.202029,-0.2688629,-0.0940528,0.7272584,-0.6244695,-0.2106902,1.270434,0.1747909,0.5975824,0.4310409,0.2289246,0.6361545,-0.2701193,1.222397,-0.079395,0.4839709,0.4575217,0.2960993,0.6846688,-0.2810483,1.118292,-0.352278,0.428673,0.4745042,0.3689462,0.6745104,-0.01655673,1.31802,0.2491216,-0.0229306,-0.3147394,0.9475846,-0.04996953,-0.02815676,1.402722,0.3122793,-0.03750945,-0.2391546,0.9690022,-0.04932735,0.06300581,1.255071,0.2097838,0.2625574,-0.1318455,0.7633734,0.5752755,0.1927046,1.296594,0.1959876,0.3220958,-0.6726146,-0.1152328,0.656175,0.2675713,1.093292,0.04264789,-0.4408793,-0.6116032,0.1175225,0.6463406,0.1543546,0.9227141,0.2512324,-0.6589605,-0.5182205,0.1211245,0.5315525
