Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,-0.3013462,0.9530984,0.3490994,0.06685754,0.05651388,-0.01079029,0.9961023,-0.3868104,0.9542977,0.3589098,-0.02248899,-0.5195125,0.192867,-0.8321079,-0.5448094,0.5300505,0.4336871,0.1462751,0.495946,0.01312577,0.8558441,-0.6017711,0.09013839,0.3122395,0.1961502,0.6739503,-0.680755,0.2094976,-0.6775364,0.0244999,0.4299094,0.1961502,0.6739503,-0.680755,0.2094976,-0.7207414,0.01146811,0.4960849,0.1961502,0.6739503,-0.680755,0.2094976,-0.2158819,0.9518991,0.3392889,-0.02780729,-0.5348263,0.2194697,0.815488,-0.06528549,0.5379639,0.4678167,0.1057832,-0.5234388,0.009544554,0.8454176,-0.006345302,0.08855695,0.3898664,-0.2186522,0.6699454,-0.6827568,-0.1928932,0.07403144,0.02632862,0.5063235,-0.2186522,0.6699454,-0.6827568,-0.1928932,0.1185085,0.01521049,0.5720036,-0.2186522,0.6699454,-0.6827568,-0.1928932,-0.3033895,1.04802,0.3196979,0.06373873,-0.07593832,0.9950227,0.01003286,-0.3009985,1.127725,0.3317828,0.07095589,-0.08501001,0.9938073,0.009273994,-0.2985388,1.207197,0.345304,0.07818402,-0.09409604,0.9924521,0.008511686,-0.2942339,1.340951,0.3705582,0.07818402,-0.09409604,0.9924521,0.008511686,-0.3607854,1.46705,0.4265107,-0.1259448,0.01271901,0.7559273,-0.642301,-0.4991549,1.492007,0.4006316,-0.139714,-0.6607045,0.06972723,-0.7342262,-0.5787199,1.228305,0.3692995,0.1770601,-0.6402412,0.2611285,-0.700395,-0.6211704,0.9838142,0.5470813,0.03921239,-0.7150697,0.5657964,-0.4086716,-0.2874301,1.55236,0.4104742,0.1281877,-0.03463633,0.9910842,0.01098782,-0.2840263,1.663083,0.4177833,0.1774166,0.0250327,0.9837264,0.01339754,-0.2130833,1.466723,0.4030624,0.1794944,0.07178539,0.7207165,0.6657302,-0.07957849,1.481492,0.3541026,-0.1387022,0.4696735,-0.1080535,-0.8651552,0.008370817,1.221411,0.3157085,0.2504167,0.4418367,-0.4971715,-0.7034863,0.1543521,1.105343,0.557373,0.06436598,0.4420017,-0.757421,-0.4762411
0,0,0,0,6.657903E-08,0,0,1,-0.3013462,0.9530984,0.3490994,0.06685754,0.05651388,-0.01079029,0.9961023,-0.3868104,0.9542977,0.3589098,-0.02248899,-0.5195125,0.192867,-0.8321079,-0.5448094,0.5300505,0.4336871,0.1462751,0.495946,0.01312577,0.8558441,-0.6017711,0.09013839,0.3122395,0.1961502,0.6739503,-0.680755,0.2094976,-0.6775364,0.0244999,0.4299094,0.1961502,0.6739503,-0.680755,0.2094976,-0.7207414,0.01146811,0.4960849,0.1961502,0.6739503,-0.680755,0.2094976,-0.2158819,0.9518991,0.3392889,-0.02780729,-0.5348263,0.2194697,0.815488,-0.06528549,0.5379639,0.4678167,0.1057832,-0.5234388,0.009544554,0.8454176,-0.006345302,0.08855695,0.3898664,-0.2186522,0.6699454,-0.6827568,-0.1928932,0.07403144,0.02632862,0.5063235,-0.2186522,0.6699454,-0.6827568,-0.1928932,0.1185085,0.01521049,0.5720036,-0.2186522,0.6699454,-0.6827568,-0.1928932,-0.3033895,1.04802,0.3196979,0.06373873,-0.07593832,0.9950227,0.01003286,-0.3009985,1.127725,0.3317828,0.07095589,-0.08501001,0.9938073,0.009273994,-0.2985388,1.207197,0.345304,0.07818402,-0.09409604,0.9924521,0.008511686,-0.2942339,1.340951,0.3705582,0.07818402,-0.09409604,0.9924521,0.008511686,-0.3607854,1.46705,0.4265107,-0.1259448,0.01271901,0.7559273,-0.642301,-0.4991549,1.492007,0.4006316,-0.139714,-0.6607045,0.06972723,-0.7342262,-0.5787199,1.228305,0.3692995,0.1770601,-0.6402412,0.2611285,-0.700395,-0.6211704,0.9838142,0.5470813,0.03921239,-0.7150697,0.5657964,-0.4086716,-0.2874301,1.55236,0.4104742,0.1281877,-0.03463633,0.9910842,0.01098782,-0.2840263,1.663083,0.4177833,0.1774166,0.0250327,0.9837264,0.01339754,-0.2130833,1.466723,0.4030624,0.1794944,0.07178539,0.7207165,0.6657302,-0.07957849,1.481492,0.3541026,-0.1387022,0.4696735,-0.1080535,-0.8651552,0.008370817,1.221411,0.3157085,0.2504167,0.4418367,-0.4971715,-0.7034863,0.1543521,1.105343,0.557373,0.06436598,0.4420017,-0.757421,-0.4762411
0,0,0,0,6.657903E-08,0,0,1,-0.3013462,0.9530984,0.3490994,0.06685754,0.05651388,-0.01079029,0.9961023,-0.3868104,0.9542977,0.3589098,-0.02248899,-0.5195125,0.192867,-0.8321079,-0.5448094,0.5300505,0.4336871,0.1462751,0.495946,0.01312577,0.8558441,-0.6017711,0.09013839,0.3122395,0.1961502,0.6739503,-0.680755,0.2094976,-0.6775364,0.0244999,0.4299094,0.1961502,0.6739503,-0.680755,0.2094976,-0.7207414,0.01146811,0.4960849,0.1961502,0.6739503,-0.680755,0.2094976,-0.2158819,0.9518991,0.3392889,-0.02780729,-0.5348263,0.2194697,0.815488,-0.06528549,0.5379639,0.4678167,0.1057832,-0.5234388,0.009544554,0.8454176,-0.006345302,0.08855695,0.3898664,-0.2186522,0.6699454,-0.6827568,-0.1928932,0.07403144,0.02632862,0.5063235,-0.2186522,0.6699454,-0.6827568,-0.1928932,0.1185085,0.01521049,0.5720036,-0.2186522,0.6699454,-0.6827568,-0.1928932,-0.3033895,1.04802,0.3196979,0.06373873,-0.07593832,0.9950227,0.01003286,-0.3009985,1.127725,0.3317828,0.07095589,-0.08501001,0.9938073,0.009273994,-0.2985388,1.207197,0.345304,0.07818402,-0.09409604,0.9924521,0.008511686,-0.2942339,1.340951,0.3705582,0.07818402,-0.09409604,0.9924521,0.008511686,-0.3607854,1.46705,0.4265107,-0.1259448,0.01271901,0.7559273,-0.642301,-0.4991549,1.492007,0.4006316,-0.139714,-0.6607045,0.06972723,-0.7342262,-0.5787199,1.228305,0.3692995,0.1770601,-0.6402412,0.2611285,-0.700395,-0.6211704,0.9838142,0.5470813,0.03921239,-0.7150697,0.5657964,-0.4086716,-0.2874301,1.55236,0.4104742,0.1281877,-0.03463633,0.9910842,0.01098782,-0.2840263,1.663083,0.4177833,0.1774166,0.0250327,0.9837264,0.01339754,-0.2130833,1.466723,0.4030624,0.1794944,0.07178539,0.7207165,0.6657302,-0.07957849,1.481492,0.3541026,-0.1387022,0.4696735,-0.1080535,-0.8651552,0.008370817,1.221411,0.3157085,0.2504167,0.4418367,-0.4971715,-0.7034863,0.1543521,1.105343,0.557373,0.06436598,0.4420017,-0.757421,-0.4762411
9.765625,0,0,0,6.657903E-08,0,0,1,-0.3013126,0.9524895,0.3491141,0.06683721,0.0564056,-0.01072373,0.9961106,-0.3867792,0.9536788,0.3589053,-0.0250994,-0.5193093,0.188097,-0.8332511,-0.5425729,0.527878,0.4293537,0.1433439,0.4967182,0.008718012,0.8559484,-0.6017683,0.08709599,0.3122042,0.1961485,0.6739557,-0.6807507,0.209495,-0.6775326,0.02145577,0.4298737,0.1961485,0.6739557,-0.6807507,0.209495,-0.7207372,0.008422964,0.4960493,0.1961485,0.6739557,-0.6807507,0.209495,-0.215846,0.9513001,0.339323,-0.02524027,-0.5351086,0.2150696,0.8165579,-0.06707795,0.5354853,0.4638504,0.1031321,-0.5240771,0.01338709,0.8452976,-0.006366909,0.08564974,0.3898312,-0.2186817,0.6699355,-0.682762,-0.1928752,0.07401624,0.02342724,0.5062869,-0.2186817,0.6699355,-0.682762,-0.1928752,0.1184953,0.01231228,0.5719663,-0.2186817,0.6699355,-0.682762,-0.1928752,-0.3033608,1.04741,0.3197087,0.0636198,-0.07591493,0.9950328,0.009955676,-0.3009838,1.127116,0.331791,0.07082634,-0.08498354,0.9938195,0.009186205,-0.2985403,1.206588,0.3453093,0.07804383,-0.09406651,0.9924667,0.008413266,-0.2942661,1.340345,0.3705584,0.07804383,-0.09406651,0.9924667,0.008413266,-0.3608562,1.466434,0.4264849,-0.1259843,0.01273827,0.755899,-0.6423262,-0.4992251,1.491383,0.4005935,-0.1396774,-0.6606582,0.06965655,-0.7342815,-0.5787464,1.227669,0.3692444,0.1771264,-0.6401525,0.2611115,-0.7004656,-0.6211847,0.9831872,0.5470414,0.03924434,-0.7149785,0.5658234,-0.4087912,-0.2875111,1.551757,0.4104661,0.1281337,-0.0345496,0.9910949,0.01091487,-0.2841261,1.662481,0.4177584,0.1774472,0.02517665,0.9837177,0.01335034,-0.2131471,1.466133,0.4030807,0.1793907,0.0718017,0.7207935,0.6656729,-0.07963818,1.480922,0.3541386,-0.138742,0.469637,-0.1082109,-0.865149,0.008393764,1.220866,0.3157646,0.2504185,0.4417773,-0.497516,-0.7032791,0.1544688,1.105008,0.5574733,0.06424534,0.4417773,-0.7577231,-0.4759848
20.01953,0,0,0,6.657903E-08,0,0,1,-0.3012805,0.9517354,0.3491311,0.06681433,0.05632851,-0.01066093,0.9961171,-0.3867489,0.9529151,0.3589084,-0.02266356,-0.51941,0.1926124,-0.8322259,-0.5446554,0.528585,0.4334104,0.14612,0.4959071,0.01288057,0.8558968,-0.6017334,0.08862539,0.31219,0.1961607,0.6739551,-0.6807497,0.2094884,-0.6775004,0.02298588,0.4298583,0.1961607,0.6739551,-0.6807497,0.2094884,-0.7207059,0.009953731,0.4960334,0.1961607,0.6739551,-0.6807497,0.2094884,-0.2158122,0.9505557,0.3393539,-0.02742578,-0.5350801,0.2187866,0.815518,-0.06554013,0.5363264,0.4673125,0.1055295,-0.5237039,0.009970623,0.8452801,-0.006366163,0.08687777,0.3897807,-0.2186831,0.6699268,-0.6827772,-0.1928504,0.07401589,0.0246613,0.5062405,-0.2186831,0.6699268,-0.6827772,-0.1928504,0.1184932,0.01354979,0.5719217,-0.2186831,0.6699268,-0.6827772,-0.1928504,-0.303335,1.046654,0.3197215,0.06352613,-0.07588816,0.9950416,0.009883619,-0.3009711,1.126361,0.3318004,0.07071612,-0.08495294,0.9938307,0.009104908,-0.2985424,1.205835,0.3453151,0.07791706,-0.09403209,0.9924807,0.008322719,-0.2942967,1.339593,0.3705574,0.07791706,-0.09403209,0.9924807,0.008322719,-0.3609222,1.465675,0.4264585,-0.126093,0.01281842,0.7558365,-0.6423768,-0.4992873,1.490605,0.4005283,-0.13965,-0.6606025,0.06958704,-0.7343433,-0.5787684,1.226882,0.3691579,0.1772245,-0.6399021,0.2611033,-0.7006727,-0.6212249,0.9824184,0.5469761,0.03925446,-0.7148867,0.5658436,-0.4089223,-0.2875865,1.551009,0.4104545,0.1280788,-0.03444438,0.9911064,0.01085069,-0.2842191,1.661735,0.4177257,0.1774624,0.0253526,0.9837109,0.01331274,-0.2132068,1.465396,0.4030942,0.1793011,0.07180979,0.7208567,0.6656279,-0.07969369,1.480202,0.3541685,-0.1388011,0.4696265,-0.1083732,-0.8651249,0.008429259,1.220175,0.3158097,0.2503943,0.4417894,-0.4976687,-0.7031721,0.154542,1.104402,0.5575365,0.06417424,0.441648,-0.7579062,-0.4758229
29.78516,0,0,0,6.657903E-08,0,0,1,-0.3012449,0.9508865,0.3491545,0.06677997,0.05624812,-0.01061201,0.9961245,-0.386715,0.9520591,0.3589174,-0.01879963,-0.5195757,0.1997847,-0.8305262,-0.5479486,0.5301647,0.4398489,0.1505446,0.4946353,0.01948565,0.855741,-0.6016715,0.09160973,0.3121767,0.1961741,0.6739546,-0.6807497,0.2094782,-0.6774411,0.02597171,0.429844,0.1961741,0.6739546,-0.6807497,0.2094782,-0.7206473,0.01294034,0.4960189,0.1961741,0.6739546,-0.6807497,0.2094782,-0.2157748,0.9497139,0.3393916,-0.03097024,-0.5348821,0.2248726,0.8138638,-0.06302424,0.5381524,0.4729035,0.1093917,-0.5229759,0.004475231,0.845287,-0.006335735,0.08939482,0.3897181,-0.2187022,0.6699201,-0.6827838,-0.1928298,0.07404968,0.02718323,0.5061781,-0.2187022,0.6699201,-0.6827838,-0.1928298,0.1185275,0.0160744,0.5718595,-0.2187022,0.6699201,-0.6827838,-0.1928298,-0.3033032,1.045803,0.3197384,0.06340148,-0.07584857,0.9950533,0.009813804,-0.3009523,1.125511,0.331812,0.07054725,-0.08490811,0.9938474,0.009014207,-0.298541,1.204986,0.345321,0.07770395,-0.09398212,0.992503,0.008211096,-0.2943319,1.338748,0.3705532,0.07770395,-0.09398212,0.992503,0.008211096,-0.3610063,1.464823,0.4264133,-0.126223,0.01289081,0.755774,-0.642423,-0.4993669,1.489734,0.4004421,-0.1396141,-0.6605278,0.06950559,-0.7344251,-0.578799,1.225999,0.3690473,0.1772846,-0.6397489,0.2610893,-0.7008024,-0.6212634,0.9815444,0.5468754,0.03923736,-0.7147979,0.565851,-0.4090687,-0.2876797,1.550169,0.4104345,0.1279735,-0.03430032,0.9911259,0.01076506,-0.284336,1.660897,0.4176767,0.1774628,0.0255906,0.9837056,0.01325337,-0.2132804,1.464569,0.403115,0.1792191,0.07179902,0.7209235,0.6655785,-0.07976246,1.479395,0.3542083,-0.1388786,0.4696375,-0.1085353,-0.8650859,0.008457005,1.219399,0.3158581,0.2503812,0.4418083,-0.4978441,-0.7030407,0.1546057,1.103729,0.5576124,0.06413335,0.4415274,-0.7580685,-0.4756816
40.03906,0,0,0,6.657903E-08,0,0,1,-0.3012242,0.9500063,0.3491672,0.06675212,0.05617427,-0.01055293,0.9961311,-0.3866959,0.9511699,0.3589168,-0.01541237,-0.519691,0.2061043,-0.8289781,-0.55084,0.5315232,0.4454869,0.1544555,0.4935001,0.0252899,0.8555475,-0.6016166,0.09430505,0.3121495,0.1961871,0.673956,-0.6807479,0.2094665,-0.6773885,0.02866775,0.4298158,0.1961871,0.673956,-0.6807479,0.2094665,-0.7205952,0.01563674,0.4959903,0.1961871,0.673956,-0.6807479,0.2094665,-0.2157525,0.9488427,0.3394176,-0.03241285,-0.5347679,0.2274063,0.8131784,-0.06195727,0.5384168,0.4752064,0.1110253,-0.5226378,0.002185757,0.8452919,-0.006297618,0.08997656,0.3896483,-0.2187155,0.6699145,-0.6827897,-0.192812,0.07409003,0.0277692,0.5061091,-0.2187155,0.6699145,-0.6827897,-0.192812,0.1185679,0.0166627,0.5717906,-0.2187155,0.6699145,-0.6827897,-0.192812,-0.3032884,1.044921,0.3197458,0.06331316,-0.07582616,0.9950612,0.009753705,-0.3009485,1.12463,0.3318167,0.07044446,-0.08489117,0.9938567,0.008953101,-0.2985486,1.204106,0.345324,0.07758664,-0.09397066,0.9925137,0.008148985,-0.2943595,1.337868,0.3705549,0.07758664,-0.09397066,0.9925137,0.008148985,-0.3610607,1.463937,0.4263964,-0.1263769,0.01296767,0.7556995,-0.6424788,-0.4994162,1.488828,0.4003786,-0.1395552,-0.6604417,0.06942321,-0.7345214,-0.5787903,1.225077,0.3689669,0.1773221,-0.6396059,0.2610816,-0.7009263,-0.621272,0.980628,0.5467987,0.03918395,-0.7147056,0.5658458,-0.4092423,-0.2877389,1.54929,0.4104342,0.1279316,-0.0341841,0.9911357,0.01070851,-0.2844113,1.660021,0.4176526,0.177494,0.02581154,0.9836949,0.01320253,-0.2133291,1.463698,0.4031345,0.1790464,0.07171891,0.7210291,0.6655193,-0.07979558,1.47855,0.354278,-0.1389478,0.4696541,-0.1086507,-0.8650512,0.008496404,1.218579,0.3159284,0.2503782,0.4418268,-0.4979866,-0.7029293,0.1546704,1.102994,0.5577084,0.06410649,0.4413996,-0.7582262,-0.4755527
49.80469,0,0,0,6.657903E-08,0,0,1,-0.301208,0.949164,0.3491733,0.06675714,0.05611847,-0.01050616,0.9961345,-0.386681,0.9503202,0.3589128,-0.01652399,-0.5196596,0.2040296,-0.8294895,-0.5498722,0.5299252,0.4436342,0.1531979,0.4938655,0.02343014,0.8556158,-0.6015915,0.09226771,0.3121131,0.1962139,0.6739625,-0.6807382,0.2094525,-0.6773689,0.02662951,0.4297755,0.1962139,0.6739625,-0.6807382,0.2094525,-0.7205776,0.01359802,0.4959487,0.1962139,0.6739625,-0.6807382,0.2094525,-0.215735,0.9480079,0.3394338,-0.03317259,-0.5346149,0.2288057,0.8128557,-0.06133153,0.5382136,0.4764343,0.1119046,-0.5223591,0.0009602073,0.8453506,-0.006230772,0.08995015,0.3895971,-0.218707,0.669917,-0.6827943,-0.1927965,0.07415342,0.02774345,0.5060605,-0.218707,0.669917,-0.6827943,-0.1927965,0.1186291,0.01663731,0.5717436,-0.218707,0.669917,-0.6827943,-0.1927965,-0.3032769,1.044079,0.319753,0.0632338,-0.07582604,0.9950667,0.009703985,-0.3009459,1.123788,0.3318245,0.07034157,-0.08488596,0.9938648,0.008900437,-0.2985559,1.203264,0.3453318,0.07746021,-0.09396038,0.9925251,0.00809338,-0.2943853,1.337028,0.3705617,0.07746021,-0.09396038,0.9925251,0.00809338,-0.3611123,1.463091,0.4263837,-0.1265059,0.01303822,0.7556315,-0.6425321,-0.4994638,1.487962,0.4003253,-0.1394891,-0.6603367,0.06934279,-0.7346361,-0.5787772,1.224195,0.3688981,0.1773276,-0.6394595,0.2610791,-0.7010595,-0.6212927,0.9797463,0.5467224,0.03912042,-0.7145997,0.5658619,-0.4094111,-0.2877938,1.54845,0.4104393,0.1278766,-0.03406071,0.9911477,0.01066491,-0.2844796,1.659184,0.4176321,0.1775081,0.026048,0.9836866,0.01317098,-0.2133745,1.462865,0.4031606,0.1789646,0.07167678,0.7210942,0.6654754,-0.07983384,1.477735,0.3543293,-0.1390474,0.4696816,-0.1087516,-0.8650077,0.008531958,1.217791,0.3159632,0.2503943,0.4418459,-0.498106,-0.7028269,0.1547187,1.102284,0.5577724,0.06411323,0.4413005,-0.7583453,-0.4754539
60.05859,0,0,0,6.657903E-08,0,0,1,-0.3011846,0.9484432,0.3491673,0.06680325,0.05607348,-0.01041984,0.9961348,-0.3866587,0.9495846,0.3588982,-0.01935955,-0.5195388,0.1987375,-0.8307877,-0.5474083,0.5273269,0.4388922,0.1499463,0.4947882,0.01862058,0.8557768,-0.6015604,0.08857615,0.3120769,0.1962351,0.6739478,-0.680746,0.209454,-0.677344,0.02294326,0.4297381,0.1962351,0.6739478,-0.680746,0.209454,-0.7205553,0.009914749,0.4959102,0.1962351,0.6739478,-0.680746,0.209454,-0.2157104,0.9473017,0.3394364,-0.03071433,-0.5347229,0.2247055,0.8140243,-0.06292148,0.5356569,0.4726467,0.1093707,-0.5227843,0.004629447,0.8454072,-0.006142169,0.08689637,0.3895387,-0.2187156,0.669915,-0.6827952,-0.1927909,0.07424381,0.0246911,0.5060017,-0.2187156,0.669915,-0.6827952,-0.1927909,0.11872,0.01358585,0.5716846,-0.2187156,0.669915,-0.6827952,-0.1927909,-0.3032657,1.043361,0.3197563,0.06317018,-0.07585523,0.9950692,0.009630821,-0.300947,1.123069,0.3318334,0.07025937,-0.08489823,0.9938701,0.008840446,-0.2985676,1.202545,0.3453435,0.07735942,-0.09395573,0.9925337,0.008046615,-0.2944122,1.336309,0.3705736,0.07735942,-0.09395573,0.9925337,0.008046615,-0.3611603,1.462368,0.4263809,-0.1266399,0.01310935,0.7555487,-0.6426017,-0.4995086,1.487212,0.4002803,-0.1394271,-0.6602073,0.06926551,-0.7347715,-0.5787629,1.22343,0.3688346,0.1773055,-0.6393347,0.2610929,-0.7011738,-0.6213246,0.9789808,0.5466473,0.03905839,-0.7144828,0.5658838,-0.409591,-0.287845,1.547733,0.4104515,0.1278408,-0.0339315,0.9911572,0.01062778,-0.2845429,1.658468,0.4176171,0.1775347,0.02630173,0.9836753,0.01314348,-0.2134177,1.462153,0.4031889,0.1788645,0.07163673,0.7211605,0.6654348,-0.07986875,1.47704,0.3543856,-0.1391225,0.4697184,-0.1088474,-0.8649637,0.008562744,1.217119,0.3160141,0.2504121,0.4418587,-0.4981889,-0.7027537,0.1547559,1.101668,0.557846,0.06411573,0.441245,-0.7584273,-0.4753742
69.82422,0,0,0,6.657903E-08,0,0,1,-0.301169,0.9479392,0.3491673,0.0668296,0.05602384,-0.01035571,0.9961365,-0.3866444,0.9490699,0.3588891,-0.02284952,-0.5193353,0.1922626,-0.8323484,-0.5443924,0.524624,0.4330666,0.1459789,0.4958772,0.01272779,0.8559405,-0.6015218,0.08462293,0.3120213,0.1962439,0.6739621,-0.6807343,0.2094379,-0.6773057,0.01898647,0.4296805,0.1962439,0.6739621,-0.6807343,0.2094379,-0.7205166,0.005956107,0.4958524,0.1962439,0.6739621,-0.6807343,0.2094379,-0.2156937,0.9468084,0.3394456,-0.02714719,-0.5348917,0.218697,0.815675,-0.0653158,0.5325292,0.4671178,0.1056401,-0.5234571,0.01001927,0.8454186,-0.006073594,0.08310307,0.3895074,-0.2187211,0.6699127,-0.6827953,-0.1927927,0.07431397,0.02089851,0.5059696,-0.2187211,0.6699127,-0.6827953,-0.1927927,0.118791,0.009793444,0.5716521,-0.2187211,0.6699127,-0.6827953,-0.1927927,-0.3032582,1.042859,0.3197617,0.06310647,-0.07587222,0.9950725,0.009577865,-0.3009485,1.122566,0.3318422,0.07018161,-0.0849059,0.9938753,0.008798672,-0.2985768,1.202043,0.3453542,0.07726762,-0.0939541,0.9925413,0.008016065,-0.2944321,1.335806,0.3705849,0.07726762,-0.0939541,0.9925413,0.008016065,-0.3611963,1.461862,0.4263794,-0.1267739,0.01315823,0.7554886,-0.6426449,-0.4995406,1.486691,0.4002422,-0.1393972,-0.6600968,0.06917755,-0.7348846,-0.5787441,1.222897,0.3687635,0.1772907,-0.6391637,0.2610995,-0.701331,-0.6213579,0.9784467,0.5465622,0.03898331,-0.7143815,0.5659003,-0.4097521,-0.2878816,1.54723,0.4104637,0.1278239,-0.0336772,0.9911684,0.01058715,-0.2845958,1.657969,0.4175746,0.177588,0.02680838,0.9836527,0.01309264,-0.2134492,1.461654,0.4032153,0.1787743,0.07161307,0.721204,0.6654143,-0.07989314,1.476549,0.3544342,-0.1391831,0.4697882,-0.1089416,-0.8649042,0.008601099,1.21665,0.316067,0.2504052,0.4419179,-0.4983863,-0.702579,0.1548187,1.101316,0.5579405,0.06411254,0.4412278,-0.7584957,-0.4752817
